tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7620203348255362326,2026-03-22,"Det brænder jeg for i Nordjylland 💚 👩‍🏭 Erhverv og iværksætteri  🌳 Børn og unge 🌱 En grøn omstilling, der rykker Kender du nogen, som kunne overveje at sætte deres kryds ved mig den 24. marts? Så send videoen her videre til dem - så vil jeg være godt",889,22,0,0,1,https://www.tiktok.com/@carstenbedsted/video/7620203348255362326
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7619756681408384278,2026-03-21,"14 elever i klassen. Tillidsskole. 'Den Kloge Skole.'  Bla bla bla. Når alt kommer til alt, bliver det et spørgsmål om to ting, hvis folkeskolen skal lykkes 👇 Tilstrækkelige ressourcer og frihed. Socialdemokratiet vil fixe det hele med ét værktøj - e",1217,23,0,1,1,https://www.tiktok.com/@carstenbedsted/video/7619756681408384278
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7619756683136371990,2026-03-21,"Tak 💚 En anbefaling fra Margrethe Vestager er noget, man næsten kun kan drømme om. Jeg vil arbejde hårdt for at leve op til de flotte ord og - vigtigst af alt - nordjydernes tillid 🌱 #vestager #eu #FV26",858,41,1,0,2,https://www.tiktok.com/@carstenbedsted/video/7619756683136371990
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618924391501548822,2026-03-19,"Ambitioner for børnene – og for Danmark 💚 Det er lærerne, der har redskaberne – de skal blot sættes fri til at passe deres arbejde og have ordentlige forhold. Hør blot hvordan Marianne Jelved for efterhånden mange år siden lykkedes med læreropgaven –",2554,105,2,3,5,https://www.tiktok.com/@carstenbedsted/video/7618924391501548822
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618904167007964438,2026-03-19,Motorvej over Egholm? Nej tak herfra 🛑 Fremkommeligheden til og fra Vendsyssel er vigtig. Det skal vi have løst. Men vi er nødt til at finde en anden løsning end at køre en motorvej henover generationer af aalborgensere og andre gode nordjyders bynær,2737,83,3,5,5,https://www.tiktok.com/@carstenbedsted/video/7618904167007964438
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618540062833200406,2026-03-18,"Starstruck 🤩 @vestager bakker Nordjylland og mig op 💚🙏 Og altså… jeg kan ikke lade være med at rødme, når et kæmpe politisk forbillede både sætter tid af til en god snak - og ligefrem anbefaler mig. Margrethe mener, som i al beskedenhed mig, at der e",950,29,1,1,2,https://www.tiktok.com/@carstenbedsted/video/7618540062833200406
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617909264199224598,2026-03-16,Mobning af minoriteter er IKKE en dansk værdi. Tværtimod 🤦‍♀️ 🍷 Nogle mennesker drikker ikke alkolhol pga. deres religiøse overbevisning 💰 Andre optager ikke lån med renter ⛪️ Atter andre går i kirke om søndagen Sådan skal det være. For Danmark er et,62500,6160,43,438,289,https://www.tiktok.com/@carstenbedsted/video/7617909264199224598
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617791989135822102,2026-03-16,NORDJYLLAND 💚 Her er jeg uddannet. Her har jeg mødt min dejlige kone. Her er mit arbejdsliv startet. Vi skal have 🌱 grøn omstilling 🚰 rent drikkevand 📚 ⛏️ bedre uddannelse Vi skal i gang nu – og derfor beder jeg om DIN stemme til folketingsvalget. Vi,1475,56,3,4,4,https://www.tiktok.com/@carstenbedsted/video/7617791989135822102
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617071319519202582,2026-03-14,"Bezin- og dieselpriser stiger og stiger 📈 Fordi Putin i Ukraine - og nu Trump i Iran. Vi kan ikke være afhængige af diktatorer og ustabile allierede, som får vores forbrugerpriser til at stige med raketfart. Derfor skal vi have sikker og grøn energi ",1444,45,2,2,5,https://www.tiktok.com/@carstenbedsted/video/7617071319519202582
carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7616307477050658070,2026-03-12,"Vil DF og Messerschmidt udskifte grundloven? Væk med 👇 👩‍⚖️ Retssikkerhed 🧕 Religionsfrihed 👨‍🏫 Det frie skolevalg Jeg synes, vi skal værne om Danmark 🇩🇰 Mit Danmark er et land, hvor man kan tænke, tro og leve, som man vil 💚 Det er også et land, hvor",15700,780,20,60,69,https://www.tiktok.com/@carstenbedsted/video/7616307477050658070
