tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7619523314788142358,2026-03-21,@Dansk Folkeparti #danmark🇩🇰 #dfpol #kæreHovedgård #dkpolitik #dkpol ,265,11,0,0,0,https://www.tiktok.com/@df.danmark/video/7619523314788142358
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7619009846968601859,2026-03-19,@Dansk Folkeparti #storebededag #danmark🇩🇰 #dfpol #dkpolitik ,275,6,0,0,0,https://www.tiktok.com/@df.danmark/video/7619009846968601859
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7618541800185285910,2026-03-18,@Morten Messerschmidt @Dansk Folkeparti #danmark🇩🇰 #dfpol #dfpol  #REWILDING ,459,19,2,1,1,https://www.tiktok.com/@df.danmark/video/7618541800185285910
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7618302148463381782,2026-03-17,@Dansk Folkeparti #danmark🇩🇰 ##dfpol #dkpolitik ,345,23,0,0,0,https://www.tiktok.com/@df.danmark/video/7618302148463381782
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7617822304071896342,2026-03-16,@Morten Messerschmidt @Dansk Folkeparti #danmark🇩🇰 #dfpol ,289,18,3,0,0,https://www.tiktok.com/@df.danmark/video/7617822304071896342
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7616722769002138902,2026-03-13,@Dansk Folkeparti #danmark🇩🇰 #dfpol #dkpolitik ,285,20,1,2,1,https://www.tiktok.com/@df.danmark/video/7616722769002138902
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7616305123203075350,2026-03-12,@Morten Messerschmidt @Dansk Folkeparti #danmark🇩🇰 #dfpol #dkpolitik ,393,46,2,3,3,https://www.tiktok.com/@df.danmark/video/7616305123203075350
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7615386006560197910,2026-03-09,@Dansk Folkeparti #danmark🇩🇰 #dfpol #dkpolitik ,266,9,2,0,0,https://www.tiktok.com/@df.danmark/video/7615386006560197910
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7614502945412893974,2026-03-07,@Morten Messerschmidt @Dansk Folkeparti #danmark🇩🇰 #dkpolitik #KjærHovedgård #dfpol ,304,32,2,0,0,https://www.tiktok.com/@df.danmark/video/7614502945412893974
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7613513637579296022,2026-03-04,@Dansk Folkeparti #danmark🇩🇰 #danskerneførst #dkpolitik #dfpol ,310,34,2,0,0,https://www.tiktok.com/@df.danmark/video/7613513637579296022
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7611488766938664214,2026-02-27,@Dansk Folkeparti #danmark🇩🇰 #dkpolitik #dfpol ,285,18,1,0,1,https://www.tiktok.com/@df.danmark/video/7611488766938664214
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7611157769571421462,2026-02-26,@Dansk Folkeparti #danmark🇩🇰 #valg2026,560,28,3,1,0,https://www.tiktok.com/@df.danmark/video/7611157769571421462
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7609265234053811478,2026-02-21,@Dansk Folkeparti #danmark🇩🇰 #dkpolitik #dfpol ,327,25,1,1,1,https://www.tiktok.com/@df.danmark/video/7609265234053811478
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7608820390172921110,2026-02-20,@Morten Messerschmidt @Dansk Folkeparti ##danmark🇩🇰 #dkpolitik #dfpol ,299,22,1,0,2,https://www.tiktok.com/@df.danmark/video/7608820390172921110
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7607783979671948566,2026-02-17,@Dansk Folkeparti #storebededag #kronen #danmark🇩🇰 #dfpol #dkpolitik ,333,22,1,0,3,https://www.tiktok.com/@df.danmark/video/7607783979671948566
df.danmark,DF Danmark,Dansk Folkeparti,Landsplan,fanpage_kommentar,7606623963824835862,2026-02-14,@Morten Messerschmidt #Kronen #danmark🇩🇰 #dfpol #dkpolitik ,313,25,2,0,2,https://www.tiktok.com/@df.danmark/video/7606623963824835862
