tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7607818462974512406,2026-02-17,🤥🤥 #dkpol #danskfolkepartisungdom #socialdemokratiet #danskpolitik #dansktiktok @DSU @Romeo Troelsgaard ,6782,331,4,20,30,https://www.tiktok.com/@dfungdom/video/7607818462974512406
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600813049976540438,2026-01-29,Landsformand til partilederdebat. #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik @thomaskastrupc ,9430,482,11,49,25,https://www.tiktok.com/@dfungdom/video/7600813049976540438
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600692265949940995,2026-01-29,Vi skal huske at respektere alle i en debat og demokratiet. #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,89400,3805,163,780,290,https://www.tiktok.com/@dfungdom/video/7600692265949940995
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600425945404558614,2026-01-28,Vi kræver hårdere straffe for knivstikkeri - hvis du gør det samme skal du stemme på DF til skolevalget!#skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,46700,1891,43,266,100,https://www.tiktok.com/@dfungdom/video/7600425945404558614
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7600115070722477314,2026-01-27,Gør som Marguerite og stem Dansk Folkeparti til skolevalget! #skolevalget2026 #danskfolkeparti #danskfolkepartisungdom #dkpol #danskpolitik ,127600,4175,234,2100,358,https://www.tiktok.com/@dfungdom/video/7600115070722477314
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7597884395986455830,2026-01-21,#Sammenføj med @Venstres Ungdom Stem på Venstre hvis du vil have mere af det samme. Stem Dansk Folkeparti hvis du vil noget nyt! #skolevalget2026 #dkpol #danskfolkeparti #venstre ,9240,157,8,12,13,https://www.tiktok.com/@dfungdom/video/7597884395986455830
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7596797919542447382,2026-01-18,#Sammenføj med @mads_fencker Selvfølgelig skal Danmark ud af EU!🇩🇰 #dkpol #danskfolkeparti #skolevalget2026 #eu ,8534,215,20,14,15,https://www.tiktok.com/@dfungdom/video/7596797919542447382
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7596419925921533206,2026-01-17,Vi skal have atomkraft i Danmark. #dkpol #danskfolkeparti #skolevalget2026 #atomkraft #solceller ,6314,105,6,4,9,https://www.tiktok.com/@dfungdom/video/7596419925921533206
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7595651728167488790,2026-01-15,"Dansk statsborgerskab er ikke en gave, man skal have pr automatik; man skal gøre sig fortjent til det! #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #indvandre @Mads-Magnus Damm ",6640,215,21,22,18,https://www.tiktok.com/@dfungdom/video/7595651728167488790
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7595268401422028054,2026-01-14,Lad os gøre det billigere at være dansker!🇩🇰 #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #afgift ,5077,118,11,1,8,https://www.tiktok.com/@dfungdom/video/7595268401422028054
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7594889195739565334,2026-01-13,Rejs hjem! @Romeo Troelsgaard  #dkpol #danskfolkeparti #danskfolkepartisungdom #skolevalget2026 #rejshjem ,6428,239,15,15,15,https://www.tiktok.com/@dfungdom/video/7594889195739565334
dfungdom,DFU,Dansk Folkeparti,Landsplan,ungdomsorganisation,7594531126790671638,2026-01-12,"Ja, det er faktisk ikke så svært… @Mads-Magnus Damm  #danskfolkepartisungdom #skolevalget2026 #danskfolkeparti #dkpol #indvandre ",5627,181,11,4,12,https://www.tiktok.com/@dfungdom/video/7594531126790671638
