tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7620079167777852694,2026-03-22,,435,31,1,3,4,https://www.tiktok.com/@ellenemilie_/video/7620079167777852694
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7619983046883740950,2026-03-22,,407,20,0,3,3,https://www.tiktok.com/@ellenemilie_/video/7619983046883740950
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7619596397234359554,2026-03-21,,521,23,0,2,4,https://www.tiktok.com/@ellenemilie_/video/7619596397234359554
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7619218133521419542,2026-03-20,,748,35,0,3,3,https://www.tiktok.com/@ellenemilie_/video/7619218133521419542
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618953521290841366,2026-03-19,,666,46,0,3,4,https://www.tiktok.com/@ellenemilie_/video/7618953521290841366
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618951476047514902,2026-03-19,,326,6,1,6,2,https://www.tiktok.com/@ellenemilie_/video/7618951476047514902
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618876533804928278,2026-03-19,,346,15,0,3,2,https://www.tiktok.com/@ellenemilie_/video/7618876533804928278
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618504530510089494,2026-03-18,,766,41,0,4,6,https://www.tiktok.com/@ellenemilie_/video/7618504530510089494
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618235929970347286,2026-03-17,,335,14,0,3,2,https://www.tiktok.com/@ellenemilie_/video/7618235929970347286
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7618106203670875414,2026-03-17,,317,17,0,3,3,https://www.tiktok.com/@ellenemilie_/video/7618106203670875414
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7617736852220480790,2026-03-16,,629,29,1,3,2,https://www.tiktok.com/@ellenemilie_/video/7617736852220480790
ellenemilie_,Ellen Emilie,Moderaterne,Københavns Storkreds,kandidat,7617568842818145558,2026-03-15,,745,47,0,4,3,https://www.tiktok.com/@ellenemilie_/video/7617568842818145558
