tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7620091581873392918,2026-03-22,"Alle har ret til gode og værdige liv. Det gælder også borgere i botilbud.  Det skal ikke være muligt at tjene millioner på de borgere, som er mest udsatte. Vores botilbud skal have mennesket for øje. Profitjægerne skal smides på porten. Det stiller v",1410,113,2,16,5,https://www.tiktok.com/@enhedslistenkbh/video/7620091581873392918
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7619245303832612118,2026-03-20,"Glædelig Eid ❤️🌙 I dag fejre tusindevis af københavnere Eid, og dermed afslutningen på Ramadanen. Glædelig Eid til jer alle!  #eidalfitr #eidmubark #2026 #københavn #muslimtiktok ",630,98,3,1,1,https://www.tiktok.com/@enhedslistenkbh/video/7619245303832612118
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7618659826586946818,2026-03-18,Du kan stemme på @Rosa Lund til folketingsvalget! Husk at sætte x ved liste ø. #københavn #statsborgerskab #folketingsvalg #nørrebro #girlsgirl ,5367,473,37,34,29,https://www.tiktok.com/@enhedslistenkbh/video/7618659826586946818
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7618617045101448470,2026-03-18,Mød vores folkeskolelærer og folketingskandidat @Mathilde Vinther Husk at stemme Ø d. 24. Marts! #københavn #skole #folkeskole #nørrebro #børn ,1845,160,5,6,12,https://www.tiktok.com/@enhedslistenkbh/video/7618617045101448470
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7618247643667402006,2026-03-17,Mød @pil_christensen 💚 Stem på hende til folketingsvalget! #københavn #klima #luftforurening #miljø #renluft,698,84,1,17,4,https://www.tiktok.com/@enhedslistenkbh/video/7618247643667402006
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7616442393755192598,2026-03-12,Mød vores folketingskandidat @Leila Stockmarr 💚💚 #københavn #amager #klima #enhedslisten #folketingsvalget ,1062,87,8,4,0,https://www.tiktok.com/@enhedslistenkbh/video/7616442393755192598
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7614603520179801366,2026-03-07,Vi er klar til valgkamp! 💚❤️ @pil_christensen @Leila Stockmarr @Mathilde Vinther ,1844,180,9,7,5,https://www.tiktok.com/@enhedslistenkbh/video/7614603520179801366
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7614192370757766422,2026-03-06,Vil du med ud og tale med Københavnerne om folketingsvalg? Skriv til os! ❤️ God tur i Hørgården på #amager med folketingskandidat @pil_christensen og @Ella Wiberg  Tak for de mange gode samtaler! Og glædelig Ramadan! 🌙 #københavn #enhedslisten #folke,13900,900,21,187,42,https://www.tiktok.com/@enhedslistenkbh/video/7614192370757766422
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7574030933788036374,2025-11-18,Arbejder hårdt til det sidste !!!,5193,171,2,5,5,https://www.tiktok.com/@enhedslistenkbh/video/7574030933788036374
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7573974672602107158,2025-11-18,Pookies med og stem !!!! #stem #pookies #rødtkøbenhavn,3589,152,4,1,4,https://www.tiktok.com/@enhedslistenkbh/video/7573974672602107158
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7573776965329587478,2025-11-17,Her er nogle af vores søde kandidater med en opfordring ♥️ Stem Enhedslisten ♥️ #københavn #kv2025 #wholesome ,10600,760,38,52,37,https://www.tiktok.com/@enhedslistenkbh/video/7573776965329587478
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7573698685607922966,2025-11-17,Vi krydser fingre 🤞🏼 Tak til @NinaRask ♥️ pass the phone challenge #overborgmester #kv2025 #københavn #enhedslisten #fyp ,13800,408,31,15,21,https://www.tiktok.com/@enhedslistenkbh/video/7573698685607922966
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7573378028550753559,2025-11-16,Gør som @NinaRask ! Stem Ø - for et København alle har råd til ♥️ #kv2025 #enhedslisten #københavn #dkpol #fyp ,17600,768,24,51,29,https://www.tiktok.com/@enhedslistenkbh/video/7573378028550753559
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7573279192343923971,2025-11-16,2 Dage Tilbage !!  🔥🔥🔥🔥✊✊✊ STEM Ø #kommunalvalg #kv2025 #fyp #swag ,2963,156,5,10,2,https://www.tiktok.com/@enhedslistenkbh/video/7573279192343923971
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7572868693391084822,2025-11-15,Vores kandidat @gunayusta deler sine tanker remigration #kommunalvalg #dkpol #enhedslisten #brugdinstemme #sammenmodhad ,12800,947,79,41,58,https://www.tiktok.com/@enhedslistenkbh/video/7572868693391084822
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7572622328757095702,2025-11-14,Rød taske med rød politik i 😍♥️💖 #whatsinmybag #bolig #kv2025 ,9146,327,21,10,12,https://www.tiktok.com/@enhedslistenkbh/video/7572622328757095702
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7572585460065701142,2025-11-14,GUILTYYY #RØD #enhedslisten #kv2025 #flerebilligeboliger ,2233,154,8,5,9,https://www.tiktok.com/@enhedslistenkbh/video/7572585460065701142
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7572444184087481622,2025-11-14,"4 dage til valget! Ved du, hvem du skal stemme på endnu? 👀💖 #hottakes #limebarfod #enhedslisten #kv2025 #københavn ",3981,173,9,4,9,https://www.tiktok.com/@enhedslistenkbh/video/7572444184087481622
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7572245956821912834,2025-11-13,Line Barfod reacts 💖🧚‍♀️ #reacts #lifeinlooks #fyp #politik #advokat,4911,180,13,7,12,https://www.tiktok.com/@enhedslistenkbh/video/7572245956821912834
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571866714078579990,2025-11-12,Tak til Ada 🤩 Line Barfod is endorsed by @Ada Colau #barcelona #copenhagen #votar #kv2025 #dkpol ,1616,106,4,2,6,https://www.tiktok.com/@enhedslistenkbh/video/7571866714078579990
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571827872256576790,2025-11-12,Boo 👻👻👻 #whyareyourunning #fyp #kv2025 #københavn ,22400,1261,68,30,43,https://www.tiktok.com/@enhedslistenkbh/video/7571827872256576790
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571703428313877782,2025-11-12,København skal være en by alle har råd til! ♥️ @Rosa Lund #kommunalvalg #københavn #pookies ,9631,304,68,21,13,https://www.tiktok.com/@enhedslistenkbh/video/7571703428313877782
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571481017895144726,2025-11-11,Er du enig ? 💖🤩 @Rosa Lund #københavn #nørrebrogirls #enig #fyp #linebarfod ,24900,659,53,30,26,https://www.tiktok.com/@enhedslistenkbh/video/7571481017895144726
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571389717212613910,2025-11-11,Kom med ♥️♥️ linket er også på vores profil her på TikTok 😍 #enhedslisten #kommunalvalg ,2785,135,9,7,6,https://www.tiktok.com/@enhedslistenkbh/video/7571389717212613910
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7571131081081113878,2025-11-10,Hvem er Line Barfod 👄 #meangirls #regina #linebarfod #enhedslsiten #fyp ,5149,238,34,14,19,https://www.tiktok.com/@enhedslistenkbh/video/7571131081081113878
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7570405772354506006,2025-11-08,Øhm okay tak…. #genz #redigere #enhedslsiten #fyp ,4109,230,7,6,15,https://www.tiktok.com/@enhedslistenkbh/video/7570405772354506006
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7569990286579879190,2025-11-07,"Bare vi havde en overborgmesterkandidat, der der gik op i at gøre København billigere at bo i 😔NÅ ja vi har @line.barfod  💖!   @Rød-Grøn Ungdom København  @Asta Kofod  Synes du også det er blevet for dyrt at bo i København 🙁 - Så stem Ø den 18. novem",11500,613,33,33,25,https://www.tiktok.com/@enhedslistenkbh/video/7569990286579879190
enhedslistenkbh,Enhedslisten København,Enhedslisten - De Rød-Grønne,København,parti_lokal,7569513241374772502,2025-11-06,"Like hvis du er enig- offentlig transport er blevet alt for dyrt! Vi arbejder for det højst skal koste 10 kr at tage tog, bus eller metro i Kbh ♥️",10400,408,41,14,18,https://www.tiktok.com/@enhedslistenkbh/video/7569513241374772502
