tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619726095826291990,2026-03-21,Newroz pîroz be 💚✌️❤️✌️💛 Newrozfest på Rådhuspladsen.,710,40,2,2,1,https://www.tiktok.com/@fatih.baran37/video/7619726095826291990
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619608994268581143,2026-03-21,"Saygıdeğer halkımıza #Ramazan bayramınız ve #Newroz 'unuz kutlu olsun. Ben Fatih Baran. 47 yaşında, evli ve iki çocuk babasıyım. 2000 yılında Danimarka’ya geldim. 2008’de eğitimimi tamamladıktan sonra öğretmenliğe başladım. 2021’de yapılan yerel seçi",4292,135,15,30,8,https://www.tiktok.com/@fatih.baran37/video/7619608994268581143
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619426070588099842,2026-03-20,,804,45,2,3,0,https://www.tiktok.com/@fatih.baran37/video/7619426070588099842
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619305065307720982,2026-03-20,Yabancılardan bıkmış bir Danimarkalı varmıṣ. İçinden sürekli şöyle geçiriyor: “Keşke bir sabah uyansam ve bütün yabancılar Danimarka’dan gitmiş olsa.” Bir gece uyuyor ve rüyasında dileğinin gerçekleştiğini görüyor. Gerçekten de bütün yabancılar ülkey,99300,12600,37,624,499,https://www.tiktok.com/@fatih.baran37/video/7619305065307720982
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7619080277750517014,2026-03-19,"Selvom jeg var uforberedt og med kort varsel trådte ind i debatten, gik det rigtig godt. Jeg fik først besked i går kl. 22 om, at jeg skulle tage pladsen, da Ibrahim Benli blev forhindret i at deltage som spidskandidat. Det blev en stærk og levende d",1038,49,2,2,0,https://www.tiktok.com/@fatih.baran37/video/7619080277750517014
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7618202697518386454,2026-03-17,"Skærebræt projektet på 6. årgang er i fuld gang og resultaterne begynder allerede at tage form. ❤️🌹❤️ Eleverne arbejder med præcision, håndværk og kreativitet og det kan ses i de flotte produkter. Det er læring med hænderne, hvor stolthed og fordybel",627,21,1,0,0,https://www.tiktok.com/@fatih.baran37/video/7618202697518386454
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7617223527778815254,2026-03-14,Maṣallah 💚✌️❤️✌️💛,2688,98,3,11,6,https://www.tiktok.com/@fatih.baran37/video/7617223527778815254
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7617182488120577302,2026-03-14,Newroz Piroz be 💚✌️❤️✌️💛,1098,73,8,14,2,https://www.tiktok.com/@fatih.baran37/video/7617182488120577302
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7617176821565508886,2026-03-14,Newroz Piroz be 💚✌️❤️✌️💛,1100,54,1,12,5,https://www.tiktok.com/@fatih.baran37/video/7617176821565508886
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7617064368139767062,2026-03-14,"Fællesskab · Solidaritet · Velfærd Bihevratî · Piştgirî · Halxwaşî Birliktelik · Dayanışma · Refah For mennesker, velfærd og en retfærdig grøn fremtid. Stem Enhedslisten Fatih Baran Folketingskandidat · Københavns Omegn",2991,84,1,19,3,https://www.tiktok.com/@fatih.baran37/video/7617064368139767062
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7615392226662763798,2026-03-09,,2422,71,4,2,2,https://www.tiktok.com/@fatih.baran37/video/7615392226662763798
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7615201791864589590,2026-03-09,"4.E er i fuld gang med sømbillede projektet i håndværk og design. Eleverne er helt opslugte af arbejdet og elsker at se mønstrene vokse frem, når trådene spændes mellem sømmene. ❤️🌹❤️ Det giver en god pause fra de mere boglige fag og skaber både bevæ",960,46,5,1,1,https://www.tiktok.com/@fatih.baran37/video/7615201791864589590
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7614549672081755414,2026-03-07,,8725,155,27,93,6,https://www.tiktok.com/@fatih.baran37/video/7614549672081755414
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7613815921039150358,2026-03-05,"Folkeskolen er ikke bare en institution. Den er fundamentet under vores fællesskab og det stærkeste redskab, vi har til at skabe reel lighed i Danmark. Alligevel står vi midt i en national lærerkrise. Andelen af lærere uden læreruddannelse er steget ",11300,206,10,152,9,https://www.tiktok.com/@fatih.baran37/video/7613815921039150358
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7613682499671248131,2026-03-05,"Her til morgen delte Enhedslisten flyers ud på Brøndby Strand Station. Morgenfriske kandidater i Københavns Omegn var tidligt ude og mødte vælgerne. Vi talte om behovet for stærkere velfærd, en retfærdig grøn omstilling og et Danmark, hvor fællesskab",5147,120,7,33,3,https://www.tiktok.com/@fatih.baran37/video/7613682499671248131
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7613652199410781462,2026-03-05,,1180,36,8,3,0,https://www.tiktok.com/@fatih.baran37/video/7613652199410781462
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7613029272139173142,2026-03-03,,4323,82,4,4,1,https://www.tiktok.com/@fatih.baran37/video/7613029272139173142
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7611879084204838166,2026-02-28,,1318,85,6,0,1,https://www.tiktok.com/@fatih.baran37/video/7611879084204838166
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7611304400887352598,2026-02-26,"Bor du i Københavns Omegn, kan du stemme på mig som folketingskandidat nr. 3 eller på vores spidskandidat Ibrahim Benli. Jeg går til valg med rødder i hverdagen som folkeskolelærer og med fokus på en stærk folkeskole, social retfærdighed og en ambiti",4149,161,21,4,4,https://www.tiktok.com/@fatih.baran37/video/7611304400887352598
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7608652567433776406,2026-02-19,,942,75,0,0,2,https://www.tiktok.com/@fatih.baran37/video/7608652567433776406
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7607969480030948630,2026-02-17,Ramadan Mubarak til alle mine muslimske venner. ❤️🌹❤️,1039,40,1,0,1,https://www.tiktok.com/@fatih.baran37/video/7607969480030948630
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7607451290691521814,2026-02-16,,982,65,2,0,0,https://www.tiktok.com/@fatih.baran37/video/7607451290691521814
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7602731112577731862,2026-02-03,,862,46,0,0,1,https://www.tiktok.com/@fatih.baran37/video/7602731112577731862
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7600148550881840407,2026-01-27,,1039,85,4,5,1,https://www.tiktok.com/@fatih.baran37/video/7600148550881840407
fatih.baran37,Fatih Baran,Enhedslisten - De Rød-Grønne,Københavns Omegns Storkreds,kandidat,7600036902753799446,2026-01-27,Dagens kreative aktivitet. Vævning med fokus og fantasi. ❤️🌹❤️,1263,44,5,4,1,https://www.tiktok.com/@fatih.baran37/video/7600036902753799446
