tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7614087767127067926,2026-03-06,Hvilken Ida er du selv i dag? 👀 ,30300,242,11,9,12,https://www.tiktok.com/@idaauken/video/7614087767127067926
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7611192525587533078,2026-02-26,Jeg har fundet Alex Vanopslaghs flyttekasser😬 Hvad mon der er i? 👀,39000,505,41,36,34,https://www.tiktok.com/@idaauken/video/7611192525587533078
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7619684437176913174,2026-03-21,“Man er fan’me nødt til at drikke øl efterhånden” ,47600,1359,17,129,95,https://www.tiktok.com/@idaauken/video/7619684437176913174
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7619233511895076119,2026-03-20,I dag er sidste dag du kan brevstemme! Husk at bruge din stemme i dag - eller på tirsdag 💚,1305,22,0,0,0,https://www.tiktok.com/@idaauken/video/7619233511895076119
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7619060720474524951,2026-03-19,Jeg har lige været i Aalborg for at se på deres problemer med drikkevandet 💦,629,7,1,0,0,https://www.tiktok.com/@idaauken/video/7619060720474524951
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7618648555959487766,2026-03-18,Prøver at fange de sidste vælgere 😅,2194,52,1,4,1,https://www.tiktok.com/@idaauken/video/7618648555959487766
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7618490724539026710,2026-03-18,"Det er som om vi har været her før, Venstre. Lad os nu få lavet det forbud om at sprøjte ovenpå drikkevandet!! ",1381,92,2,1,2,https://www.tiktok.com/@idaauken/video/7618490724539026710
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7617435371319708950,2026-03-15,Tak for anmeldelsen af mine valgplakater;),585,10,0,0,0,https://www.tiktok.com/@idaauken/video/7617435371319708950
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7616770752347491606,2026-03-13,,1342,21,0,2,1,https://www.tiktok.com/@idaauken/video/7616770752347491606
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7616011692929223958,2026-03-11,"Kan ikke gå på gaden i København uden at folk siger, at de vil stemme på Socialdemokratiet 🙄😉",892,32,1,5,1,https://www.tiktok.com/@idaauken/video/7616011692929223958
idaauken,Ida Auken,Socialdemokratiet,Københavns Storkreds,kandidat,7615952845623315734,2026-03-11,"Selvom det er valgkamp, kan man stadig godt give sine modstandere en hjælpende hånd 🤝🌞🌞 ",2390,37,2,0,2,https://www.tiktok.com/@idaauken/video/7615952845623315734
