tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7612707312838446358,2026-03-02,Følg min nye rejse på TikTok 💙 #danmarksdemokraterne #fyp #dkpol ,435600,23300,425,5755,782,https://www.tiktok.com/@ingerstojberg/video/7612707312838446358
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7619695653093985558,2026-03-21,Sådan 👍🏼  #danmarksdemokraterne #fyp #dkpol ,4492,239,13,12,10,https://www.tiktok.com/@ingerstojberg/video/7619695653093985558
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618968094412737814,2026-03-19,🚨GRATIS SVINEMØRBRAD PÅ LØRDAG I AALBORG FRA 10-11.30 PÅ NYTORV  #danmarksdemokraterne #dkpol #fyp ,324100,15500,170,2108,1176,https://www.tiktok.com/@ingerstojberg/video/7618968094412737814
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618590281234910486,2026-03-18,Danmark fortjener altså en blå regering 🙏🏼#danmarksdemokraterne #fyp #dkpol ,330300,23300,139,2607,983,https://www.tiktok.com/@ingerstojberg/video/7618590281234910486
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618256140127702294,2026-03-17,😇😇😇 #danmarksdemokraterne #fyp #dkpol ,55100,3270,50,96,86,https://www.tiktok.com/@ingerstojberg/video/7618256140127702294
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617873517975047426,2026-03-16,Hvad spiser jeg på Flammen? 🤷‍♀️ #danmarksdemokraterne #dkpol #fyp #flammen ,346000,14100,194,3297,588,https://www.tiktok.com/@ingerstojberg/video/7617873517975047426
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617544058688310550,2026-03-15,"Vi skal have banket priserne ned på benzin og diesel, og det skal vi med det samme! ⛽️ #danmarksdemokraterne #dkpol #fyp ",96200,4711,105,183,285,https://www.tiktok.com/@ingerstojberg/video/7617544058688310550
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617431707247054102,2026-03-15,"Burde det ikke være moskeerne, der var lukningstruet? 🥲 #danmarksdemokraterne #fyp #dkpol ",134500,6223,111,984,313,https://www.tiktok.com/@ingerstojberg/video/7617431707247054102
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7616728200525221142,2026-03-13,🤙 #danmarksdemokraterne #fyp #dkpol ,31400,2122,23,222,82,https://www.tiktok.com/@ingerstojberg/video/7616728200525221142
ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7616678374173412630,2026-03-13,Kæmpe nej tak til JERNMARKER! #danmarksdemokraterne #fyp #dkpol ,83600,5831,66,229,345,https://www.tiktok.com/@ingerstojberg/video/7616678374173412630
