tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7615888757681655062,2026-03-11,"Jeg stiller op, fordi jeg tror på, at politik skal samle mere, end den splitter. Danmark står i en tid, hvor både fællesskab, uddannelse og vores relation til Grønland kræver tydelige stemmer og ærlige prioriteringer. Jeg vil arbejde for stærkere lok",5819,203,2,12,14,https://www.tiktok.com/@jakob.larsen.rv/video/7615888757681655062
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7620052445758065942,2026-03-22,Skud ud den anden vej! Vi ses i stemmeboksen på tirsdag! #folketingsvalg ,2101,51,1,5,7,https://www.tiktok.com/@jakob.larsen.rv/video/7620052445758065942
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7618696694712012054,2026-03-18,Lad os bevare kongeriget! 🇩🇰 Tag din ven fra Fyn!  @Steven Feraru ,2213,54,4,8,5,https://www.tiktok.com/@jakob.larsen.rv/video/7618696694712012054
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7618125597532835075,2026-03-17,Jakob tager den her fra  - Venlig hilsen admin 50% grønlænder 50% fynbo 100% locked in. #fv26 #dansktiktok #dkpol #fyp #politik ,2914,73,6,23,5,https://www.tiktok.com/@jakob.larsen.rv/video/7618125597532835075
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7617959251071241495,2026-03-16,Støt Bardia ved at trykke på linket nede i kommentarfeltet og underskriv⬇️#odense #danmark #dansktiktok #dkpol #fyp ,178700,13200,132,1028,737,https://www.tiktok.com/@jakob.larsen.rv/video/7617959251071241495
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7617534491606715670,2026-03-15,Hvem af os med @Martin Lidegaard @Radikale #dkpol #danmark #politik #fyp #dansktiktok ,17200,706,1,26,10,https://www.tiktok.com/@jakob.larsen.rv/video/7617534491606715670
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7617351511630302486,2026-03-15,Det er vigtigere end nogensinde at grønlændere og danskere arbejder sammen - vil vil være uenige om mange ting 😉. Men at vi er tæt forbundet skal der aldrig blive tvivl om #folketingsvalg #fyn #radikaleVenstre ,11700,247,6,5,14,https://www.tiktok.com/@jakob.larsen.rv/video/7617351511630302486
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7616670145536183574,2026-03-13,"Ja, Hvis du er fynbo, så stem d. 24 marts! Og kan jeg lige benytte muligheden for at sige hvor fantastisk, det er at have folk omkring sig, der bakker en op. Valgkampen er et langt sejt træk - men det er vigtigt. Og det havde ikke kunne lade sig gøre",14900,281,5,17,25,https://www.tiktok.com/@jakob.larsen.rv/video/7616670145536183574
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7616357304086072598,2026-03-12,"Foreningslivet er noget af det stærkeste, vi har. Her lærer man fællesskab, ansvar og det at løfte noget sammen. Det skaber sunde borgere og stærke lokalsamfund. Hvis vi vil have den gevinst, kræver det også ordentlige faciliteter - på hele Fyn. ⚽🏐🏸 ",22000,688,54,128,38,https://www.tiktok.com/@jakob.larsen.rv/video/7616357304086072598
jakob.larsen.rv,Jakob Larsen,Radikale Venstre,Fyns Storkreds,kandidat,7616277102886669590,2026-03-12,For nylig lagde jeg vejen forbi Aaja Chemnitz - både for at ønske stort tillykke med indstillingen til Nobel Peace Prize og for at vende nogle små og store dilemmaer sammen. 🇬🇱🇩🇰 #radikaleVenstre #grønland ,24800,542,4,10,23,https://www.tiktok.com/@jakob.larsen.rv/video/7616277102886669590
