tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619609557182008598,2026-03-21,#fyp #stemjankristoffersen ,45100,3612,63,828,232,https://www.tiktok.com/@jankristoffersen/video/7619609557182008598
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619592049683123478,2026-03-21,Jeg stiller op fordi jeg tror på fremtiden.  #fyp #stemjankristoffersen #stopsauron ,1544,76,2,1,1,https://www.tiktok.com/@jankristoffersen/video/7619592049683123478
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7619249370810141974,2026-03-20,Realiser. Legaliser.  #fyp #stemjankristoffersen ,1788,103,4,4,3,https://www.tiktok.com/@jankristoffersen/video/7619249370810141974
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618849291725065494,2026-03-19,Ny offentlighedslov  #fyp #stemjankristoffersen #stopsauron ,1760,117,2,0,1,https://www.tiktok.com/@jankristoffersen/video/7618849291725065494
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618523874891713814,2026-03-18,Så er der spændene nyt fra EU.  #fyp #stemjankristoffersen #stopsauron ,3865,375,11,28,22,https://www.tiktok.com/@jankristoffersen/video/7618523874891713814
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618189905541270806,2026-03-17,Ny offentlighedslov. Indsigt i de demokratiske processer.  #fyp #stemjankristoffersen #stopsauron ,8169,434,14,16,18,https://www.tiktok.com/@jankristoffersen/video/7618189905541270806
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7618136862699375894,2026-03-17,"Retten til privatliv er fundamentet for tanke, tale og ytringsfrihed.  #fyp #stemjankristoffersen #stopsauron ",3042,290,6,8,11,https://www.tiktok.com/@jankristoffersen/video/7618136862699375894
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7617767886072925462,2026-03-16,Stop overvågning  #fyp #stemjankristoffersen #stopsauron ,3711,351,13,16,19,https://www.tiktok.com/@jankristoffersen/video/7617767886072925462
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7617387367925861654,2026-03-15,#fyp #stemjankristoffersen #stopsauron ,2759,198,5,4,6,https://www.tiktok.com/@jankristoffersen/video/7617387367925861654
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7616988079085178134,2026-03-14,Silende regn - men stadig en god start på den næstsidste weekend inden valget  #fyp #stemjankristoffersen ,2685,165,10,4,3,https://www.tiktok.com/@jankristoffersen/video/7616988079085178134
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7616674158977486102,2026-03-13,#fyp #stemjankristoffersen #stopsauron ,30000,1608,39,57,103,https://www.tiktok.com/@jankristoffersen/video/7616674158977486102
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7616399337190444310,2026-03-12,Gode nyheder fra Europa-Parlamentet. Nej til chatkontrol  #fyp #stemjankristoffersen #stopsauron ,8598,911,27,77,61,https://www.tiktok.com/@jankristoffersen/video/7616399337190444310
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7616285406618750230,2026-03-12,Kunstig intelligens forandrer fremtiden. Vi bliver nødt til at tænke nye tanker  #fyp #stemjankristoffersen ,2653,199,12,4,17,https://www.tiktok.com/@jankristoffersen/video/7616285406618750230
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7615932409296456982,2026-03-11,Slut med forbudspolitik. Legaliser.  #fyp #stemjankristoffersen #stopsauron #legaliser ,2918,237,6,11,9,https://www.tiktok.com/@jankristoffersen/video/7615932409296456982
jankristoffersen,Jan Kristoffersen,Alternativet,Københavns Storkreds,kandidat,7615162260658375958,2026-03-09,Hvad syntes du egentljg om valgkamp og hvad syntes du er vigtigt?  #fyp #stemjankristoffersen #stopsauron ,1961,104,9,7,2,https://www.tiktok.com/@jankristoffersen/video/7615162260658375958
