tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7617480256089361686,2026-03-15,Borgerdialog fylder alt for lidt i denne valgkamp. #politik #dkpol #dererbreeev,1592,50,2,0,2,https://www.tiktok.com/@jeannebergmansensf/video/7617480256089361686
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7573782493736783126,2025-11-17,"Sidst var han med i barnevognen. Nu går han med, hver gang vi går til postkasserne. ",52,1,0,0,0,https://www.tiktok.com/@jeannebergmansensf/video/7573782493736783126
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7573778839474588950,2025-11-17,Husk valg i morgen! Du bestemmer hvem der skal i byrådet. #kv25 #politik #sf #socialistiskfolkeparti ,849,13,1,0,0,https://www.tiktok.com/@jeannebergmansensf/video/7573778839474588950
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7571020930730708246,2025-11-10,"Roskilde trænger til en ny rød borgmester. Og hende har vi! 💪 Tina Boel er vores borgmesterkandidat, fordi: tid til tryghed, omsorg og værdighed ♥️#kv25 #politik #sf #socialistiskfolkeparti ",915,22,0,0,1,https://www.tiktok.com/@jeannebergmansensf/video/7571020930730708246
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7568154918406737174,2025-11-02,Øv for os? Eller hurra for klimaet. Kan man egentligt være et grønt parti og plastre hele byen til? Nej!! Mener vi i SF. Partierne har et ansvar i den grønne dagsorden. #kv25 #politik #dkpol #sf ,1707,55,3,7,1,https://www.tiktok.com/@jeannebergmansensf/video/7568154918406737174
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7559302270588947734,2025-10-09,"#huskmitnavn laver fantastiske værker. Især hans børnebøger er vi glade for at læse og tegne i.  Og ja, budskaberne er vigtige og nemme at forstå, selv for en 4 årig. 😌 #kv25 #klima #dkpol #sf ",294,3,0,0,0,https://www.tiktok.com/@jeannebergmansensf/video/7559302270588947734
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7558432599669017878,2025-10-07,Kaffen er klar! Og den er gratis. Det er charmørsmilet også. 😌 For i dag kan du brevstemme på lige netop din kandidat til #kv25 !  Håber vi ses til kaffe og dialog ude i byen. Jeg glæder mig! 😃🥳#roskildebyråd #dkpol #sf #kommunalvalg2025 ,1223,23,0,3,2,https://www.tiktok.com/@jeannebergmansensf/video/7558432599669017878
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7556633890677345558,2025-10-02,Mere læsning til borgerne. Det giver kun mening! #roskildebyråd #dkpol #kv25 #litteratur #bøger ,693,17,1,0,0,https://www.tiktok.com/@jeannebergmansensf/video/7556633890677345558
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7556257195206184214,2025-10-01,"I Roskilde passer vi ikke nok på vores ressourcer. Det er blevet alt for nemt at rive ned, for at bygge store palæer i hel-dårlig kvalitet.  Det er drøn ærgerlig, når vi har så mange smukke boligområder. Jeg har arbejdet politisk med det i 4 år nu, o",1065,42,4,0,1,https://www.tiktok.com/@jeannebergmansensf/video/7556257195206184214
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7555422806842838294,2025-09-29,"@SF hjælper gerne @Social Demokratiet . For flyers har det med at blæse væk. I går kom jeg forbi @Chili Preisler-Andersen s flyers ved Byens Hus i Roskilde.  Vi har brug for et stærkt byråd som hjælper hinanden, frem for at bekrige hinanden. For det ",809,11,12,0,0,https://www.tiktok.com/@jeannebergmansensf/video/7555422806842838294
jeannebergmansensf,Jeanne Bergmansen,SF - Socialistisk Folkeparti,Sjællands Storkreds,kandidat,7554690165306821910,2025-09-27,"Har du lugten til osten?  I Roskilde er vi pænt ærgerlige over, at politikerne ikke er klimabevidste eller borgerbevidste. For vi udvinder alt for meget grus, frem for at genanvende vores materialer. Det har konsekvenser for klimaet - miljøet - og me",1196,40,4,1,0,https://www.tiktok.com/@jeannebergmansensf/video/7554690165306821910
