tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7618153881050025238,2026-03-17,,741,48,2,0,4,https://www.tiktok.com/@jensmeilvang165/video/7618153881050025238
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7617889732961258774,2026-03-16,,969,52,1,3,3,https://www.tiktok.com/@jensmeilvang165/video/7617889732961258774
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7615239178208496918,2026-03-09,Det er billigere at flyve fra København til Aalborg end at tage toget.. Det er for dårligt! ,14900,535,6,45,20,https://www.tiktok.com/@jensmeilvang165/video/7615239178208496918
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7614826669022448918,2026-03-08,Kig forbi forårs Messen i Grenaa 😎 #liberalalliance @Liberal Alliance #grenaa #cool ,2286,94,8,12,7,https://www.tiktok.com/@jensmeilvang165/video/7614826669022448918
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7614434856843545879,2026-03-07,Ses vi i Grenaa i løbet af weekenden 🙌 #liberalalliance @Liberal Alliance #Grenaa #meilvang ,2922,93,2,5,7,https://www.tiktok.com/@jensmeilvang165/video/7614434856843545879
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7612546600967228694,2026-03-02,"DSB har brugt 250.000.000 kr. på et vagtplansystem, der ikke virker, hvilket medfører flere forsinkelser end normalt.  Vi har sagt det mange gange før, og vi siger det igen: der mangler ikke penge, der mangler fornuft.",2210,83,1,1,3,https://www.tiktok.com/@jensmeilvang165/video/7612546600967228694
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7612243524062432534,2026-03-01,"En lille ting, der kan gøre en stor forskel 🙏",840,58,1,1,4,https://www.tiktok.com/@jensmeilvang165/video/7612243524062432534
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7611836014482541846,2026-02-28,Er en formueskat en god ide? ,1121,73,5,1,2,https://www.tiktok.com/@jensmeilvang165/video/7611836014482541846
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7611574217879948546,2026-02-27,DSB bruger millioner på taxakørsel af ansatte @Liberal Alliance  #liberalalliance ,1922,94,1,4,6,https://www.tiktok.com/@jensmeilvang165/video/7611574217879948546
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7610323805780593942,2026-02-24,Kræver ændringer til fødevarecheck: Ind med lærlinge - ud med millionærfamilier og kriminelle! #liberalalliance @Liberal Alliance ,642,30,8,1,1,https://www.tiktok.com/@jensmeilvang165/video/7610323805780593942
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7609672319413275926,2026-02-22,Socialdemokratiet vs Liberal Alliance #liberalalliance @Liberal Alliance ,7516,348,40,31,23,https://www.tiktok.com/@jensmeilvang165/video/7609672319413275926
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7604422941027175702,2026-02-08,Et klasseloft uden lærere: Endnu et urealistisk S-løfte! #liberalalliance @Liberal Alliance ,944,51,4,1,4,https://www.tiktok.com/@jensmeilvang165/video/7604422941027175702
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7602632593565060354,2026-02-03,"Fastelavnsbollegate  Er der grund til forargelse? Måske.  Skal politikerne blande sig i, hvordan borgerne bruger deres penge? Nej!  Forsøger Socialdemokratiet at skubbe til misundelsen blandt danskerne? Ja. #liberalalliance @Liberal Alliance ",1727,62,6,0,3,https://www.tiktok.com/@jensmeilvang165/video/7602632593565060354
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7601824165254991106,2026-02-01,Tusindvis af millionærfamilier modtager ny fødevarecheck! #liberalalliance @Liberal Alliance @Liberal Alliances Ungdom ,2191,71,6,5,2,https://www.tiktok.com/@jensmeilvang165/video/7601824165254991106
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7601124461047434499,2026-01-30,De første 100 skøre regler vi afskaffer så snart vi kommer i regering! Læs vores nye udspil 🙌 #liberalalliance @Liberal Alliance ,9631,341,8,36,31,https://www.tiktok.com/@jensmeilvang165/video/7601124461047434499
jensmeilvang165,Jens Meilvang,Liberal Alliance,Østjyllands Storkreds,kandidat,7600725064073415958,2026-01-29,#liberalalliance @Liberal Alliance ,3052,141,8,8,11,https://www.tiktok.com/@jensmeilvang165/video/7600725064073415958
