tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7620008721841655062,2026-03-22,Stem LA💙 Stem Daugaard,1513,78,3,0,0,https://www.tiktok.com/@katrinedaugaard26/video/7620008721841655062
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7619473709417368854,2026-03-20,Stem blåt! 💙Stem LA! 💙Stem Daugaard! 💙,986,47,3,10,1,https://www.tiktok.com/@katrinedaugaard26/video/7619473709417368854
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7619008689894182166,2026-03-19,Fjern elafgiften varigt! @Liberal Alliance #FV2026 ,1268,53,0,8,2,https://www.tiktok.com/@katrinedaugaard26/video/7619008689894182166
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7618947428703587606,2026-03-19,"lt for mange offentligt ansatte drukner i bureaukrati i stedet for at bruge tiden på mennesker. Derfor vil Liberal Alliance bryde velfærdsmonopolet, give borgerne frit valg fra dag ét og lade pengene følge borgeren. Mere frihed, mere kvalitet og mind",1243,41,8,1,0,https://www.tiktok.com/@katrinedaugaard26/video/7618947428703587606
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7618552402479713558,2026-03-18,Skolemad - nej tak!,1628,60,4,0,1,https://www.tiktok.com/@katrinedaugaard26/video/7618552402479713558
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7618271559949634838,2026-03-17,Forvaltningsdomstol nu! Stem for en bedre retssikkerhed - Stem Daugaard💙,1530,18,2,0,0,https://www.tiktok.com/@katrinedaugaard26/video/7618271559949634838
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7618180259631942934,2026-03-17,Husk at stemme personligt. 💙 @Alex Vanopslagh @Liberal Alliance @Liberal Alliances Ungdom #stempersonligt #FV2026 ,77800,4014,62,226,135,https://www.tiktok.com/@katrinedaugaard26/video/7618180259631942934
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7617970428975353110,2026-03-16,Stem personligt d.24/3💙,2370,58,1,1,2,https://www.tiktok.com/@katrinedaugaard26/video/7617970428975353110
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7617486889901214998,2026-03-15,"Kalder alle unge Fynboer! Tirsdag d.17/3 er der LAkaraokenight på DoAn på Thomas B. Thrigesgade 85, 5000 Odense C #valg2026 #lau @Liberal Alliance  @Liberal Alliances Ungdom #øl #karaoke ",3409,53,6,10,1,https://www.tiktok.com/@katrinedaugaard26/video/7617486889901214998
katrinedaugaard26,Katrine Daugaard,Liberal Alliance,Fyns Storkreds,kandidat,7617027579089882390,2026-03-14,"Retssikkerhed er noget af det vigtigste at få sikret i den kommende periode. Når myndighederne begår lovbrud overfor borgere i socialsager, skattesager, byggesager eller vurderingssager så er man mildest talt på herrens mark. Derfor skal vi have indf",1113,6,1,0,0,https://www.tiktok.com/@katrinedaugaard26/video/7617027579089882390
