tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7589699225907137814,2025-12-30,"Jeg startede selv med at gå med aviser allerede da jeg var 11 år. Jeg lærte meget ved at have et fritidsarbejde. Jeg gjorde bl.a. rent hos Kernebageren på Jørgen Pedersens vej i Esbjerg. De unge mennesker under 18 år, som har et fritidsjob, oplever o",111900,4152,110,1366,381,https://www.tiktok.com/@kronborg1982/video/7589699225907137814
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7563958049010978070,2025-10-22,Fra og med den 1. januar 2026 skal unge under 18 år ikke længere betale AM-bidrag 👏 #dkpol #dkmedier ,58100,2276,82,759,129,https://www.tiktok.com/@kronborg1982/video/7563958049010978070
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7561178584342088982,2025-10-14,"Jeg har tjekket afstemningerne igennem i EU-Parlamentet. Blev chokeret over, at @Anders Vistisen ikke stemte samme med de andre danske EU-medlemmer. Hvad er forklaringen på det. Vi skal holde med Ukraine 🇩🇰🇺🇦 #dkpol ",20900,440,75,11,23,https://www.tiktok.com/@kronborg1982/video/7561178584342088982
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7620051367389826326,2026-03-22,Familieliv og arbejde skal hænge sammen #dkpol ,344,17,1,2,1,https://www.tiktok.com/@kronborg1982/video/7620051367389826326
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7619081233682681110,2026-03-19,"Dem der har mest, skal bidrage lidt mere 🌹",1894,30,16,2,2,https://www.tiktok.com/@kronborg1982/video/7619081233682681110
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7618124471328574742,2026-03-17,"Jeg var i går inviteret til Oksbøl for at snakke om ulve. Jeg har fulgt ulvedebatten tæt og presset på for mere ulvesikret hegn, forebyggelsestiltag i forhold til at ulven er i vores byområder, information til borgerne og regulering af ulve. Jeg syne",1792,35,5,7,4,https://www.tiktok.com/@kronborg1982/video/7618124471328574742
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7614916814891535638,2026-03-08,God kampdag ♥️,1001,21,5,5,0,https://www.tiktok.com/@kronborg1982/video/7614916814891535638
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7614794156745166082,2026-03-08,Energistyrelsen til Esbjerg ❤️,6223,102,13,10,4,https://www.tiktok.com/@kronborg1982/video/7614794156745166082
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7604450523294567702,2026-02-08,"Hvad vil blå-blok egentlig? I Socialdemokratiets finder vi det naturligt at fremlægge vores politik. Ikke mindst i et valgår bør vælgerne få fortalt hvad partierne vil efter et valg, så vælgerne ved hvad de kan forvente. Vi fortæller også danskerne i",2006,24,14,3,0,https://www.tiktok.com/@kronborg1982/video/7604450523294567702
kronborg1982,Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,kandidat,7603766595202206998,2026-02-06,"Socialdemokratiet foreslår en ny lilleskole, hvor der indføres et klasseloft på 14 elever fra 0.-3. klasse.  Med små klasser får klasselæreren bedre rammer for at bygge nære relationer og skabe undervisning med ro og færre konflikter.  Små klasser gi",6092,171,9,40,13,https://www.tiktok.com/@kronborg1982/video/7603766595202206998
