tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7620126727548849430,2026-03-22,Du kan altid blive klogere ved at lytte til andre 🙂 #fyp #foryou #foryoupage #viral #politik ,311,29,2,1,1,https://www.tiktok.com/@larschristianbrask/video/7620126727548849430
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7620010788446653718,2026-03-22,Uddannelse er vores råstof i Danmark 🇩🇰  #fyp #foryou #foryoupage #viral #politik ,482,31,0,1,0,https://www.tiktok.com/@larschristianbrask/video/7620010788446653718
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619629878580612374,2026-03-21,Siden 1989 er er reglerne tredoblet. Vi ønsker en bindende bureaukratilov i Liberal Alliance 🙏 #fyp #foryou #foryoupage #viral #politik,1049,59,3,2,0,https://www.tiktok.com/@larschristianbrask/video/7619629878580612374
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619326281666055446,2026-03-20,EN FRISK START 💙 #fyp #foryou #foryoupage #viral #politik ,957,47,5,1,0,https://www.tiktok.com/@larschristianbrask/video/7619326281666055446
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7619278310782110978,2026-03-20,Erhvervslivet 🙏 #fyp #foryou #foryoupage #viral #politik ,1587,57,3,2,1,https://www.tiktok.com/@larschristianbrask/video/7619278310782110978
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618995969320914198,2026-03-19,Hvorfor ulighed ikke er et problem 😇 #fyp #foryou #foryoupage #viral #politik,7225,220,3,17,14,https://www.tiktok.com/@larschristianbrask/video/7618995969320914198
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618879122885889302,2026-03-19,@Rosa Lund vil indføre loft over bankgebyrer 😅 #fyp #foryou #foryoupage #viral #politik,6341,151,1,6,7,https://www.tiktok.com/@larschristianbrask/video/7618879122885889302
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618688798578199830,2026-03-18,Hør om mine mærkesager 🙂 #fyp #foryou #foryoupage #viral #politik,499,12,1,1,0,https://www.tiktok.com/@larschristianbrask/video/7618688798578199830
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618551092309445910,2026-03-18,Skal vi have atomkraft på dansk jord? ⚛️ #fyp #foryou #foryoupage #viral #politik,1084,44,1,2,3,https://www.tiktok.com/@larschristianbrask/video/7618551092309445910
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7618245733417864470,2026-03-17,Hvordan fungerer Folketingssalen? 🤨 #fyp #foryou #foryoupage #viral #politik,5513,174,1,3,6,https://www.tiktok.com/@larschristianbrask/video/7618245733417864470
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617890711031024918,2026-03-16,Hvad bliver det næste? 😅 #fyp #foryou #foryoupage #viral #politik,1118,26,3,2,3,https://www.tiktok.com/@larschristianbrask/video/7617890711031024918
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617819957769882902,2026-03-16,😂📞 #fyp #foryou #foryoupage #viral #politik,6428,120,0,9,1,https://www.tiktok.com/@larschristianbrask/video/7617819957769882902
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617398556697054486,2026-03-15,100 regler. De skal væk. #fyp #foryou #foryoupage #viral #politik ,5393,132,5,6,5,https://www.tiktok.com/@larschristianbrask/video/7617398556697054486
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7617035375265008918,2026-03-14,Træk et nummer og ring 😉 #fyp #foryou #foryoupage #viral #politik ,1398,43,7,10,10,https://www.tiktok.com/@larschristianbrask/video/7617035375265008918
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7616694765312167190,2026-03-13,Hvem er den næste?😉 #fyp #foryou #foryoupage #viral #politik ,17400,428,10,61,27,https://www.tiktok.com/@larschristianbrask/video/7616694765312167190
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7616395845964975382,2026-03-12,Jeg håber på en periode mere 🙏 #fyp #foryou #foryoupage #viral #politik ,1936,54,2,1,2,https://www.tiktok.com/@larschristianbrask/video/7616395845964975382
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7616264487892552982,2026-03-12,Ud med statsministeren 😉 #fyp #foryou #foryoupage #viral #politik ,10300,199,6,8,8,https://www.tiktok.com/@larschristianbrask/video/7616264487892552982
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7616103656819133718,2026-03-11,Hvis man yder en indsats skal man også belønnes 👏 #fyp #foryou #foryoupage #viral #politik ,1479,54,2,3,1,https://www.tiktok.com/@larschristianbrask/video/7616103656819133718
larschristianbrask,Lars-Christian Brask,Liberal Alliance,Sjællands Storkreds,kandidat,7615959964917566742,2026-03-11,Erhvervslivet skaber velfærden 💙 #fyp #foryou #foryoupage #viral #politik ,3659,138,4,5,9,https://www.tiktok.com/@larschristianbrask/video/7615959964917566742
