tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7573687149518916887,2025-11-17,"Kære vælger, Selvom videoen er fra kommunalvalget i 2021, vil jeg alligevel lade Alex Vanopslagh give årsagerne til, hvorfor du skal give mig din stemme. Retro eller ej – budskabet rammer stadig præcist det, jeg står for som din repræsentant i Ruders",6765,96,4,4,3,https://www.tiktok.com/@larsholmqvist5/video/7573687149518916887
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7571859904760270102,2025-11-12,Glæden var kort for Alex V. i morges. På Perron 50% i Birkerød stod Skattefar og  ventede😊 Heldigvis er der snart et liberalt godstog på vej til Rudersdal. Toget kommer med lavere skatter og mere frihed 💙 #fyp #foryou #foryoupage #LiberalAlliance @Al,172900,8174,56,425,397,https://www.tiktok.com/@larsholmqvist5/video/7571859904760270102
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620166564687580418,2026-03-22,#årsopgørelse #foryoupage #fyp #foryou #børnebidrag ,303,20,0,3,1,https://www.tiktok.com/@larsholmqvist5/video/7620166564687580418
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620161772581817622,2026-03-22,SU - lån fradrag #årsopgørelse #foryoupage #fyp #foryou #skat ,715,13,0,4,5,https://www.tiktok.com/@larsholmqvist5/video/7620161772581817622
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620160377845845270,2026-03-22,Skattefri rejsegodtgørelse  #foryoupage #fyp #foryou #skat #årsopgørelse ,412,8,0,1,1,https://www.tiktok.com/@larsholmqvist5/video/7620160377845845270
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620159116174019862,2026-03-22,Svarer @Sickfishsticks ,417,12,2,0,1,https://www.tiktok.com/@larsholmqvist5/video/7620159116174019862
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620157904364064022,2026-03-22,#børnebidrag #årsopgørelse #foryoupage #fyp #foryou ,894,15,0,3,3,https://www.tiktok.com/@larsholmqvist5/video/7620157904364064022
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620157040295464214,2026-03-22,Årsopgørelsen: Fradrag for velgørenhed 2025 #fyp #foryoupage #larshøyerholmqvist #årsopgørelse #foryou ,439,6,3,1,1,https://www.tiktok.com/@larsholmqvist5/video/7620157040295464214
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620069740681186582,2026-03-22,,1069,13,0,5,0,https://www.tiktok.com/@larsholmqvist5/video/7620069740681186582
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619795469174148374,2026-03-21,Kørselsfradraget og befordringsfradraget udførlig beskrivelse  #fyp #skat #foryoupage #foryou ,13300,131,9,27,64,https://www.tiktok.com/@larsholmqvist5/video/7619795469174148374
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619793956787850518,2026-03-21,Svarer @_TanjaPedersen ,3946,26,0,2,2,https://www.tiktok.com/@larsholmqvist5/video/7619793956787850518
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619769610677570838,2026-03-21,Møder en irriteret og indigneret borger på Hørsholm Hovedgade 🙌🏻🙌🏻 Vi skal have styr på ejendomsvurderingerne 👊🏻 #fyp #skat #ejendomsvurdering #foryoupage #foryou ,1973,34,0,1,1,https://www.tiktok.com/@larsholmqvist5/video/7619769610677570838
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619739399835782423,2026-03-21,"Mathias Westen tilgiver mig 🙏🏻🙏🏻🙌🏻🙌🏻 Hænger ud med Mads, Jakob og Alex - plakat i Hørsholm 💙☀️ @mathiaswesten_la  #fyp #foryoupage #foryou #liberalalliance #larshøyerholmqvist ",1821,31,3,11,0,https://www.tiktok.com/@larsholmqvist5/video/7619739399835782423
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619635649116785942,2026-03-21,Jeg signerer valgplakater i dag lørdag klokken 12.00. Vi har også signeret præfabrikeret Alex V. plakater. Alex kommer dog ikke 😊,9703,128,2,65,4,https://www.tiktok.com/@larsholmqvist5/video/7619635649116785942
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619627712927255830,2026-03-21,Jeg signerer valgplakater i dag lørdag klokken 12.00. Vi har også signeret præfabrikeret Alex V. plakater. Alex kommer dog ikke 😊,3776,27,2,4,1,https://www.tiktok.com/@larsholmqvist5/video/7619627712927255830
larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7619480870948228355,2026-03-21,Fradrag for fagforening og A-kasse  #fyp #foryoupage #foryou #skat #akasse,164400,3251,35,849,2400,https://www.tiktok.com/@larsholmqvist5/video/7619480870948228355
