tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7620167642229558550,2026-03-22,Mr Oppesen,795,109,6,26,4,https://www.tiktok.com/@larsloekke_/video/7620167642229558550
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7620149325531729174,2026-03-22,Kom og dap mig op i morgen kl.15:30 foran hovedbanegården i kbh. ,5264,433,6,140,20,https://www.tiktok.com/@larsloekke_/video/7620149325531729174
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7619058601876933910,2026-03-19,Serving and serving. ,31200,1270,19,188,49,https://www.tiktok.com/@larsloekke_/video/7619058601876933910
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7618618718100245782,2026-03-18,The game’s gone. ,106500,6567,46,1418,226,https://www.tiktok.com/@larsloekke_/video/7618618718100245782
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7618311048977714454,2026-03-17,😶‍🌫️,56300,3977,25,616,128,https://www.tiktok.com/@larsloekke_/video/7618311048977714454
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7617070007201058070,2026-03-14,🥀,112700,7181,77,1302,254,https://www.tiktok.com/@larsloekke_/video/7617070007201058070
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7616382551011249430,2026-03-12,Blevet syg. Lider af aurabelastning. ,424100,36500,180,17000,1964,https://www.tiktok.com/@larsloekke_/video/7616382551011249430
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7616013667103984918,2026-03-11,Koste hvad det vil. ,67800,2044,0,275,79,https://www.tiktok.com/@larsloekke_/video/7616013667103984918
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7614462330201492739,2026-03-07,Absolut Lars 🙏 #fv26,235500,18900,137,5944,825,https://www.tiktok.com/@larsloekke_/video/7614462330201492739
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7613093973803961622,2026-03-03,🐐 #fv26,322700,27300,234,12200,1763,https://www.tiktok.com/@larsloekke_/video/7613093973803961622
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7611491495094390038,2026-02-27,😎 #fv26 ,199200,4307,19,227,122,https://www.tiktok.com/@larsloekke_/video/7611491495094390038
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7611259380259982614,2026-02-26,Klar til første partilederdebat 😎🕺🏼 #dkpol #politik #fv26,157500,6521,54,645,195,https://www.tiktok.com/@larsloekke_/video/7611259380259982614
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7611198760202390806,2026-02-26,Valget er i gang - jeg er født klar😎 #dkpol #politik #nyheder #fv26 ,45800,755,6,40,32,https://www.tiktok.com/@larsloekke_/video/7611198760202390806
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7611143236031171862,2026-02-26,"Moderaterne samler, når andre splitter 💜 God valgkamp!",44500,909,14,26,34,https://www.tiktok.com/@larsloekke_/video/7611143236031171862
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7601185376887246102,2026-01-30,"Vi skal blive i konventionerne, udfordre dem indefra og sende flere kriminelle udlændinge hjem! 🙏 #dkpol ",33400,548,19,14,23,https://www.tiktok.com/@larsloekke_/video/7601185376887246102
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7600800605245934870,2026-01-29,"Vi er tilbage til, hvad vi aftalte for to uger siden i Washington. Derfor er jeg lidt mere optimistisk i dag, end for en uge siden. 🤜🏻🤛🏻  #dkpol #politik #nyheder #greenland #us ",25000,433,9,3,16,https://www.tiktok.com/@larsloekke_/video/7600800605245934870
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7599014983535529238,2026-01-24,"Jeg sagde det direkte til Trump i 2018, og jeg gentager det gerne i dag: Danske soldater stillede op, da USA kaldte. Og de fortjener vores dybeste respekt 🙏 #dkpol #politik #danmark ",46500,1959,22,61,85,https://www.tiktok.com/@larsloekke_/video/7599014983535529238
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7598667720221003030,2026-01-23,"It’s 2026, you trade with people, but you dont trade people #dkpol #politik #news #greenland #us ",26400,962,24,37,34,https://www.tiktok.com/@larsloekke_/video/7598667720221003030
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7597934049985891606,2026-01-21,"Selvom det nogle gange kan føltes som 2 skridt frem og 1 tilbage, så er det dog trods alt stadig fremgang. Dagen i dag er bedre end i går og det giver mig en snert af håb. #dkpol #politik #greenland #us #denmark ",57300,2085,48,39,116,https://www.tiktok.com/@larsloekke_/video/7597934049985891606
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7597925343441210646,2026-01-21,Nogle gange kan det godt føltes som 2 skridt frem og 1 tilbage. Ikke desto mindre er det jo stadig en fremgang. Derfor står vi også et bedre sted nu end vi gjorde i går #dkpol #politik #greenland #us ,11600,304,9,5,15,https://www.tiktok.com/@larsloekke_/video/7597925343441210646
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7597923721835416834,2026-01-21,#dkpol #greenland #politik #us ,19900,394,11,11,21,https://www.tiktok.com/@larsloekke_/video/7597923721835416834
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7595898535762087190,2026-01-16,"Vi har grebet den mulighed der er, for at få gang i en diplomatisk dialog. #dkpol #politik #greenland #us ",23100,621,35,3,27,https://www.tiktok.com/@larsloekke_/video/7595898535762087190
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7595536273176071446,2026-01-15,"Vivians og mit budskab er det samme og jeg er glad for, at man ikke kan sætte så meget som et papir imellem Danmark og Grønland! #dkpol #politik #grønland #pressemøde ",11200,264,13,3,8,https://www.tiktok.com/@larsloekke_/video/7595536273176071446
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7595330863047511318,2026-01-14,Pressemøde efter Vivians og mit møde med vicepræsident Vance og udenrigsminister Rubio. #dkpol #politik #greenland #us #whitehouse ,23300,664,40,18,45,https://www.tiktok.com/@larsloekke_/video/7595330863047511318
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7595307582391192854,2026-01-14,"Møde med den internationale presse efter Vivians og mit møde med vicepræsident Vance og udenrigsminister Rubio. Det grundlæggende problem er bestemt ikke løst, men dialog er vejen frem🇬🇱🇩🇰🇺🇸 #dkpol #politik #greenland #us #press ",41900,1861,32,32,86,https://www.tiktok.com/@larsloekke_/video/7595307582391192854
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7594839953935273238,2026-01-13,Efter orientering af Udenrigspolitisk Nævn og kort briefing af pressen sætter jeg nu kursen mod Washington DC til møde i morgen med vicepræsident Vance og udenrigsminister Rubio. #usa #dkpol #politik #greenland #danmark ,168700,7426,163,88,341,https://www.tiktok.com/@larsloekke_/video/7594839953935273238
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7590741521545104662,2026-01-02,"Det danske formandskab er slut. Vi kan være stolte af vores resultater og de fremskridt vi i EU har gjort. Selv vil jeg fremhæve handselsområdet, som et sted vi kan være særligt stolte - afslutning af forhandlinger med Indonesien, igangsat godkendels",8523,155,11,3,6,https://www.tiktok.com/@larsloekke_/video/7590741521545104662
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7590313964148559127,2026-01-01,En nytårshilsen fra mig #dkpol #politik #nytår ,14800,426,35,8,20,https://www.tiktok.com/@larsloekke_/video/7590313964148559127
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7586657920222301462,2025-12-22,#dkpol #politik #nyheder #greenland #us ,48100,1136,144,25,51,https://www.tiktok.com/@larsloekke_/video/7586657920222301462
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7583020817999596822,2025-12-12,#dkpol #politik #superman #nogetogikkenogen ,14300,396,8,6,13,https://www.tiktok.com/@larsloekke_/video/7583020817999596822
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7582949348837723414,2025-12-12,"Det vigtigste vi har er demokratiet. Desto flere der stiller op, desto stærkere bliver det. #dkpol #politik #inyour20s #denmark ",82800,5831,63,967,216,https://www.tiktok.com/@larsloekke_/video/7582949348837723414
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7579317496474357014,2025-12-02,Tror måske aldrig helt at jeg lærer det der med tiktok dans😂 #feliznavidad🎄 #jul #dans #dkpol #politik ,32600,1875,33,502,119,https://www.tiktok.com/@larsloekke_/video/7579317496474357014
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7574117266351000854,2025-11-18,Hvorfor ikke udnytte den internationale arbejdskraft? #dkpol #international #sygehus #politik ,172300,11600,195,1256,753,https://www.tiktok.com/@larsloekke_/video/7574117266351000854
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7573980432019016982,2025-11-18,"Syntes du også at Danmark er blevet bedre end da jeg var ung? Og tror du også på, at Danmark er bedre i morgen end der er i dag, så er Moderaterne måske noget for dig? #dkpol #politik #valg ",344100,26400,415,3393,1792,https://www.tiktok.com/@larsloekke_/video/7573980432019016982
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7573669255980371203,2025-11-17,Tror aldrig helt at jeg lærte teksten 😂 #dkpol #fyp #trend #politik #bagom ,241900,13300,35,846,386,https://www.tiktok.com/@larsloekke_/video/7573669255980371203
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7573398965559954690,2025-11-16,"Verden sendes ikke i sort-hvid, men i farver. Derfor er debatten også nødt til at bære præg af flere nuancer! #dkpol #politik #nyheder ",154400,12300,198,1153,727,https://www.tiktok.com/@larsloekke_/video/7573398965559954690
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7572885130465791254,2025-11-15,Valgkampspandekager er næsten lige så godt som valgflæsk #dkpol #pancakes #valgkamp ,437900,12600,165,1376,566,https://www.tiktok.com/@larsloekke_/video/7572885130465791254
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7572866989400575254,2025-11-15,What’s going on @Ellen Emilie?#dkpol #politik #trend #fyp  #song ,161600,7924,52,1057,356,https://www.tiktok.com/@larsloekke_/video/7572866989400575254
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7572588797108522262,2025-11-14,"Når internation arbejdskraft bidrager så poaitivt til dansk økonomi, så ee bi nødt til at sige fra når udlændingedebatten kører af sporet! #dkpol #politik ",26000,754,35,113,92,https://www.tiktok.com/@larsloekke_/video/7572588797108522262
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7571514151147867415,2025-11-11,"Hvordan får man nemmest en hund op af havnen? …Man bliver statsminister og får nogle søde PET vagter, som kan hjælpe dig 🐶 #dkpol #politik #hund #havogkamal #podcast ",105500,5684,31,486,421,https://www.tiktok.com/@larsloekke_/video/7571514151147867415
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7568850113293045014,2025-11-04,"Skal du med til Randers d. 10. November? Så glæder jeg mig til at høre, hvad DIT største håb for fremtiden er ⭐️ #dkpol #valg #nyheder #politik ",17700,382,14,3,14,https://www.tiktok.com/@larsloekke_/video/7568850113293045014
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7565919765307346198,2025-10-27,Jeg glæder mig til næste gang vi holder hundetræf🐶 Vi lover valgflæsk til alle hunde der kommer #dkpol #politik #valg #nyheder #larsløkke ,17000,870,8,51,41,https://www.tiktok.com/@larsloekke_/video/7565919765307346198
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7565240150008007958,2025-10-25,Jeg kom forbi @Rasmus Søndergaard igen og endnu engang blev @Daniel Wendelbo vækket. Tak for gaven! #dkpol #twitch ,91800,7175,28,139,271,https://www.tiktok.com/@larsloekke_/video/7565240150008007958
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7563994306051149079,2025-10-22,"Når noget er udemærket, så er der jo ingen grund til at ændre på det🤷🏻‍♂️😉 #dkpol #politik #larsløkke",12300,180,2,7,8,https://www.tiktok.com/@larsloekke_/video/7563994306051149079
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7561804207188200726,2025-10-16,Hvor mange aurapoints får man for at slå danmarksrekorden? @Rasmus Søndergaard  #dkpol #aurapoints #w #danmarksrekord ,43300,2672,18,89,136,https://www.tiktok.com/@larsloekke_/video/7561804207188200726
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7559245723460439318,2025-10-09,"Vi kan ikke vinde fremtidige krige med fortidens våben, og det bedste våben vi har, er altså vores stærke alliancer i EU og NATO! #dkpol #politik #nyheder #debatten #nato ",14400,259,17,6,12,https://www.tiktok.com/@larsloekke_/video/7559245723460439318
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7558827106403224854,2025-10-08,"Hvem der er kandidat til statsministerposten mener jeg stadig, ligesom sidst, er hamrende uinteressant - det bør og skal handle om noget og ikke nogen! #dkpol #statsminister #nyheder #debat #politik ",160500,3806,125,66,184,https://www.tiktok.com/@larsloekke_/video/7558827106403224854
larsloekke_,Lars Løkke Rasmussen,Moderaterne,Sjællands Storkreds,kandidat,7558504723574279446,2025-10-07,"det skal være muligt at opruste vores samfund og samtidig udbygge vores velfærd, så den holder i mange år endnu. En ny økonomisk plan vil kræve at vi holder hovedet koldt, og hjertet varmt. Det insisterer vi på i Moderaterne💜 #dkpol #politik #forsvar",15700,211,18,11,22,https://www.tiktok.com/@larsloekke_/video/7558504723574279446
