tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7619624678818155798,2026-03-21,Vi er mange der længe har råbt op om kvinders sundhed - nu gør vi noget ved det 💪🏼,5912,217,1,2,10,https://www.tiktok.com/@linea.lidell/video/7619624678818155798
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7619262829694307587,2026-03-20,"De fleste ønsker at eje deres eget hjem. Jeg mener, at langt flere skal have mulighed for at komme ind på boligmarkedet. Det kræver, at vi bygger langt flere ejerboliger i København. Det kæmper jeg for! 🏡",1221,71,0,2,1,https://www.tiktok.com/@linea.lidell/video/7619262829694307587
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7618167860015172886,2026-03-17,"Hør hvad vi har gjort for ungarbejdere, mens jeg laver pomfritter på maccen 🍟",13500,439,2,35,12,https://www.tiktok.com/@linea.lidell/video/7618167860015172886
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7617848967170100502,2026-03-16,"Jeg stiller op til Folketinget, så selvfølgelig…😉",4850,148,0,0,4,https://www.tiktok.com/@linea.lidell/video/7617848967170100502
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7617100939278716182,2026-03-14,"Et stærkt erhvervsliv er forudsætningen for vores velfærd. Derfor skal vi ikke straffe de virksomheder, der får succes. Vi skal have flere af dem",637,20,2,0,0,https://www.tiktok.com/@linea.lidell/video/7617100939278716182
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7616401792947244291,2026-03-12,Gusmester for en aften 🔥 ,519,24,0,1,0,https://www.tiktok.com/@linea.lidell/video/7616401792947244291
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7615956894590471446,2026-03-11,Valgets (måske) hurtigste debat🤷🏼‍♀️💙,165900,6230,121,879,330,https://www.tiktok.com/@linea.lidell/video/7615956894590471446
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7615256598704917782,2026-03-09,Lidt om den danske investeringskultur💙,847,32,1,0,1,https://www.tiktok.com/@linea.lidell/video/7615256598704917782
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7614804623693532438,2026-03-08,God kampdag! 💪🏼🩷 #kvinderneskampdag #ligestilling #politik #dkpol #girlpower ,1133,94,5,3,4,https://www.tiktok.com/@linea.lidell/video/7614804623693532438
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7614442795918626070,2026-03-07,💙🫰🏼 #politik #dkpol #valg #kbh #københavn ,932,34,1,1,0,https://www.tiktok.com/@linea.lidell/video/7614442795918626070
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7613374041545526550,2026-03-04,,1616,34,3,5,1,https://www.tiktok.com/@linea.lidell/video/7613374041545526550
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612991272210451734,2026-03-03,Let me introduce you to my world 💙 #politik #dkpol #valg #kbh #fyp ,1891,63,1,3,3,https://www.tiktok.com/@linea.lidell/video/7612991272210451734
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612655552463736086,2026-03-02,Selvfølgelig skal vi rydde op efter os selv! Også selvom vandet er koldt 😆 @Sofie Simone  #politik #dkpol #politiktok #valg #københavn ,1500,68,1,0,0,https://www.tiktok.com/@linea.lidell/video/7612655552463736086
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612579529193688342,2026-03-02,"Boligpriserne i København er stukket af Vi skal bygge langt flere ejerboliger, så flere får en reel chance for at eje deres egen bolig i stedet for at blive presset ud af byen.  Enig?💙 #københavnerlejlighed #københavn #bolig #boligmarkedet #politik ",3522,94,7,2,2,https://www.tiktok.com/@linea.lidell/video/7612579529193688342
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612235305562688790,2026-03-01,Valgkamp be like 🏃🏼‍♀️🏃🏼‍♂️💪🏼💙 - - - - - - - - #tiktok #foryoupage #fyp #foryou  #viral ,2326,125,0,0,1,https://www.tiktok.com/@linea.lidell/video/7612235305562688790
linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7611911144709573910,2026-02-28,Så skal der plakater i lygtepælene!💙 #dkpol #politik #fyp #klima #politiktok ,754,47,2,3,3,https://www.tiktok.com/@linea.lidell/video/7611911144709573910
