tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7568891091978652950,2025-11-04,Vil vi have kriminelle udlændinge i landet?,303100,12500,307,1020,901,https://www.tiktok.com/@madsstrange_/video/7568891091978652950
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7620144625575136534,2026-03-22,❤️‍🔥,2953,214,10,6,8,https://www.tiktok.com/@madsstrange_/video/7620144625575136534
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7620057147446988054,2026-03-22,"Det er uværdigt, at danskerne skal leve i politikernes lommepengesamfund.",23900,993,9,35,34,https://www.tiktok.com/@madsstrange_/video/7620057147446988054
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618954295341370646,2026-03-19,Ulighed er ikke nødvendigvis et problem i sig selv. ,91500,5582,43,388,405,https://www.tiktok.com/@madsstrange_/video/7618954295341370646
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618877221658316054,2026-03-19,Husk at stemme personligt! Selv hvis du er Socialdemokrat. :),17600,711,19,8,12,https://www.tiktok.com/@madsstrange_/video/7618877221658316054
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618578493344976150,2026-03-18,"Elsker man islamistisk undertrykkelse, kan man jo meget passende bosætte sig i et islamistisk land.",3996,105,1,3,6,https://www.tiktok.com/@madsstrange_/video/7618578493344976150
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618518988775099670,2026-03-18,Tre årsager til at stemme på mig. :),51000,2011,19,67,84,https://www.tiktok.com/@madsstrange_/video/7618518988775099670
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618184272683224342,2026-03-17,The Tinder saga continues,52600,2857,21,66,76,https://www.tiktok.com/@madsstrange_/video/7618184272683224342
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7618105605252746518,2026-03-17,Wauw.,42700,1814,23,69,124,https://www.tiktok.com/@madsstrange_/video/7618105605252746518
madsstrange_,Mads Strange,Liberal Alliance,Københavns Storkreds,kandidat,7617883571260329238,2026-03-16,"Lad os lade uafhængige forskere vurdere, om vi skal have atomkraft.",79600,3609,21,90,117,https://www.tiktok.com/@madsstrange_/video/7617883571260329238
