tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7613437840290090262,2026-03-04,"Alle skal være lige for loven, uanset deres forældres baggrund✊ Derfor stiller jeg op til Folketinget, for at sætte en streg i sandet overfor DF’s fremmedhad. #politik #dkpol ",184100,16000,287,586,678,https://www.tiktok.com/@mariageorgisloth/video/7613437840290090262
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7620099121533242646,2026-03-22,Genindfør det 6. SU-år og invester i vores uddannelser!✊ #politik #dkpol #uddannelse ,1459,129,2,1,11,https://www.tiktok.com/@mariageorgisloth/video/7620099121533242646
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7619750780492385538,2026-03-21,Det er tid til ægte klimahandling!✊🌍🌱 #politik #dkpol #klima ,1391,116,3,1,5,https://www.tiktok.com/@mariageorgisloth/video/7619750780492385538
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7619334611474205974,2026-03-20,"Bevar musikvidenskab!✊  Danmark bliver fattigere, når vi skærer i musik, kunst og kultur. Derfor skal vi løfte humaniora med 100 mio om året! Tak for en fantastisk demo til musikvidenskab på KU!💪🎶  Tak fordi jeg måtte få ordet og tak fordi I kæmper! ",1209,84,3,0,3,https://www.tiktok.com/@mariageorgisloth/video/7619334611474205974
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7619218138432933142,2026-03-20,Fra i dag laver vi overtræk på klimakontoen i Danmark resten af året. Det skal vi gøre bedre! #politik #dkpol #klima #overshootday ,2766,204,17,4,5,https://www.tiktok.com/@mariageorgisloth/video/7619218138432933142
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7618915712668585238,2026-03-19,Vi er nødt til at sætte foden ned overfor det umenneskelige skred i udlændingepolitikken! #politik #dkpol ,34200,3119,39,809,272,https://www.tiktok.com/@mariageorgisloth/video/7618915712668585238
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7618339661701958934,2026-03-17,Kom med til fredagsbar om kvindesundhed d. 20. marts og vær med til at sætte fokus på kvinders sundhed i valgkampen!✊ Der er link til tilmelding i min bio💖 #sundhed #ligestilling #kvinder #politik #dkpol @Sigrid Friis ,943,79,1,5,4,https://www.tiktok.com/@mariageorgisloth/video/7618339661701958934
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7618325556643319062,2026-03-17,Sæt kryds ved mig d. 24. og få the best of both worlds💖,895,57,1,0,2,https://www.tiktok.com/@mariageorgisloth/video/7618325556643319062
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7617872577859439894,2026-03-16,"Jeg er tilbage med part 5 af en skræmmende læseoplevelse. Det er så vigtigt at sige fra, når nogen vil opdele samfundet i første- og andenrangsborgere på den her måde😳 #politik #dkpol ",8375,740,7,48,57,https://www.tiktok.com/@mariageorgisloth/video/7617872577859439894
mariageorgisloth,Maria Georgi Sloth,Radikale Venstre,Københavns Storkreds,kandidat,7616725819200900375,2026-03-13,Nedskæringerne på musikvidenskab er et eksempel på alt hvad der er galt i dansk uddannelsespolitik! Jeg stiller op for at kæmpe for investeringer i uddannelse - på tværs af alle uddannelser✊ #politik #dkpol #uddannelse ,2130,109,4,4,6,https://www.tiktok.com/@mariageorgisloth/video/7616725819200900375
