tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7605310634925837590,2026-02-10,"Vi bliver nødt til at langt større fokus på talblindhed, så vi kan hjælpe de børn der har brug for det #fyp ",74400,3708,93,908,454,https://www.tiktok.com/@mathiassikora/video/7605310634925837590
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7619801790229253398,2026-03-21,"Snakken om inklusion i folkeskolen kan være virkelig svær, men den er også virkelig vigtig🏫",516,18,1,0,2,https://www.tiktok.com/@mathiassikora/video/7619801790229253398
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7619711284493356311,2026-03-21,Kloden brænder for RADIKALE løsninger💚,338,10,1,1,0,https://www.tiktok.com/@mathiassikora/video/7619711284493356311
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7619364173033786627,2026-03-20,Mangler du et godt krus? Så se med her #fyp #FV26 #dkpol #folketingsvalget ,323,5,1,0,0,https://www.tiktok.com/@mathiassikora/video/7619364173033786627
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7619319305678867715,2026-03-20,Mit hjerte banker for vores uddannelser #fyp #FV26 #dkpol #folketingsvalget ,612,24,0,0,0,https://www.tiktok.com/@mathiassikora/video/7619319305678867715
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7619075312000814358,2026-03-19,"Husk, at du stadig kan nå at brevstemme!",3540,32,2,3,2,https://www.tiktok.com/@mathiassikora/video/7619075312000814358
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7618353327855783190,2026-03-17,Statsborgerskabsreglerne i Danmark er blevet alt for stramme #fyp #FV26 #dkpol,4065,309,18,3,15,https://www.tiktok.com/@mathiassikora/video/7618353327855783190
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7617465324199365910,2026-03-15,Det Danmark DF repræsenterer er ikke det Danmark jeg er stolt af at komme fra #fyp #folketingsvalget #fv26 ,747,48,0,1,4,https://www.tiktok.com/@mathiassikora/video/7617465324199365910
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7617019148635229462,2026-03-14,"Læser man fx. til sygeplejerske i Aarhus, men skal i praktik i Viborg, betaler man selv for transporten. Det synes jeg ikke er i orden.  #fyp #folketingsvalget #fv26 #sygeplejerske ",1889,54,0,10,4,https://www.tiktok.com/@mathiassikora/video/7617019148635229462
mathiassikora,Mathias Sikora,Radikale Venstre,Østjyllands Storkreds,kandidat,7616267009478774038,2026-03-12,Genindfør det ekstra SU-år #fyp #folketingsvalget #fv26 #uni ,1201,39,0,0,3,https://www.tiktok.com/@mathiassikora/video/7616267009478774038
