tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620158427486031126,2026-03-22,Spændende…👀 #mettefrederiksen #fv26 #fyp ,12200,325,3,7,13,https://www.tiktok.com/@mette_insider_official/video/7620158427486031126
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620057983313054998,2026-03-22,Mette besøger spejdere ✌️ #fv26 #mettefrederiksen #spejder #fyp ,57100,2191,21,73,78,https://www.tiktok.com/@mette_insider_official/video/7620057983313054998
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619968727186132246,2026-03-22,Mette laver en del interviews under  valgkampen. Men er vi enige.. det her er da klart én af de hyggeligste 🤪 #fv26 #mettefrederiksen #fyp #danmark ,149500,5963,49,204,267,https://www.tiktok.com/@mette_insider_official/video/7619968727186132246
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619756138828991766,2026-03-21,"Ej, sødt moment 👀  #fv26 #mettefrederiksen #fyp #danmark ",127400,7833,60,165,333,https://www.tiktok.com/@mette_insider_official/video/7619756138828991766
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619615072083627286,2026-03-21,This ❤️,82200,3502,19,74,122,https://www.tiktok.com/@mette_insider_official/video/7619615072083627286
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619377282628504854,2026-03-20,En lille talk på Frederikshavn gym ✌️ #gymnasie #fv26 #mettefrederiksen #fyp ,37600,1092,12,81,51,https://www.tiktok.com/@mette_insider_official/video/7619377282628504854
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619302163260525846,2026-03-20,Det er fredag girlies! Ned og stem 🔥🫶 #fv26 ,55800,1374,41,116,72,https://www.tiktok.com/@mette_insider_official/video/7619302163260525846
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619216332659117334,2026-03-20,"Nogle dage i valgkampen er lange, andre føles som at være med i et afsnit af Friends ❤️🫂 #mettefrederiksen #danmark #fyp #fv26 ",55400,1395,10,106,63,https://www.tiktok.com/@mette_insider_official/video/7619216332659117334
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618971144875560214,2026-03-19,Det vidste du nok ikke…👀 #mettefrederiksen #FYP #dkpol #danmark ,20800,389,16,8,14,https://www.tiktok.com/@mette_insider_official/video/7618971144875560214
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618836490453339414,2026-03-19,Mette 💅 #danmark #mettefrederiksen #FYP ,183200,7971,72,300,331,https://www.tiktok.com/@mette_insider_official/video/7618836490453339414
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618566253543804182,2026-03-18,Slap af hun er flyvende #mettefrederiksen #dkpol #FYP,14300,266,10,10,12,https://www.tiktok.com/@mette_insider_official/video/7618566253543804182
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618293163144334614,2026-03-17,Valgudskrivelsen…  #fyp #danmark #mette #fv26 ,80100,1103,14,2,49,https://www.tiktok.com/@mette_insider_official/video/7618293163144334614
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618222666247441686,2026-03-17,"Videoer af Mette og grisebasser, du ikke vidste du havde brug for🐷🫂 #fyp #danmark #mette #fv26 ",203000,11800,157,2748,1064,https://www.tiktok.com/@mette_insider_official/video/7618222666247441686
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617863641391533334,2026-03-16,Mette og bois😎 #fyp #danmark ,63000,1070,15,75,56,https://www.tiktok.com/@mette_insider_official/video/7617863641391533334
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617780535485664534,2026-03-16,Lena og Mette 🩷🫶#mette #fv26 ,41100,1034,10,187,42,https://www.tiktok.com/@mette_insider_official/video/7617780535485664534
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617436447330651414,2026-03-15,This 🥺 #mette #dkpol #danmark🇩🇰 ,123700,6210,51,236,276,https://www.tiktok.com/@mette_insider_official/video/7617436447330651414
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617373118620781846,2026-03-15,Mette har OG ball knowledge når det kommer til tegnefilm🤝😤 #mette #fv26 #dkpol #danmark ,103000,3469,15,159,113,https://www.tiktok.com/@mette_insider_official/video/7617373118620781846
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617086818026032406,2026-03-14,Kvindeligt lederskab! 🔥💅 #bosslady #mette #danmark🇩🇰 #abort ,29700,893,27,21,39,https://www.tiktok.com/@mette_insider_official/video/7617086818026032406
mette_insider_official,Mette Frederiksen,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617007576185605398,2026-03-14,"Kan man blive statsminister, hvis man er ordblind? 🥺 #ordblind #danmark🇩🇰 #mette ",60900,2295,11,71,89,https://www.tiktok.com/@mette_insider_official/video/7617007576185605398
