tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7619465110293302531,2026-03-20,"Tusind tak til JV Haderslev og deres liveblog interview serie. Igen blev alle de vigtige emner som Forvaltningsdomstol, rent vand og vores børn, dyrevelfærd mm. berørt og vendt, og lidt grundigere end ellers til en almindelig valgdebat...  Beklager a",274,6,0,0,0,https://www.tiktok.com/@mikael_winther/video/7619465110293302531
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7619334811588562198,2026-03-20,"Er du lystfisker, mangler du et gavekort til Haderslev butikkerne, i disse tider hvor alt koster en milliard million, så er det nu du skal gå en tur med fiskestangen langs den indre del af Haderslev fjord. 💚💚",855,5,3,1,1,https://www.tiktok.com/@mikael_winther/video/7619334811588562198
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7619328918780218626,2026-03-20,"14 nye marine natur national parker lyder som en fantastisk ide, lad os få flere end dem, så vi  inden for en overskuelig fremtid kan komme i vandet igen, uden at risikere liv og legeme. 💚💚 Alternativet kæmper for vores vand, vores børn og børnebørns",792,6,1,0,0,https://www.tiktok.com/@mikael_winther/video/7619328918780218626
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7619272143209106710,2026-03-20,"FJORDEN ER SÅ DØD, MOR 💔 Sammen med Matador skuespilleren Nis Bank-Mikkelsen, udkommer Alternativet i dag med en opsang om at puste nyt liv i de danske fjorde og farvande. Sangen er en nyfortolkning af “Solen er så rød mor” og sætter ord på svinebaro",183,5,0,0,2,https://www.tiktok.com/@mikael_winther/video/7619272143209106710
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7618885732601449750,2026-03-19,"Nu er jeg jo fortaler for gennemsigtighed og at penge skal ud af politik, slut med lobbyister osv. Så her en en indrømmelse. 💚❤️☺️",321,2,0,0,0,https://www.tiktok.com/@mikael_winther/video/7618885732601449750
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7617893354499624214,2026-03-16,"Jesper vs Jesper eller Alternativet. Når de nu prøver at bilde os ind at valget her i Sydjylland står imellem Jesper (A), som ikke vil have en forvaltningsdomstol eller Jesper (V) som ikke vil redde Vores drikkevand, så er jeg her bare for at fortæll",835,6,1,2,0,https://www.tiktok.com/@mikael_winther/video/7617893354499624214
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7615288842945301782,2026-03-09,"JERNMARKER BLEV ÅRETS ORD I 2025. Men sandheden er, at de marker, hvor der bliver opført solceller til gavn for den grønne omstilling, jo ikke ligefrem er Morten Korch-idyl i forvejen. Jo, en rapsmark i blomst kan da være smuk at se på. Og jo, det er",13,0,0,0,0,https://www.tiktok.com/@mikael_winther/video/7615288842945301782
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7615162514392812822,2026-03-09,"Et lille afbræk her midt i valgkampen. UN IRMCT i Haag havde brug for hjælp et sted i tågen, og jeg er altså ikke typen der vil nægte nogen hjælp. Specielt ikke når Tribunalet er der hvor putin og andres krigsforbrydelser bliver efterforsket og dokum",842,1,0,0,0,https://www.tiktok.com/@mikael_winther/video/7615162514392812822
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7613889767603834134,2026-03-05,"Solceller og batterier er bare de bedste venner, helt lavpraktisk, lys i mørket, produceret af solen, lagret decentralt til der er behov for den.  Inden længe kan vi alle hjælpe med til at stabilisere el nettet, hvad enten vi har en eller flere af fø",845,8,0,0,0,https://www.tiktok.com/@mikael_winther/video/7613889767603834134
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7613359477470842134,2026-03-04,"Hvis du er til personlig frihed under ansvar, forvaltningsdomtol, rent drikkevand, rent miljø, omsorg for vores børn og unge og deres uddannelser, lighed for loven, fair pensionsregler for alle, også for politikere!, omsorg for dem vi står på skuldre",874,17,3,1,1,https://www.tiktok.com/@mikael_winther/video/7613359477470842134
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7612691689697807638,2026-03-02,,297,6,2,0,0,https://www.tiktok.com/@mikael_winther/video/7612691689697807638
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7590401229235309846,2026-01-01,Med tanke på Kongens tale i går så måtte jeg lige forbi og vise min dybeste respekt for det offer de RAF piloter gav for at vi kunne være frie her i Danmark. En frihed vi i dag tager alt for givet og som Ukraine også burde have. Ethverts lands grænse,941,18,0,0,0,https://www.tiktok.com/@mikael_winther/video/7590401229235309846
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7587415324098694422,2025-12-24,Glædelig Jul og godt nytår! 🎄🎄,886,2,0,0,0,https://www.tiktok.com/@mikael_winther/video/7587415324098694422
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7586317215704616214,2025-12-21,"Ukraine was there when article 5 mattered for the USA. Now is the time to show that it still matters, that promisses matter.",847,59,3,2,4,https://www.tiktok.com/@mikael_winther/video/7586317215704616214
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7576027009734757654,2025-11-23,"Så er valg plakaterne taget ned igen, nogle har desværre klippet et par af mine strips så de ikke kunne genbruges, men her er alligevel et nemt tip fra i dag, til at få dem ned hele, så de kan. Skulle jeg have glemt en plakat et sted, så skriv, så he",347,7,1,0,0,https://www.tiktok.com/@mikael_winther/video/7576027009734757654
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7573940883322703126,2025-11-18,Godmorgen og god valgdag. 💚❤️,853,7,1,0,0,https://www.tiktok.com/@mikael_winther/video/7573940883322703126
mikael_winther,Mikael Winther,Alternativet,Sydjyllands Storkreds,kandidat,7573559918280609046,2025-11-17,"Så er det i morgen...  Op af lommerne med hænderne og gør en forskel, vi skal have nye boller på suppen, det fortjener vi, efter alt for mange år uden reel fokus på velfærd, sundhed og vores (drikke)vand ❤💚",306,1,0,0,0,https://www.tiktok.com/@mikael_winther/video/7573559918280609046
