tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7558776803783920918,2025-10-08,Blokpolitikken truer igen! #dkpol ,482800,30100,375,1823,2424,https://www.tiktok.com/@moderaterne/video/7558776803783920918
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7620167955216649494,2026-03-22,Klar til partilederdebat 🤝,1374,151,2,12,3,https://www.tiktok.com/@moderaterne/video/7620167955216649494
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7620080118588919062,2026-03-22,Hvad vil du helst? ,8978,218,3,5,4,https://www.tiktok.com/@moderaterne/video/7620080118588919062
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7619746133199359254,2026-03-21,👀👀👀,114000,4459,35,131,197,https://www.tiktok.com/@moderaterne/video/7619746133199359254
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7619359584897076502,2026-03-20,👽,13100,192,6,10,9,https://www.tiktok.com/@moderaterne/video/7619359584897076502
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7618968715748560150,2026-03-19,I morgen taler Lars Løkke på Københavns Universitet 🤫 Vi ses i festsalen på KU fredag d. 20. Marts kl. 12.15-13:15!,2558,36,2,2,1,https://www.tiktok.com/@moderaterne/video/7618968715748560150
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7618216553158429974,2026-03-17,Kun én uge til valget! 📩📩📩,3019,113,3,7,5,https://www.tiktok.com/@moderaterne/video/7618216553158429974
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7617025461079608598,2026-03-14,🎯🎯🎯,49200,1877,9,93,74,https://www.tiktok.com/@moderaterne/video/7617025461079608598
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7616706802926816534,2026-03-13,En god hotdog er en sand videnskab 🌭,4478,96,5,10,3,https://www.tiktok.com/@moderaterne/video/7616706802926816534
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7614848329167424790,2026-03-08,Selv en udenrigsminister og partileder kan blive rørt til tårer 🥹 #dkpol ,50700,2488,22,172,101,https://www.tiktok.com/@moderaterne/video/7614848329167424790
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7614088750603210006,2026-03-06,Tech-giganterne skal ud af børne værelset! #dkpol ,2959,41,1,2,1,https://www.tiktok.com/@moderaterne/video/7614088750603210006
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7611294031104068867,2026-02-26,"Moderaterne samler, når andre splitter 💜 #fv26",44600,1124,70,84,46,https://www.tiktok.com/@moderaterne/video/7611294031104068867
moderaterne,Moderaterne,Moderaterne,Landsplan,parti_national,7611215180860640534,2026-02-26,God valgkamp! Husk den gode stemning 💜🫂 #fv26 ,17900,526,4,22,24,https://www.tiktok.com/@moderaterne/video/7611215180860640534
