tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7577039999246355734,2025-11-26,"Hvis jeg talte til min kone, som jeg taler på Christiansborg… #politik #juleslik #christiansborg #mortendahlin #dkpol ",20500,1006,28,217,93,https://www.tiktok.com/@morten.dahlin/video/7577039999246355734
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7571057013090782487,2025-11-10,Get ready with me🕺 #grwm #mortensaften #mortendahlin #venstre #politiktok ,2084,70,3,1,2,https://www.tiktok.com/@morten.dahlin/video/7571057013090782487
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7620115024299822358,2026-03-22,Find dig et andet sted at bo! #venstre #mortendahlin #dkpol #politik #christiansborg ,1078,56,2,5,2,https://www.tiktok.com/@morten.dahlin/video/7620115024299822358
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7619967420664499478,2026-03-22,"Hvis jeg talte i toget, som jeg taler på Christiansborg… #venstre #mortendahlin #dkpol ",3786,121,4,19,11,https://www.tiktok.com/@morten.dahlin/video/7619967420664499478
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7619249723207339286,2026-03-20,Danmark er et dejligt land - for dem der vil det! 🇩🇰 #venstre #mortendahlin #dkpol #politik #christiansborg ,585,43,0,0,1,https://www.tiktok.com/@morten.dahlin/video/7619249723207339286
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7618691855827422486,2026-03-18,"Du si’r du har en mand, men pigeven, hvor han hen’? ",2162,71,2,2,1,https://www.tiktok.com/@morten.dahlin/video/7618691855827422486
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7618549787624738050,2026-03-18,"Hvis jeg talte i supermarkedet, som jeg taler på Christiansborg - part 2… #venstre #mortendahlin #dkpol #politik #christiansborg ",1591,106,1,6,3,https://www.tiktok.com/@morten.dahlin/video/7618549787624738050
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7618197166120635670,2026-03-17,De tog det… næsten pænt 😎,822,35,1,1,1,https://www.tiktok.com/@morten.dahlin/video/7618197166120635670
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7617898312447855894,2026-03-16,Det kun mig 😎,958,34,1,1,3,https://www.tiktok.com/@morten.dahlin/video/7617898312447855894
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7617118544412773655,2026-03-14,Elsker du også bøf bearnaise? 😅 #venstre #mortendahlin #dkpol #politik #christiansborg ,2844,80,0,4,2,https://www.tiktok.com/@morten.dahlin/video/7617118544412773655
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7616362802034380054,2026-03-12,Nogen skal jo tale de røde til fornuft 😇 #venstre #mortendahlin #dkpol #politik #christiansborg ,863,36,1,4,0,https://www.tiktok.com/@morten.dahlin/video/7616362802034380054
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7616253334403419414,2026-03-12,"Hvis jeg talte i en drive-in, som jeg gør på Christiansborg… #venstre #mortendahlin #dkpol #politik #christiansborg ",21500,1046,11,225,82,https://www.tiktok.com/@morten.dahlin/video/7616253334403419414
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7615901891783822614,2026-03-11,Fjern forbuddet mod kernekraft i Danmark! ⚛️ #venstre #mortendahlin #dkpol #politik #christiansborg ,1277,49,2,1,1,https://www.tiktok.com/@morten.dahlin/video/7615901891783822614
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7615738670703742230,2026-03-10,Ups… 😏,228,7,2,1,2,https://www.tiktok.com/@morten.dahlin/video/7615738670703742230
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7615522012307508502,2026-03-10,Det giver jo ingen mening 🙄#venstre #mortendahlin #dkpol #politik #christiansborg ,1526,62,4,0,3,https://www.tiktok.com/@morten.dahlin/video/7615522012307508502
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7615334586616253718,2026-03-09,Rød grød med fløde > rugbrød!!  👀#venstre #mortendahlin #dkpol ,1304,70,2,0,1,https://www.tiktok.com/@morten.dahlin/video/7615334586616253718
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7614034240035966230,2026-03-06,Det kan simpelthen ikke være rigtigt 😡 #politik #venstre #mortendahlin #christiansborg #dkpol ,4211,237,37,6,9,https://www.tiktok.com/@morten.dahlin/video/7614034240035966230
morten.dahlin,Morten Dahlin,Venstre,Sjællands Storkreds,kandidat,7613791239166627094,2026-03-05,At stene kvinder og hænge homoseksuelle fra kraner er IKKE foreneligt med danske værdier! ❌ #politik #venstre #mortendahlin #christiansborg #dkpol ,732,37,5,2,0,https://www.tiktok.com/@morten.dahlin/video/7613791239166627094
