tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7614018493695986966,2026-03-06,#folketingsvalget #konservativ #randers #fyp #danskpolitik ,17700,613,20,36,37,https://www.tiktok.com/@morten.srensen16/video/7614018493695986966
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7618545025789594902,2026-03-18,"Lad os stå sammen 💚 del og like hvis du er enig! Ingen borgere i Randers kommune! INGEN! skal betale for oprydningen efter jordskredet i 2024. Bl.a. mink er væltet op af jorden, staten skal betale det hele og det vil jeg kæmpe for!  Stem personligt p",18000,446,14,99,43,https://www.tiktok.com/@morten.srensen16/video/7618545025789594902
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7619980273991617814,2026-03-22,Forsvaret er vigtigt - vi skal opruste og gøre alt hvad vi kan for at vise russerne at vi vil skide på dem  #Konservativ #stempersonligt #værnepligt #valg26 ,895,51,2,4,1,https://www.tiktok.com/@morten.srensen16/video/7619980273991617814
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7619591590754929942,2026-03-21,HVEM VAR DET DER BLOKEREDE FOR AT STATEN BETALER FOR EGEN SVINERI? Ingen borgere i Randers kommune! INGEN! skal betale for oprydningen efter jordskredet i 2024. Nogen har ønsket at Randers skulle stå alene. Jeg vil kæmpe for at staten skal betale for,7673,231,2,12,13,https://www.tiktok.com/@morten.srensen16/video/7619591590754929942
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7619332247929261334,2026-03-20,Vi kæmper for Randers og vi kæmper for Østjylland - det er nu venner. Bak op og stem personligt. #Konservativ #stempersonligt #valg26 #mettesmink #,8023,423,10,71,18,https://www.tiktok.com/@morten.srensen16/video/7619332247929261334
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7619288219850378518,2026-03-20,Du kan ikke altid have ret - og det er altså helt okay ✅💚#Konservativ #stempersonligt #valg26 #humor ,1216,57,4,1,2,https://www.tiktok.com/@morten.srensen16/video/7619288219850378518
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7618938020548463894,2026-03-19,Kernen af problemet er 🤔#Konservativ #valg26 #stempersonligt ,5907,270,25,28,25,https://www.tiktok.com/@morten.srensen16/video/7618938020548463894
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7618212910036274454,2026-03-17,"Hurra for kapitalismen 💚💵 den er ikke i krise, den gør os alle rigere og giver bedre velfærd 💚 #konservative #valg26 #folketinget #kapitalisme ",1223,41,3,0,2,https://www.tiktok.com/@morten.srensen16/video/7618212910036274454
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7617900590500285718,2026-03-16,Stem på mig MEDMINDRE!!😅 #konservative #valg26 #dårlighumor ,1559,52,2,2,1,https://www.tiktok.com/@morten.srensen16/video/7617900590500285718
morten.srensen16,Morten Sørensen,Det Konservative Folkeparti,Østjyllands Storkreds,kandidat,7617883350094695702,2026-03-16,Danmark er et meget lige land! #konservative #valg26 #debat #randers #folketinget ,1729,89,1,1,2,https://www.tiktok.com/@morten.srensen16/video/7617883350094695702
