tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7619359452910718230,2026-03-20,"Tænk, hvis vi skabte en bedre fremtid for kommende generationer #alternativet #valg #miljø #klima ",541,41,1,1,1,https://www.tiktok.com/@nikolineerbs/video/7619359452910718230
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7618506672679439638,2026-03-18,Jeg hedder ikke Pia og Himmelbjerget ligger ikke i Silkeborg 🙃 #alternativet #valg #himmelbjerget #klima #miljø ,1602,100,8,14,3,https://www.tiktok.com/@nikolineerbs/video/7618506672679439638
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7617838144829902102,2026-03-16,Vi skal have flere penge når vi går på arbejde og færre penge ved salg af bolig mv. #alternativet #valg #økonomi ,1366,81,10,1,7,https://www.tiktok.com/@nikolineerbs/video/7617838144829902102
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7615952096055168278,2026-03-11,"Socialdemokratiet er i gang med en højredrejning af samfundet, som bekymrer mig dybt #alternativet #valg #menneskerettigheter #integration ",1133,98,3,1,6,https://www.tiktok.com/@nikolineerbs/video/7615952096055168278
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7615336692643335446,2026-03-09,Hæv SUen #alternativet #valg #universitetslivet #su ,667,55,8,3,1,https://www.tiktok.com/@nikolineerbs/video/7615336692643335446
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7614113866963799318,2026-03-06,Vi skal have ret til at fikse vores elektronik! #alternativet #valg #klima ,907,83,12,8,1,https://www.tiktok.com/@nikolineerbs/video/7614113866963799318
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7613883170882096406,2026-03-05,Vi skal investere i uddannelse og den økonomiske sikkerhed for studerende. Derfor skal vi have det fleksible SU år tilbage!  #universitetslivet #universitet #su ,6664,225,4,6,9,https://www.tiktok.com/@nikolineerbs/video/7613883170882096406
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7613087675033177366,2026-03-03,Svinevalg nu! #alternativet #valg ,1208,136,6,2,6,https://www.tiktok.com/@nikolineerbs/video/7613087675033177366
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7612003765746453782,2026-02-28,"At gå i byen, når der er valg er specielt #alternativet #valg ",5123,223,8,8,5,https://www.tiktok.com/@nikolineerbs/video/7612003765746453782
nikolineerbs,Nikoline Erbs Hillers-Bendtsen,Alternativet,Østjyllands Storkreds,kandidat,7611150716731706646,2026-02-26,God valgkamp - ses i lygtepælene 💚 #alternativet #valg ,1410,116,5,0,2,https://www.tiktok.com/@nikolineerbs/video/7611150716731706646
