tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7619743871509007638,2026-03-21,Hvor meget betaler du i husleje?  #nyheder #dkpol #FV26 ,17100,1367,45,57,69,https://www.tiktok.com/@pelledragsted/video/7619743871509007638
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7619331630720683286,2026-03-20,"Det her er realiteten, hvis blå blok får flertal. 👀 #nyheder #dkpol #FV26 ",101200,9553,82,926,493,https://www.tiktok.com/@pelledragsted/video/7619331630720683286
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7618607858866851094,2026-03-18,Hot take: tandlægen burde være GRATIS! 👀 ,20800,1923,65,64,92,https://www.tiktok.com/@pelledragsted/video/7618607858866851094
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7617868103598247190,2026-03-16,"Der er et centralt spørgsmål, der går igen i valgkampen 👀 #nyheder #dkpol #FV26 ",21100,1887,47,49,71,https://www.tiktok.com/@pelledragsted/video/7617868103598247190
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7616406606489603350,2026-03-12,Er det fair? #nyheder #dkpol #FV26 ,17200,1691,44,97,64,https://www.tiktok.com/@pelledragsted/video/7616406606489603350
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7615986022567922966,2026-03-11,Skal politikere smage deres egen medicin?  #dkpol #nyheder #FV26 ,53400,5211,58,226,180,https://www.tiktok.com/@pelledragsted/video/7615986022567922966
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7615576024385899798,2026-03-10,Det buldrer derudaf! 🤯 #nyheder #dkpol #FV26 ,21400,1520,47,21,49,https://www.tiktok.com/@pelledragsted/video/7615576024385899798
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7615279232285052182,2026-03-09,Hun skylder danskerne et SVAR.  #nyheder #dkpol #FV26 ,30800,2872,52,65,108,https://www.tiktok.com/@pelledragsted/video/7615279232285052182
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7614097543999278358,2026-03-06,Det var bare en LØGN. #nyheder #dkpol #FV26 ,23700,1934,108,83,100,https://www.tiktok.com/@pelledragsted/video/7614097543999278358
pelledragsted,Pelle Dragsted,Enhedslisten - De Rød-Grønne,Københavns Storkreds,kandidat,7613758601483668758,2026-03-05,Mette Frederiksen kan gå på pension som 60 årig!? 😅👋 #nyheder #dkpol #FV26 ,99500,6018,159,188,246,https://www.tiktok.com/@pelledragsted/video/7613758601483668758
