tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7620129090850295062,2026-03-22,"Replying to @ExerydayMemes 🤨 – vi mener nu, at noget i denne stil er super relevant..#dkpol #danmarksdemokraterne #fyp ",3532,96,0,4,6,https://www.tiktok.com/@peterskaarup4real/video/7620129090850295062
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7620051213618351382,2026-03-22,1-0 til læreren #dkpol #danmarksdemokraterne #fyp ,29100,1592,11,232,57,https://www.tiktok.com/@peterskaarup4real/video/7620051213618351382
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7619711982597410070,2026-03-21,Ny ven #dkpol #danmarksdemokraterne #fyp ,20100,1211,7,132,33,https://www.tiktok.com/@peterskaarup4real/video/7619711982597410070
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7619371489086803222,2026-03-20,Replying to @LiberalNordbo Vi bliver ved #dkpol #danmarksdemokraterne #fyp ,19500,256,2,2,8,https://www.tiktok.com/@peterskaarup4real/video/7619371489086803222
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7618993266842946838,2026-03-19,Replying to @sunday Hjælper det her?#dkpol #danmarksdemokraterne #fyp ,76400,1490,8,27,78,https://www.tiktok.com/@peterskaarup4real/video/7618993266842946838
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7618565809530572054,2026-03-18,Pt. 1 Gæt en politiker med @Inger Støjberg #dkpol #danmarksdemokraterne #fyp ,6345,122,1,2,9,https://www.tiktok.com/@peterskaarup4real/video/7618565809530572054
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7617479207316180246,2026-03-15,"Vi bør bruge pengene mere fornuftigt, og det kunne komme vores fælles prioriteter til gode – som eksempelvis psykiatrien og sundhedsvæsenet.#dkpol #danmarksdemokraterne #fyp ",18800,734,50,30,47,https://www.tiktok.com/@peterskaarup4real/video/7617479207316180246
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7617176673670139158,2026-03-14,Replying to @el_huevo1uno For markernes beboeres skyld💙 #dkpol #danmarksdemokraterne #fyp ,6988,152,10,1,11,https://www.tiktok.com/@peterskaarup4real/video/7617176673670139158
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616740348815035670,2026-03-13,Behøver jeg sige mere?#dkpol #danmarksdemokraterne #fyp ,8339,443,3,51,13,https://www.tiktok.com/@peterskaarup4real/video/7616740348815035670
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616637564425964822,2026-03-13,Sharialoven taler ikke godt om at være tiltrukket af det samme køn…@Rosa Lund #dkpol #danmarksdemokraterne #fyp ,32000,1182,9,310,72,https://www.tiktok.com/@peterskaarup4real/video/7616637564425964822
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616437499258211606,2026-03-12,Replying to @william5299 lad os stemme #danmarksdemokraterne d. 24. Marts💙 #dkpol #fyp#københavn ,169200,8344,25,638,264,https://www.tiktok.com/@peterskaarup4real/video/7616437499258211606
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616333464630988034,2026-03-12,Gode modargumenter er sjældne .. #dkpol #danmarksdemokraterne #fyp ,22300,550,25,72,35,https://www.tiktok.com/@peterskaarup4real/video/7616333464630988034
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7616028277882342678,2026-03-11,De røde hader dette opslag. Del det👍#dkpol #danmarksdemokraterne #fyp #københavn ,9489,278,12,36,17,https://www.tiktok.com/@peterskaarup4real/video/7616028277882342678
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615983466013838614,2026-03-11,De spiller Playstation og holder kage fredag… #dkpol #danmarksdemokraterne #fyp ,3035,122,0,7,3,https://www.tiktok.com/@peterskaarup4real/video/7615983466013838614
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615920735462214934,2026-03-11,Stemmer du på Peter?,2185,55,2,2,7,https://www.tiktok.com/@peterskaarup4real/video/7615920735462214934
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615681554630708502,2026-03-10,"Replying to @Morten Schuster Værsgo  Bureaukratisering = når regler og papirarbejde bliver vigtigere end mennesker. Forestil dig din mormor falder og har brug for hjælp. Men hjælperen kan ikke bare hjælpe - hun skal først udfylde skemaer, vente på go",1922,44,4,1,5,https://www.tiktok.com/@peterskaarup4real/video/7615681554630708502
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615647560547470614,2026-03-10,Hej @Rosa Lund og @Pelle Dragsted. Tal lyver sjældent - I er velkomne til at modbevise mig💙,10500,410,8,35,16,https://www.tiktok.com/@peterskaarup4real/video/7615647560547470614
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615610971955940630,2026-03-10,"Apropos, så er Mette nu på TikTok @Mette Frederiksen - insider ",31000,1675,40,131,78,https://www.tiktok.com/@peterskaarup4real/video/7615610971955940630
peterskaarup4real,Peter Skaarup,Danmarksdemokraterne - Inger Støjberg,Sjællands Storkreds,kandidat,7615578450568629526,2026-03-10,Denne her går stærkt ud til venstrefløjen @EnhedslistenKBH @SF ,2181,110,1,14,5,https://www.tiktok.com/@peterskaarup4real/video/7615578450568629526
