tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7620169125398351127,2026-03-22,Tak for sangen @jensdahlgaard_mors 🌹 #socialdemokratiet #fyp #FV26 #folketinget #song ,942,58,0,10,2,https://www.tiktok.com/@politikkersimonkollerup/video/7620169125398351127
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619630685640232214,2026-03-21,Gør som @jensdahlgaard_mors 🌹🌹 #socialdemokratiet #fyp #FV26 #folketinget #foryoupage ,1536,46,1,6,3,https://www.tiktok.com/@politikkersimonkollerup/video/7619630685640232214
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7619016914542628118,2026-03-19,🛵🛵 #socialdemokratiet #fyp #FV26 #folketinget #SimonKollerup ,528,30,2,1,1,https://www.tiktok.com/@politikkersimonkollerup/video/7619016914542628118
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7618608180767083798,2026-03-18,Vi skal ikke skære i SU’en❌🌹 #socialdemokratiet #fyp #FV26 #folketinget #SimonKollerup ,1052,33,0,1,0,https://www.tiktok.com/@politikkersimonkollerup/video/7618608180767083798
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7617874994869079318,2026-03-16,🌹🌹 #socialdemokratiet #fyp #FV26 #folketinget #SimonKollerup ,968,37,0,0,0,https://www.tiktok.com/@politikkersimonkollerup/video/7617874994869079318
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7616756150284897558,2026-03-13,10 hurtige med Simon Kollerup🌹 #socialdemokratiet #fyp #FV26 #morsøgymnasium #folketinget ,4540,130,6,8,5,https://www.tiktok.com/@politikkersimonkollerup/video/7616756150284897558
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7616386713069341974,2026-03-12,Man kan altid finde Simon nær en pølsevogn🌹 #socialdemokratiet #fyp #FV26 #SimonKollerup #folketinget ,3906,91,2,12,5,https://www.tiktok.com/@politikkersimonkollerup/video/7616386713069341974
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7616015804097776918,2026-03-11,Øv🥹 #socialdemokratiet #fyp #FV26 #SimonKollerup #folketinget ,3212,76,0,6,4,https://www.tiktok.com/@politikkersimonkollerup/video/7616015804097776918
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7615641292235754774,2026-03-10,"Jeg har i dag været på besøg på Morsø Gymnasium, hvor Jenni var så sød at interviewe mig🌹🤩 #socialdemokratiet #folketinget #fyp #FV26 #SimonKollerup ",6568,186,0,47,10,https://www.tiktok.com/@politikkersimonkollerup/video/7615641292235754774
politikkersimonkollerup,Simon Kollerup,Socialdemokratiet,Nordjyllands Storkreds,kandidat,7614942962153180438,2026-03-08,Mon vi bliver “Mette”?🤔#socialdemokratiet #folketinget #fyp #FV26 #SimonKollerup @Mette Frederiksen - insider @jensdahlgaard_mors ,6821,145,2,29,5,https://www.tiktok.com/@politikkersimonkollerup/video/7614942962153180438
