tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619765643075718422,2026-03-21,,7814,127,2,13,2,https://www.tiktok.com/@saratvillingla/video/7619765643075718422
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315984733687062,2026-03-20,Fredag d. 20. Marts!!,545,4,0,0,2,https://www.tiktok.com/@saratvillingla/video/7619315984733687062
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315729040461078,2026-03-20,,705,15,1,1,1,https://www.tiktok.com/@saratvillingla/video/7619315729040461078
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619315677429615875,2026-03-20,,695,13,0,0,2,https://www.tiktok.com/@saratvillingla/video/7619315677429615875
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615687185970367766,2026-03-10,,3771,39,1,8,3,https://www.tiktok.com/@saratvillingla/video/7615687185970367766
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625691798899991,2026-03-10,,919,12,0,0,0,https://www.tiktok.com/@saratvillingla/video/7615625691798899991
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625605752655126,2026-03-10,,4221,63,1,3,2,https://www.tiktok.com/@saratvillingla/video/7615625605752655126
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615625529470815510,2026-03-10,,3089,55,0,0,2,https://www.tiktok.com/@saratvillingla/video/7615625529470815510
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612772370708827414,2026-03-02,,1364,16,1,0,1,https://www.tiktok.com/@saratvillingla/video/7612772370708827414
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612056633518198038,2026-03-01,,2380,87,16,1,4,https://www.tiktok.com/@saratvillingla/video/7612056633518198038
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611679028344409366,2026-02-27,,1196,9,0,0,3,https://www.tiktok.com/@saratvillingla/video/7611679028344409366
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611235413486800150,2026-02-26,,484,14,0,1,0,https://www.tiktok.com/@saratvillingla/video/7611235413486800150
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611167324317519126,2026-02-26,,208,6,1,0,0,https://www.tiktok.com/@saratvillingla/video/7611167324317519126
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611166789220830486,2026-02-26,,177,10,1,0,2,https://www.tiktok.com/@saratvillingla/video/7611166789220830486
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610819018554920214,2026-02-25,,131,4,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610819018554920214
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818930235493635,2026-02-25,,856,13,1,0,1,https://www.tiktok.com/@saratvillingla/video/7610818930235493635
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818787931180310,2026-02-25,,840,22,0,1,1,https://www.tiktok.com/@saratvillingla/video/7610818787931180310
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818616442834198,2026-02-25,,762,18,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610818616442834198
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818468325182742,2026-02-25,,79,4,0,0,0,https://www.tiktok.com/@saratvillingla/video/7610818468325182742
saratvillingla,Sara Tvilling,Liberal Alliance,Nordjyllands Storkreds,kandidat,7610818397634301206,2026-02-25,,773,17,1,3,1,https://www.tiktok.com/@saratvillingla/video/7610818397634301206
