tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7617036201547042070,2026-03-14,Gratis tandlæge er sund fornuft! Lad os få mere lighed i sundhed - lad os gøre tandlægen gratis ❤️💚 #sundhed #dkpol #socialist #fyp #for ,2034,90,15,5,6,https://www.tiktok.com/@sinemdybvaddemirehl/video/7617036201547042070
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7611972579368242454,2026-02-28,På gaden for bl.a. gratis tandlæge og receptpligtig medicin 🙌 I gang for en RIGTIG rød regering ❤️💚 #dkpol #Hillerød #Nordsjælland #fyp #foryoupage❤️❤️ ,62400,2774,117,461,210,https://www.tiktok.com/@sinemdybvaddemirehl/video/7611972579368242454
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620195684230122774,2026-03-22,"Tak for en fantastisk nødhjælpsbanko! 😍 @Diana Diamond styrede showet, og fik os nogenlunde sikkert i havn! 💃 Fantastisk oplevelse for både de unge og de rutinerede medlemmer 🫶 Pengene går ubeskåret til Ukraine, Sudan og Gaza vha. @Indsamling  #dkpol",283,13,1,1,0,https://www.tiktok.com/@sinemdybvaddemirehl/video/7620195684230122774
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619798047073094934,2026-03-21,Vær naturens stemme d.24. marts ❤️💚 #dkpol #natur #fyp #nature #klima ,1345,76,7,1,4,https://www.tiktok.com/@sinemdybvaddemirehl/video/7619798047073094934
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619367852910415127,2026-03-20,"Danmark er et besynderligt land ... vi tager mere hensyn til 6.000 landmænds interesser, fremfor vores dyrs, vores naturs og os 6.000.000 menneskers. Lad det her valg være et valg hvor det rene drikkevand, hvor naturen og hvor svinene kommer først 💚 ",422,35,3,0,2,https://www.tiktok.com/@sinemdybvaddemirehl/video/7619367852910415127
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618884107971349782,2026-03-19,Flere står hver måned og skal træffe et umuligt valg. Skal de købe mad eller skal de købe deres livsnødvendige medicin? Sådan et valg burde ingen skulle stå med. Slet ikke i et rigt land som vores. Derfor vil vi I Enhedslisten indføre at receptpligti,14100,648,49,38,54,https://www.tiktok.com/@sinemdybvaddemirehl/video/7618884107971349782
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618567361402113302,2026-03-18,"Kortere skoledage, færre karakter og genindførelse af det 6. SU år ❤️ #dkpol #fyp #uddannelse #for #foryoupage❤️❤️ ",1218,76,4,2,9,https://www.tiktok.com/@sinemdybvaddemirehl/video/7618567361402113302
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618498588045315350,2026-03-18,"Vi er nået et vanvidsniveau når det kommer til udmeldingerne på udlændingepolitikken. DF har helt seriøst et ufravigeligt krav til en ny regering, om at ""der skal flere muslimer ud end ind"" Det handler om dine og mine venner, kollegaer, naboer. #dkpo",755,78,2,11,10,https://www.tiktok.com/@sinemdybvaddemirehl/video/7618498588045315350
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7617890238693723414,2026-03-16,"Dansk Folkeparti har er ultimativt krav til en kommende regering, om at der skal flere muslimer ud af landet endnu ind. Men hvordan skal det foregå i praksis? Hvordan ved de hvilken religion folk har? Vil de lave et register?  #dkpol #antiracist #fyp",1519,67,0,4,4,https://www.tiktok.com/@sinemdybvaddemirehl/video/7617890238693723414
sinemdybvaddemirehl,Sinem Dybvad Demir,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7617517945861786902,2026-03-15,10% af den voksne befolkning kan ikke stemme ved folketingsvalget. Vi skylder også at stemme for dem 🫶 #dkpol #antiracist #socialist #fyp #foryoupage❤️❤️ ,4419,153,23,6,17,https://www.tiktok.com/@sinemdybvaddemirehl/video/7617517945861786902
