tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7569278310455184662,2025-11-05,"Valgdebat i Trommen! Her er åbningstalen fra Marcus Guldager, Såidskandidat for Socialdemokratiet 🌹 Hørsholm fortjener en bæredygtig fremtid. Like, hvis du er enig 🌹 @MarcusGuldager  #hørsholm #2025 #politik #socialdemokratiet #bæredygtighed ",2787,59,9,7,5,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7569278310455184662
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7572613818111610134,2025-11-14,"Hørsholm fortjener en bæredygtig fremtid! 💪🏻 I denne video fortæller jeg om mine visioner for Hørsholm, og hvordan vi skaber en politik, der er langsigtet, bæredygtig, og ansvarlig 🙌🏻 #hørsholm #socialdemokratiet #politik #kv25 #bæredygtighed ",593,13,2,17,5,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7572613818111610134
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7572277503520247063,2025-11-13,Trænger du til et grin? Så kan vores fraklip hjælpe! Det er vildt sjovt at lave videoer - og derfor har vi samlet alle sjove moments fra vores videooptagelser i valgkampen 🤗 Lige så seriøs og hård en valgkamp kan være - lige så vigtigt er det med bar,384,7,0,3,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7572277503520247063
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7572176552230653206,2025-11-13,Velfærdsteknologi i ældreplejen - det er fremtiden. Hvad mener du? Hør Socialdemokratiets holdning her 🌹 #hørsholm #2025 #politik #socialdemokratiet #ældrepleje ,887,19,0,0,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7572176552230653206
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7571556715993255190,2025-11-11,Ensomhed slår flere ihjel end cigaretter! Derfor er lokale fællesskaber afgørende for vores alles sundhed og trivsel. Se Carolines valgvideo - nr. 2 på den Socialdemokratiske liste til kommunalvalget 2025 🌹 #hørsholm #2025 #politik #socialdemokratiet,445,13,0,1,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7571556715993255190
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7571228295648251158,2025-11-10,Hvorfor skal kommunerne spare igen og igen? Hvis økonomien er sund og ansvarlig? #hørsholm #2025 #politik #socialdemokratiet #økonomi ,394,7,0,3,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7571228295648251158
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7570396340153273622,2025-11-08,"Se med og find ud af: hvem der er Hørsholms grønneste kandidat! 🌎 🍀 Samtidig er det en mulighed for at lære vores kandidater lidt bedre at kende 🙌 Socialdemokratiets kandidater i Hørsholm tager i denne video testen fra TV2 ""hvor meget klimasviner du?",408,7,0,8,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7570396340153273622
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7570371025821601046,2025-11-08,"Tak for gode samtaler med borgerne i gågaden i dag 🤗🌹 Politik er bedst, når vi har en god dialog sammen - sådan finder vi de bedste løsninger for vores kommune 🙏🏻 I Socialdemokratiet glæder vi os til endnu flere samtaler med jer. Hvis I er nysgerrige",1368,15,0,3,2,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7570371025821601046
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7569530222740065558,2025-11-06,Hold da op! Hvad skete der lige dér? Det var en helt vild overraskelse at mærke så stor opbakning fra publikum til vores spidskandidat og parti ved gårsdagens valgdebat - endda i Danmarks mest borgerlige kommune! Tre gange under valgdebatten brød fle,2098,26,0,9,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7569530222740065558
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7568583087748058391,2025-11-03,Alting er blevet for dyrt! Er du enig? 🙌🏻 Preech til Dickte - vores partiformand og kandidat for Socialdemokratiet i Hørsholm - for at sige det præcis som det er 🙏🏻 🌹 #hørsholm #2025 #politik #socialdemokratiet #chokolade ,428,21,7,1,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7568583087748058391
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7568576757771603222,2025-11-03,Kulturdag 2025 🙌🏻🌹 #hørsholm #2025 #politik #socialdemokratiet ,410,15,2,1,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7568576757771603222
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7568489244063272214,2025-11-03,"Vi mangler pædagoger, lærere og SOSU’er - hvordan løser vi dét? Hør Socialdemokratiet i Hørsholms bud her 🌹 #hørsholm #2025 #politik #pædagog #sosu ",428,11,2,0,1,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7568489244063272214
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7567740752231468310,2025-11-01,,415,9,0,0,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7567740752231468310
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7566740827377077526,2025-10-29,Mere liv i byen i Hørsholm - men hvordan? Hør Socialdemokratiets bud på det 🌹 #hørsholm #2025 #politik #byliv #erhversliv ,1231,15,4,2,1,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7566740827377077526
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7555995335357713686,2025-09-30,,134,5,0,0,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7555995335357713686
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7555995145926216982,2025-09-30,,138,3,0,0,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7555995145926216982
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7555993971617549590,2025-09-30,Mød vores kandidater til KV25 - mød Mika Bärlund! 🌹 #politik #hørsholm #kv25 #2025 #sport ,212,3,0,2,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7555993971617549590
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7555993925098474774,2025-09-30,#politik #hørsholm #kommunalvalg2025 #børn #2025 ,186,2,0,2,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7555993925098474774
socialdemokrat_horsholm_,Socialdemokratiet Hørsholm,Socialdemokratiet,Hørsholm,parti_lokal,7555993811663539478,2025-09-30,#politik #hørsholm #kommunalvalg2025 #valg2025 #2025 ,251,4,0,0,0,https://www.tiktok.com/@socialdemokrat_horsholm_/video/7555993811663539478
