tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619740520218234134,2026-03-21,dumpet #ligestilling #dkpol @Liberal Alliance @Alex Vanopslagh ,9041,624,7,99,51,https://www.tiktok.com/@sofiemosgaard/video/7619740520218234134
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619735701567016215,2026-03-21,kom og drik en gratis øl inde på Froggys i #Odense #dkpol ,6728,142,9,33,4,https://www.tiktok.com/@sofiemosgaard/video/7619735701567016215
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619414866847190294,2026-03-20,jeg har googlet mig selv #dkpol #odense ,29900,824,4,17,29,https://www.tiktok.com/@sofiemosgaard/video/7619414866847190294
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619310968828366102,2026-03-20,Gratis øl i Odense på Froggys cafe #dkpol #Odense kom og snak om politik ,26800,591,11,444,51,https://www.tiktok.com/@sofiemosgaard/video/7619310968828366102
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7619254853243620630,2026-03-20,rød blok vil hæve skatten med 70 milliarder kroner #dkpol ,67900,2664,58,459,153,https://www.tiktok.com/@sofiemosgaard/video/7619254853243620630
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618865770814115094,2026-03-19,hvor skal pengene komme fra? #dkpol @Socialdemokratiet ,9766,437,13,36,25,https://www.tiktok.com/@sofiemosgaard/video/7618865770814115094
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618681168312945942,2026-03-18,"hvad nu, hvis man finansierede sin politik? #dkpol ",5657,178,4,5,10,https://www.tiktok.com/@sofiemosgaard/video/7618681168312945942
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7618565727603281174,2026-03-18,benzin og dieselafgiften skal i bund #dkpol ,2708,130,34,2,5,https://www.tiktok.com/@sofiemosgaard/video/7618565727603281174
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617945932520312086,2026-03-16,#sammenføj med @Socialdemokratiet ostemad #dkpol ,4309,106,2,1,5,https://www.tiktok.com/@sofiemosgaard/video/7617945932520312086
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617919523672591618,2026-03-16,husk at stemme blåt til det her valg #dkpol ,3632,119,2,2,8,https://www.tiktok.com/@sofiemosgaard/video/7617919523672591618
sofiemosgaard,Sofie Mosgaard,Venstre,Fyns Storkreds,kandidat,7617909218338671894,2026-03-16,kan vi bede om noget finansiering tak?? #dkpol ,5858,182,8,14,5,https://www.tiktok.com/@sofiemosgaard/video/7617909218338671894
