tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7619062619546127638,2026-03-19,Fut fut - vi vil gerne sætte strøm til Nordjylland 💡,3055,45,3,7,6,https://www.tiktok.com/@sorenhomann/video/7619062619546127638
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7616497282472561942,2026-03-12,godnat fra p kælderen 😴,1392,27,3,1,1,https://www.tiktok.com/@sorenhomann/video/7616497282472561942
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7615682590560832771,2026-03-10,Tænd for den sunde fornuft ,7041,239,45,3,8,https://www.tiktok.com/@sorenhomann/video/7615682590560832771
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7615224232707968278,2026-03-09,Fiskeriet fylder meget i nordjylland. Vi skal passe på de arbejdspladser vi har 💪,1637,39,0,3,1,https://www.tiktok.com/@sorenhomann/video/7615224232707968278
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7614116800007114006,2026-03-06,Fokus fokus #fv ,2260,45,4,2,1,https://www.tiktok.com/@sorenhomann/video/7614116800007114006
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7612772783566753026,2026-03-02,Det ringer ind for folkeskolen @#foryou ,1730,52,5,14,1,https://www.tiktok.com/@sorenhomann/video/7612772783566753026
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7612044975412497686,2026-02-28,Det stærkeste hold var på gaden i dag med plakater 💚#konservativ #fv26,1531,78,0,4,2,https://www.tiktok.com/@sorenhomann/video/7612044975412497686
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7610854030641827094,2026-02-25,så fin fin en start på byrådsmødet ,750,22,0,1,0,https://www.tiktok.com/@sorenhomann/video/7610854030641827094
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7608974125322849558,2026-02-20,Det kører altså ikke helt på skinner for styringen af Danmark 🇩🇰,3504,95,4,10,3,https://www.tiktok.com/@sorenhomann/video/7608974125322849558
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7604527399325240598,2026-02-08,Homanns Hotel og Resort Åben døgnet rundt,1095,35,1,1,1,https://www.tiktok.com/@sorenhomann/video/7604527399325240598
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7601893184867814678,2026-02-01,💰tips fra en nordjyde. Billig iskaffe,903,19,1,0,1,https://www.tiktok.com/@sorenhomann/video/7601893184867814678
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7600058571803462914,2026-01-27,når optagelserne går i vasken 🫣 #fv ,1281,33,1,5,1,https://www.tiktok.com/@sorenhomann/video/7600058571803462914
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7596287742317726998,2026-01-17,#pov du er giftefoged ,1199,25,0,0,0,https://www.tiktok.com/@sorenhomann/video/7596287742317726998
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7594048264362659094,2026-01-11,"POV du er dj, der er ild i floor og frostgrader udenfor.  #pov #dj ",1103,9,0,1,0,https://www.tiktok.com/@sorenhomann/video/7594048264362659094
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7590499511169174787,2026-01-01,Elsker snevejr. Det er simpelthen så hyggeligt 😃#snow ,4803,57,2,0,1,https://www.tiktok.com/@sorenhomann/video/7590499511169174787
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7577511230294838550,2025-11-27,Skøn dag i København ved advokatfirma Horten. Grøn trepart 💪,2138,36,1,0,1,https://www.tiktok.com/@sorenhomann/video/7577511230294838550
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7574477699163507990,2025-11-19,Tak for festen 😀#kv25 ,2508,87,4,10,9,https://www.tiktok.com/@sorenhomann/video/7574477699163507990
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7572664692712197398,2025-11-14,Fire dage tilbage inden vi skal til stemmeurnerne 💚,1119,40,0,10,0,https://www.tiktok.com/@sorenhomann/video/7572664692712197398
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7571500504191208726,2025-11-11,Husk at stemme på tirsdag #kv25 ,1259,46,1,11,0,https://www.tiktok.com/@sorenhomann/video/7571500504191208726
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7566176476907982083,2025-10-28,Når politik bliver personligt 😱,1607,40,0,5,2,https://www.tiktok.com/@sorenhomann/video/7566176476907982083
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7562495804770946326,2025-10-18,sommer og sol næsten. ses vi senere i Fårup Sommerland?,1372,27,1,0,0,https://www.tiktok.com/@sorenhomann/video/7562495804770946326
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7559921631506943254,2025-10-11,Jeg indrømmer gerne når jeg tager fejl. jeg havde simpelthen ikke forestillet mig at nogle ville bade i vores gågade. Jeg blev klogere 😂#hjørring #drunk #swimming #pooltime ,1364,18,0,0,0,https://www.tiktok.com/@sorenhomann/video/7559921631506943254
sorenhomann,Søren Homann,Det Konservative Folkeparti,Nordjyllands Storkreds,kandidat,7555565323680894230,2025-09-29,Der er dage med blå himmel og dage med grå himmel. Sådan er det også i politik. Heldigvis står vi med et flot vandprojekt i Bindslev #fisketrappen #hirtshals🌊💙💙💙💙💙 #bindslev ,2086,17,0,7,0,https://www.tiktok.com/@sorenhomann/video/7555565323680894230
