tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7617115933164817686,2026-03-14,slayer til debatten. Tak til alle der var kommet for at høre mig.  ,1259,54,1,11,2,https://www.tiktok.com/@thomas.skriver/video/7617115933164817686
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7615984046631308566,2026-03-11,Det her er jeg MEST stolt af i min første tid i Folketinget! 🇩🇰,1393,47,0,0,2,https://www.tiktok.com/@thomas.skriver/video/7615984046631308566
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7614175510872050966,2026-03-06,Skud ud til Kold College 🌹,2416,50,7,11,3,https://www.tiktok.com/@thomas.skriver/video/7614175510872050966
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7613691660949720322,2026-03-05,Nyt pensionsudspil fra Socialdemokratiet! 🌹,1142,47,4,3,2,https://www.tiktok.com/@thomas.skriver/video/7613691660949720322
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7611140371317411094,2026-02-26,Folketingsvalg til marts 2026!,1237,44,4,1,0,https://www.tiktok.com/@thomas.skriver/video/7611140371317411094
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7611019333896097046,2026-02-26,Synes du også det her er ret vildt?,852,39,0,0,5,https://www.tiktok.com/@thomas.skriver/video/7611019333896097046
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7607794941108047126,2026-02-17,Jeg vil have tredoblet straffen for grov dyremishandling! Enig?,21900,1562,75,50,89,https://www.tiktok.com/@thomas.skriver/video/7607794941108047126
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7605160348437499158,2026-02-10,67 grise døde under transport. Det er ikke okay!,38000,593,87,216,42,https://www.tiktok.com/@thomas.skriver/video/7605160348437499158
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7603721944055221526,2026-02-06,Man skal behandle dyr ordentligt! 🌹,5006,218,14,5,11,https://www.tiktok.com/@thomas.skriver/video/7603721944055221526
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7566672981112589591,2025-10-29,Det er altså bare MOMS.,5944,149,25,6,14,https://www.tiktok.com/@thomas.skriver/video/7566672981112589591
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7564364192841469206,2025-10-23,Forskellen er eklatant! ,8247,156,40,10,24,https://www.tiktok.com/@thomas.skriver/video/7564364192841469206
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7562195588167601410,2025-10-17,Hvad tænker DU?,6546,124,50,8,12,https://www.tiktok.com/@thomas.skriver/video/7562195588167601410
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7559922922849094934,2025-10-11,Tænk dig om!,10400,184,45,9,22,https://www.tiktok.com/@thomas.skriver/video/7559922922849094934
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7558046641245277462,2025-10-06,"Hold da helt op, et stort problem, hva’?",7910,130,6,11,13,https://www.tiktok.com/@thomas.skriver/video/7558046641245277462
thomas.skriver,Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,kandidat,7555487653735484694,2025-09-29,Hvilken kamp skal jeg se OB spille i Odense? ⚽️,13900,321,35,10,22,https://www.tiktok.com/@thomas.skriver/video/7555487653735484694
