tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7617549605143596310,2026-03-15,Mette Frederiksen har travlt med at sende vores skattekroner ud ad landet til ligegyldige projekter. Jeg vil bruge pengene på danskerne 🇩🇰💪,3327,208,15,15,10,https://www.tiktok.com/@tobiasweische/video/7617549605143596310
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7614942404323396886,2026-03-08,"Hver tredje kvindedrab begås af indvandrere eller efterkommere. HVER TRDEDJE! Hvis man virkelig bekymrer sig om kvinders rettigheder, så er man også bekymret for masseindvandring og Islam. Men når feministerne ikke tør tage den kamp, så gør vi. #poli",2620,181,13,12,18,https://www.tiktok.com/@tobiasweische/video/7614942404323396886
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7613505325009882390,2026-03-04,Lad os sætte danskerne først! 🇩🇰 #odense #politik #fødevarepriser #storebæltsbroen #pension ,2792,130,19,19,9,https://www.tiktok.com/@tobiasweische/video/7613505325009882390
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7612334495949147414,2026-03-01,,9428,259,49,175,30,https://www.tiktok.com/@tobiasweische/video/7612334495949147414
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7609737904532851990,2026-02-22,,869,47,5,15,2,https://www.tiktok.com/@tobiasweische/video/7609737904532851990
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7608642880030215446,2026-02-19,,870,66,6,17,2,https://www.tiktok.com/@tobiasweische/video/7608642880030215446
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7607524092329200918,2026-02-16,Jeg siger nej til Socialdemokratiets slappe udlændingepolitik. Banderne skal sendes hjem! #vollsmose #bande #odense #rejshjem #politik ,3122,177,35,7,7,https://www.tiktok.com/@tobiasweische/video/7607524092329200918
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7606716008300170518,2026-02-14,Bidrag eller rejs hjem! ✈️#vollsmose #odense #rejshjem #førtidspension #politik ,2295,125,20,7,9,https://www.tiktok.com/@tobiasweische/video/7606716008300170518
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7605289065604304150,2026-02-10,Luk kassen og send dem hjem! ✈️#vollsmose #indvandrere #rejshjem #odense #københavn ,16100,643,182,56,59,https://www.tiktok.com/@tobiasweische/video/7605289065604304150
tobiasweische,Tobias Weische,Dansk Folkeparti,Fyns Storkreds,kandidat,7603434285999279363,2026-02-05,Danmark ville være bedre uden jer! #vollsmose #fyn #udlændinge #kriminalitet #rejshjem ,8139,363,59,17,27,https://www.tiktok.com/@tobiasweische/video/7603434285999279363
