tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7620110980462300438,2026-03-22,"… du glemmer, at du IKKE er på stadion 👀  Men jeg har altid AGF med i hjertet 💙🤍 KSDH  @Alternativet 💚",7032,76,0,17,3,https://www.tiktok.com/@torsten.gejl/video/7620110980462300438
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7620050392214293782,2026-03-22,"… debatten er stukket af, når vi taler om udlændingepolitik.  Måden vi taler om mennesker med anden etnisk baggrund er blevet uværdig.  Lad os nu nuancere debatten.  Se hele min samtale med Salah Zada på min Instagram torsten.gejl  @Alternativet 💚",2710,115,3,4,7,https://www.tiktok.com/@torsten.gejl/video/7620050392214293782
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7619040962181942550,2026-03-19,"Vi kan være enige om, at sang samler os mennesker 🫶 I valgkampen er der meget, som vi politikere kan være uenige om.  Men i sidste uge havde jeg inviteret gode mennesker fra både Moderaterne og Venstre til fællessang i Studenterhuset i Aarhus 🎶 Tak f",8653,203,2,8,12,https://www.tiktok.com/@torsten.gejl/video/7619040962181942550
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7618976976254012695,2026-03-19,Vi går ind for at legalisere cannabis i Danmark 🙌 @Alternativet 💚,1134,45,3,4,2,https://www.tiktok.com/@torsten.gejl/video/7618976976254012695
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7617893312493554966,2026-03-16,"Det er ikke kun @Alex Vanopslagh, som signerer plakater 🖊️😎 Her kommer de rendende selv 😉 @Alternativet 💚",7155,248,4,31,6,https://www.tiktok.com/@torsten.gejl/video/7617893312493554966
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7617480815752121622,2026-03-15,Lad os nu skabe en bedre tone…  Udlændingedebatten i Danmark er kørt helt af sporet.  Os eller dem. Stram eller slap.  Men hvor bliver nuancerne og menneskeligheden af?  Jeg tog en vigtig samtale om det. Se resten af videoen på min Instagram: torsten,6198,275,10,12,22,https://www.tiktok.com/@torsten.gejl/video/7617480815752121622
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7615880483854961942,2026-03-11,"Når jeg siger, at jeg kæmper for havet og klima, så mener jeg det.  Fordi så hopper jeg nemlig i våddragt og dykkerudstyr 🤿 Her var jeg afsted for blandt andet at redde nogle fanget krabber i efterladt fiskergarn 🧶🐟 @Alternativet ",931,37,0,6,3,https://www.tiktok.com/@torsten.gejl/video/7615880483854961942
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7615520103009914134,2026-03-10,"Det koster faktisk ikke noget… 🤗 Forleden var jeg til debat med @Edith Vels fra Enhedslisten og politikere fra de andre partier.  Her viste vi, at der faktisk godt kan findes en portion gode vibes og høflighed i dansk politik 🙌 @Alternativet ",46500,1520,18,38,42,https://www.tiktok.com/@torsten.gejl/video/7615520103009914134
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7615339774936698134,2026-03-09,"Alternativet kæmper for rent drikkevand 🚰 I @Alternativet siger vi NEJ TAK til gylle, pesticider og andre stoffer i vores grundvand 🤮 Hvordan smager vandet hos jer? 👀 #lortivandet 💩😬",4034,100,3,7,4,https://www.tiktok.com/@torsten.gejl/video/7615339774936698134
torsten.gejl,Torsten Gejl,Alternativet,Østjyllands Storkreds,kandidat,7613846832866774294,2026-03-05,"Melder klar til valgkamp 👊 Jeg støtter op om klima, mennesker og selvfølgelig byens hold 💙🤍 @Alternativet @AGF  #agf ",1887,48,2,18,3,https://www.tiktok.com/@torsten.gejl/video/7613846832866774294
