tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7620017964292541718,2026-03-22,"Den 20. marts var Danmarks Overshoot Day 🌍 Dagen markerer det tidspunkt, hvor vi danskere har opbrugt vores andel af klodens ressourcer for hele 2026… Det kræver klimahandling NU! ✊ Jeg vil kæmpe for, at vi i Danmark fører en ansvarlig klimapolitik, ",483,29,0,3,0,https://www.tiktok.com/@trine.mach/video/7620017964292541718
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7619773248338808086,2026-03-21,💅💅slay slay slay #fv2026 #enhedslisten ,489,39,5,2,1,https://www.tiktok.com/@trine.mach/video/7619773248338808086
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7619614084450848022,2026-03-21,"Mit navn er Trine Mach, og jeg stiller op til Folketingsvalget for @Enhedslisten HQ i Østjyllands storkreds ✊ Jeg er din stemme i valgkampen for den globale retsorden og for menneskerettigheder, og mit hjerte banker for ligeværd mellem mennesker 🌐🫂 T",1164,96,7,2,1,https://www.tiktok.com/@trine.mach/video/7619614084450848022
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7619351459368373527,2026-03-20,Eid Mubarak 🌙 #eidmubarak #eidmubarak2026 ,16700,1853,272,68,120,https://www.tiktok.com/@trine.mach/video/7619351459368373527
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7618541816412966166,2026-03-18,Til uddeling med @RGU Aarhus i går fik jeg lige genopfrisket mit komplicerede forhold til åens måger i Aarhus 🥲 #mågecore #uddeling #rgu #fv26 #aarhus ,540,17,1,5,1,https://www.tiktok.com/@trine.mach/video/7618541816412966166
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7618183405691211030,2026-03-17,💅,509,26,6,2,5,https://www.tiktok.com/@trine.mach/video/7618183405691211030
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7617927176859421974,2026-03-16,Jylland > København 🫰🏻,22200,296,0,8,12,https://www.tiktok.com/@trine.mach/video/7617927176859421974
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7617827191774088470,2026-03-16,"Til en spændende debat på Skanderborg Gymnasium i fredags, hvor snakken faldt på den famøse formueskat, som jeg og @Enhedslisten HQ går ind for💰 - Men er det ikke bare, fordi I er misundelige?🤔 For os handler formueskatten ikke om misundelse. Det han",1310,61,2,2,3,https://www.tiktok.com/@trine.mach/video/7617827191774088470
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7616720880361540886,2026-03-13,JA TAK TIL RENT DRIKKEVAND OG ET #sprøjteforbud 💚💧❤️ ,181,11,2,3,1,https://www.tiktok.com/@trine.mach/video/7616720880361540886
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7615674627297119510,2026-03-10,Mindre pres og mindre ræs.  Mere plads og mere tid til et godt børne- og ungdomsliv  ❤️❤️‍🩹❤️‍🩹 Debat på SOSU Østjylland i går med kloge og engagerede studerende 🌼 #folketingsvalg2026 ,1044,58,4,2,5,https://www.tiktok.com/@trine.mach/video/7615674627297119510
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7615583294683368726,2026-03-10,"På Kvindernes internationale kampdag holdt jeg tale inden marchen i Aarhus 🎙️ Konflikt, krig, splittelse og had. Udfordring af konventioner og rettigheder. Kvinders kroppe militariseres og politiseres. Men der er kun ét eneste menneske, der skal best",491,34,0,0,5,https://www.tiktok.com/@trine.mach/video/7615583294683368726
trine.mach,"Trine Mach 1,",Enhedslisten - De Rød-Grønne,Østjyllands Storkreds,kandidat,7614179648586485014,2026-03-06,"En stemme på mig er en stemme på et frit Palæstina 🇵🇸 Folkedrabet i Gaza og den israelske kolonisering af Palæstina fortsætter, mens verden er travl med andre konflikter. Det er også Danmarks ansvar. Jeg har kæmpet for Palæstina i årevis. Jeg fortsæt",8799,1083,45,65,57,https://www.tiktok.com/@trine.mach/video/7614179648586485014
