tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7618157724974533910,2026-03-17,Tak for en masse gode snakke i går (jeg nåede ikke at lave videoen i går 😅) #dkpol,277,3,0,1,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7618157724974533910
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7616736841626225922,2026-03-13,En overspringshandling fra valgkampen. Elsker #Marvel og #DC. Det var en svær omgang!,318,1,0,2,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7616736841626225922
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7616375313018277142,2026-03-12,Danmark i sikre hænder 🤝🇩🇰 Et stærkt forsvar i en usikker tid 🎖️🪖 Danmark skal leve op til vores NATO-forpligtelser og være i front i støtten til Ukraine. I en mere usikker verden skal vi styrke vores forsvar. Oprustningen skal også kunne mærkes i Sl,283,3,0,0,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7616375313018277142
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7615707264317394198,2026-03-10,"EN DAG I DEBATTENS TEGN 💙🔥 I dag har jeg været i debat på Høng Gymnasium og HF & VUC Klar i Slagelse. Tak for skarpe spørgsmål, engagement – og ja, også kritik. Jeg blev bl.a. kritiseret af socialisterne for, at Venstre har leveret skatte- og afgifts",297,7,1,1,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7615707264317394198
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7614826554392087830,2026-03-08,Tid til at rate #starwars karakter ❤️ May the force be with you!,472,11,1,3,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7614826554392087830
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7613785928452017430,2026-03-05,Et hurtigt shoot her under valget 📸,272,2,0,2,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7613785928452017430
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7597809775774141718,2026-01-21,"🎧📻 Storebælt på dagsordenen i Radio IIII! Jeg var i dag i Radio IIII for at forklare, hvorfor Storebælt på sigt bør være gratis 🌉🚗 👉 Lyt med her ✅ Hvis du er enig, så brug din personlige stemme ved det kommende folketingsvalg 🗳️ Det gør en forskel, h",331,5,0,0,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7597809775774141718
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7593349270401502486,2026-01-09,"🚉 Befordringsfradrag – nu også for studerende i yderkommuner! Fra årsskiftet til 2026 kan studerende, der bor i Slagelse eller en af de 24 andre yderkommuner, få fradrag for transport, hvis man er på SU og pendler mere end 12 km hver vej til studiet.",1385,11,3,4,2,https://www.tiktok.com/@venstre.marcusdanielsson/video/7593349270401502486
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7592646244296609046,2026-01-07,📢 DEMONSTRER ORDENTLIGT – ELLER LAD VÆRE Efter kongens nytårstale valgte nogle klimaaktivister at bryde spillereglerne for ytringer. Nu forsvarer en af aktivisternes mor aktionen i Berlingske den 6. januar. Vi har set klimaaktivister blokere veje og ,628,17,2,0,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7592646244296609046
venstre.marcusdanielsson,Marcus Danielsson,Venstre,Sjællands Storkreds,kandidat,7573708926802218262,2025-11-17,"Når man venter på at toget kommer, så skal man holde sig i gang 🏃",13,1,0,0,0,https://www.tiktok.com/@venstre.marcusdanielsson/video/7573708926802218262
