tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620201803593895190,2026-03-22,"En ny mærkesag... Ej, jeg fik ikke lagt den her video op tidligere – det er gået stærkt 🫠 Ramadanen er desværre ovre, men lad os allerede nu lave en aftale... Når jeg, efter valget, kommer i Folketinget, så holder vi næste år en Ramadanmiddag. DF og ",848,27,1,0,2,https://www.tiktok.com/@zishan.ali2101/video/7620201803593895190
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7620158411585490198,2026-03-22,"STOP. LYT. DEL... Det her er far-Zishan, der taler – ikke politiker-Zishan Det her handler ikke bare om ting. Det handler om minder. Om børns tryghed. Om familiers ro. Om hjem, hvor børn skal kunne sove trygt. Så folkens stop indbrud, håber denne vid",485,36,0,0,2,https://www.tiktok.com/@zishan.ali2101/video/7620158411585490198
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7619910146239532310,2026-03-22,"Sikke en roller coaster ride af en dag. Dagen startede med varme smil, fede billeder  og en fantastisk stemning med muslimer, ikke-muslimer og danske medborgere.  Senere på den muslimske gravplads, hvor det igen blev tydeligt, hvor smukt det er, at d",524,22,0,0,1,https://www.tiktok.com/@zishan.ali2101/video/7619910146239532310
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7619036866204994838,2026-03-19,"Eid Mubarak til alle, der fejrer 🤗 Eid er en helt særlig dag. En dag med glæde, taknemmelighed og fællesskab efter en måned med eftertanke, tro og selvdisciplin. Det er en dag, hvor vi samles med familie, venner og naboer. Hvor vi mærker nærvær, omso",898,39,4,0,2,https://www.tiktok.com/@zishan.ali2101/video/7619036866204994838
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7618446754995850518,2026-03-18,"Gad vide hvor mange tidligere elever jeg kan finde herinde 🤓 Da jeg selv gik i folkeskolen, var planen egentlig, at jeg skulle tage en klassisk ALI-uddannelse: Advokat. Læge. Ingeniør. Det startede så med en BSc i Business, Language and Culture på CB",3088,176,2,7,7,https://www.tiktok.com/@zishan.ali2101/video/7618446754995850518
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7618352606343154966,2026-03-17,"Vores første generation byggede ikke bare deres egne liv ,de var med til at bygge Danmark. De kom hertil med håb, styrke og viljen til at arbejde. De tog ansvar, hvor der var behov. De byggede hjem. De byggede foreninger. De byggede fællesskaber. Og ",13600,227,42,161,26,https://www.tiktok.com/@zishan.ali2101/video/7618352606343154966
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7618148175894826262,2026-03-17,"Der er en uge tilbage til Valget ✌🏽 De sidste par uger har set sådan her ud: Skole. Valgkamp. Hjem. Og så forfra igen dagen efter. Intenst. Spændende. Lærerigt. Jeg har ikke taget ferie, fordi jeg har afgangsklasser, og eksamenerne ligger lige rundt ",1944,65,1,9,4,https://www.tiktok.com/@zishan.ali2101/video/7618148175894826262
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7616804003963309334,2026-03-13,"Børn i mistrivsel skal ikke vente på systemet. Jeg vil kæmpe for en tidlig hjælp-garanti i folkeskolen. Alle taler om folkeskolen ved hvert valg. Men vi kan ikke få det hele på én gang. Derfor vil jeg prioritere dér, hvor det gør mest ondt. Tidlig hj",3017,132,8,12,7,https://www.tiktok.com/@zishan.ali2101/video/7616804003963309334
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7616595924416023830,2026-03-13,"Det handler ikke om Mikkel Bjørn mod Zishan Ali. Det handler om, hvilken retning vi vil have for Danmark. Vi løser ikke problemer ved at splitte mennesker op i “os” og “dem”. Vi løser dem med ansvar, respekt og forandring fra midten.",7695,416,12,47,35,https://www.tiktok.com/@zishan.ali2101/video/7616595924416023830
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7615632653932580099,2026-03-10,Debatten om statsborgerskab bør tage udgangspunkt i tre helt centrale punkter. #statsborgerskab #danskpolitik #danmark #ungeidanmark #zishanali,17700,601,45,121,84,https://www.tiktok.com/@zishan.ali2101/video/7615632653932580099
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7615013150001204502,2026-03-08,"På kvindernes internationale kampdag tager vi lige 1 minut med læreren 🤓 Ved du, hvornår kvinder fik stemmeret i Danmark? #1minutmedlæreren #kvinderneskampdag  #vidstedu #danmark  #ligestilling ",2412,80,3,9,5,https://www.tiktok.com/@zishan.ali2101/video/7615013150001204502
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7614914342772935958,2026-03-08,"Jeg havde fornøjelsen af at holde tale til Moderaternes årsmøde. Jeg deler her talen. Lyt meget gerne med – og del endelig jeres tanker, idéer og holdninger. Jeg har troen på, at de bedste løsninger bliver skabt i fællesskab. Zishan Ali Folketingskan",2528,100,6,10,10,https://www.tiktok.com/@zishan.ali2101/video/7614914342772935958
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7613288851884313878,2026-03-04,Plot twist: “graffiti’en” er lavet af mine elever 😅 Hvem vil hjælpe mig med at hænge de næste op? Skriv dit gym/område på Vestegnen + “jeg hjælper” 👇 Jeg vælger 2 steder til næste video. #albertslund #vestskovengymnasium  #nextkbh #folketingsvalget ,3114,82,4,36,6,https://www.tiktok.com/@zishan.ali2101/video/7613288851884313878
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7612889017352310038,2026-03-03,"Jaa ok, lad os sende alle muslimerne hjem... ...og så lige se hvad der sker 🤔 Kære Morten og DF, lad os bruge valgkampen på at snakke fornuft og fællesskab op - det er lykkedes os i mange årtier✌🏽",6659,207,31,19,16,https://www.tiktok.com/@zishan.ali2101/video/7612889017352310038
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7611329832470842646,2026-02-27,"Kære folkens 🤗 Det var måske det, statsministeren ventede på – at jeg kom på stemmelisterne 🤓 I går blev det bekræftet, at jeg er kandidat for Moderaterne i Københavns Omegns Storkreds. I dag er der udskrevet valg – så nu går det stærkt. Det har læng",1224,50,1,5,1,https://www.tiktok.com/@zishan.ali2101/video/7611329832470842646
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7608073983484775702,2026-02-18,"Glædelig Ramadan kære folkens 🤩 Uanset om man starter onsdag eller torsdag, er intentionen den samme. Begge tilgange er legitime – men det er ærgerligt, at vi ikke som sidste år kunne melde én fælles dato ud i god tid 😮‍💨 I en tid, hvor danske muslim",4917,114,14,29,8,https://www.tiktok.com/@zishan.ali2101/video/7608073983484775702
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7587588625534160150,2025-12-25,"Stor respekt for det kreative arbejde – det fortsætter i smuk stil 🤩 @idkmyname123._.1 lader kreativiteten tale … … og jeg? Jeg nyder ferien og vender tilbage i 2026 🤓 Med det håber jeg, at alle har haft en glædelig jul og kommer godt ind i det nye å",1783,31,2,1,0,https://www.tiktok.com/@zishan.ali2101/video/7587588625534160150
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7581175856240839958,2025-12-07,Just taking a small break... ...I'll be back 🤩,3608,81,10,8,9,https://www.tiktok.com/@zishan.ali2101/video/7581175856240839958
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7576370411886136598,2025-11-24,"Regionsvalget bliver jo desværre ofte kaldt et skyggevalg — og passende nok endte min kampagne også som en skyggekampagne. Total ninja-style 🤭 Alligevel blev det til 906 personlige stemmer,  og stemmer fra alle 46 kommuner i Region Østdanmark 🥳 Ikke ",1752,79,2,10,5,https://www.tiktok.com/@zishan.ali2101/video/7576370411886136598
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7575574151293930774,2025-11-22,"Efter tre ugers valgkamp, hvor man nærmest har boet i valgplakater, debatter og beskeder 🤭, tog jeg lige en lille SoMe-puster. Men arbejdet stopper jo ikke – så her kommer en kort opdatering ✌🏽 Tusind tak for alle de opkald og beskeder, jeg har fået.",5493,121,6,42,14,https://www.tiktok.com/@zishan.ali2101/video/7575574151293930774
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7573946815607885078,2025-11-18,"Så blev det endelig den 18. november 2025. Husk at stemme. Tak for kampen 🤗 til familie, venner, alle kandidater og medborgere... Vi har snakket meget politik – nu skal der handles. Tusind tak for alle snakke og idéer, og god valgdag ✖️ Læreren i mig",3046,112,2,19,7,https://www.tiktok.com/@zishan.ali2101/video/7573946815607885078
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7573782336400133398,2025-11-17,"Sikke nogle uger De sidste 2–3 uger har været fulde af debatter – TV-debat på TV2 Kosmopol, radiodebat på DR, rundbordsdebatter, paneldebatter… og i dag en helt særlig én, en ungdomsdebat som ligger mig ekstra tæt på hjertet 🤩 Vi havde besøg af to un",1995,52,2,6,8,https://www.tiktok.com/@zishan.ali2101/video/7573782336400133398
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7572901203990809878,2025-11-15,#ZishanAli #Valg2025 #MidtenErModerat #LarsLøkkeRasmussen #UngeStemmer ,1690,80,10,16,4,https://www.tiktok.com/@zishan.ali2101/video/7572901203990809878
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7572713978594479382,2025-11-14,"Hvorfor Moderaterne – og hvorfor vi er vigtige lige nu... En grund i videoen og en kan læses her, begge med samme budskab ✌🏽 Vi lever (igen) i en tid, hvor yderfløjene igen står klar med skovl og spade for at grave dybere grøfter 🙄 Debatten er blevet",2622,110,3,12,8,https://www.tiktok.com/@zishan.ali2101/video/7572713978594479382
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7571646047525604630,2025-11-12,"En uge tilbage. Om præcis en uge på dette tidspunkt ved vi, hvordan valget er gået 🤞🏽🤲🏽🙏🏽 Mit inderlige ønske har hele vejen været, at så mange som muligt kommer ud og stemmer. For mig handler det ikke kun om politik – det handler om fællesskab, ansv",3172,157,4,31,12,https://www.tiktok.com/@zishan.ali2101/video/7571646047525604630
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7570086085632494870,2025-11-07,Hvor blev Pia Kjærsgaard af? #ZishanAli #Spidskandidat #Valg2025 #Lærer #UngeStemmer ,3775,175,6,63,17,https://www.tiktok.com/@zishan.ali2101/video/7570086085632494870
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7569873477327588631,2025-11-07,"Denne fortjener også en deling på TikTok 🤓 🚨 KV25 & RV25 – ingen kan være i tvivl, nu er vi i gang med slutspurten! Valgplakatdagen – vel overstået ✌🏽 Sikke en dag! God stemning, mange smil og hyggelige møder på vejen. Og vejret holdt (næsten) hele v",3845,142,14,31,11,https://www.tiktok.com/@zishan.ali2101/video/7569873477327588631
zishan.ali2101,Zishan Ali,Moderaterne,Københavns Omegns Storkreds,kandidat,7568633595372293398,2025-11-03,"Jeg er Zishan Ali — lærer og skolevejleder, og spidskandidat for Moderaterne i Ballerup. Samt kandidat til regionsvalget i Østdanmark ✌️ 🎓 Jeg har undervist børn og unge i flere år — og jeg tager jeres erfaringer og stemmer med ind i politik. Jeg sti",7098,248,54,131,30,https://www.tiktok.com/@zishan.ali2101/video/7568633595372293398
