tiktok_handle,display_name,party_name,account_type,følgere,samlet_likes,antal_videoer,hentet_dato
alexvanopslagh,Alex Vanopslagh,Liberal Alliance,kandidat,,,,2026-03-22
alexanderryle,Alexander Ryle,Liberal Alliance,kandidat,,,,2026-03-22
realallanfeldt,Allan Feldt,Dansk Folkeparti,kandidat,,,,2026-03-22
amandaheitmann,Amanda Heitmann,Venstre,kandidat,,,,2026-03-22
anastasia_milthers,Anastasia Milthers,Radikale Venstre,kandidat,,,,2026-03-22
kronborg1982,Anders Kronborg,Socialdemokratiet,kandidat,,,,2026-03-22
anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,kandidat,,,,2026-03-22
andersvistisen,Anders Vistisen,Dansk Folkeparti,kandidat,,,,2026-03-22
andreasraben,Andreas Raben,Moderaterne,kandidat,,,,2026-03-22
anette.jensen.smi,Anette Jensen Smith,Alternativet,kandidat,,,,2026-03-22
anjalund753,Anja Lund,Venstre,kandidat,,,,2026-03-22
annesophierv,Anne Sophie Callesen,Radikale Venstre,kandidat,,,,2026-03-22
barbarakrarup,Barbara Krarup Hansen,Radikale Venstre,kandidat,,,,2026-03-22
betinakastbjerg,Betina Kastbjerg,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
bjornbrandenborg,Bjørn Brandenborg,Socialdemokratiet,kandidat,,,,2026-03-22
carina.til.folketinget,Carina Høedt,Det Konservative Folkeparti,kandidat,,,,2026-03-22
carlandersen27,Carl Andersen,Liberal Alliance,kandidat,,,,2026-03-22
carl.emil.lind.ch,Carl Emil Lind,Socialdemokratiet,kandidat,,,,2026-03-22
caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
christiankirk00,Christian Kirk,Dansk Folkeparti,kandidat,,,,2026-03-22
coco.esperas,Coco Mette Cecilie Kjærgaard,Alternativet,kandidat,,,,2026-03-22
deniserostgaard,Denise Rostgaard,Dansk Folkeparti,kandidat,,,,2026-03-22
flydtkjaer,Dennis Flydtkjær,Danmarksdemokraterne - Inger Støjberg,kandidat,,,,2026-03-22
dinamyrupraabjerg,Dina Andersen-Raabjerg,Det Konservative Folkeparti,kandidat,,,,2026-03-22
edith_vels,Edith Vels,Enhedslisten - De Rød-Grønne,kandidat,,,,2026-03-22
ellenemilie_,Ellen Emilie,Moderaterne,kandidat,,,,2026-03-22
emilslothandersen,Emil Sloth,Alternativet,kandidat,,,,2026-03-22
emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,kandidat,,,,2026-03-22
