candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Aksel Rosager Johansen,Enhedslisten - De Rød-Grønne,Vestjyllands Storkreds,"site:tiktok.com ""@akselrosagerjohansen""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40akselrosagerjohansen%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Alex Ahrendtsen,Dansk Folkeparti,Fyns Storkreds,"site:tiktok.com ""Alex Ahrendtsen""",ddg,1,MIT ALLERFØRSTE JOB | Alex Ahrendtsen er i dag... | TikTok,"67 Likes, TikTok video from Fagbevægelsen | FH (@fhdanmark): “MIT ALLERFØRSTE JOB | Alex Ahrendtsen er i dag forsvarsordfører for Dansk Folkeparti. Men som ungt avisbud skulle...",https://www.tiktok.com/@fhdanmark,fhdanmark,0,25,15,0,40,manual_review
Alex Vanopslagh,Liberal Alliance,Østjyllands Storkreds,"site:tiktok.com ""Alex Vanopslagh""",ddg,1,Alex Vanopslagh (@alexvanopslagh_) TikTok | Watch Alex...,Alex Vanopslagh (@alexvanopslagh_) on TikTok | 23.8K Likes. 2.5K Followers. Vanopslagh 4 presidento Not 4 reals.,https://www.tiktok.com/@alexvanopslagh_,alexvanopslagh_,55,25,8,0,88,high_confidence
Alexander Bruhn Skjøth,SF - Socialistisk Folkeparti,Københavns Omegns Storkreds,"site:tiktok.com ""@alexanderbruhnskjoth""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40alexanderbruhnskjoth%22&engine=brave&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Alexander Ryle,Liberal Alliance,Københavns Storkreds,"site:tiktok.com ""Alexander Ryle""",ddg,1,Alexander Ryle (@alexanderryle_) Official | TikTok,Alexander Ryle (@alexanderryle_) on TikTok | 1.2K Likes. 296 Followers.Der mangler formuft. #dkpol #kbhpol created by Alexander Ryle with Alexander Ryle ’s original sound. 3515.,https://www.tiktok.com/@alexanderryle_,alexanderryle_,55,25,0,0,80,high_confidence
Ali Qais,Moderaterne,Københavns Storkreds,"site:tiktok.com ""Ali Qais""",ddg,1,Ali Qais Official - TikTok,"👉🌜 Ali Qais Official🌛👈 (@ali.qaisofficiall) on TikTok | 35K Likes. 2310 Followers. وَتُعِزُّمَنࣿ تَشَاءوَتُذِلُّ مَنࣿ تَشَاء.Watch 👉🌜 Ali Qais Official🌛👈's popular videos: ""Tranding video#viral..."", """,https://www.tiktok.com/@ali.qaisofficiall,ali.qaisofficiall,35,25,8,0,68,possible_match
Ali Yahya,SF - Socialistisk Folkeparti,Sjællands Storkreds,"site:tiktok.com ""@aliyahya""",ddg,1,Ali 10 (@ aliyahya 1010) | TikTok,TikTok'ta Ali 10 (@ aliyahya 1010) |264 Beğeni.156 Takipçi.Ali 10 (@ aliyahya 1010) adlı kullanıcıdan en yeni videoyu izleyin.,https://www.tiktok.com/@aliyahya1010,aliyahya1010,35,25,0,0,60,possible_match
Allan Feldt,Dansk Folkeparti,Københavns Storkreds,"site:tiktok.com ""@allanfeldt""",ddg,2,Allan Feldt (@ allanfeldt ) TikTok | Watch Allan Feldt's Newest TikTok...,allanfeldt . Allan Feldt.,https://www.tiktok.com/@allanfeldt,allanfeldt,55,25,0,0,80,high_confidence
Allan Hansen Lindemark,Alternativet,Sjællands Storkreds,"site:tiktok.com ""Allan Hansen Lindemark""",ddg,2,Allan Hansen (@kong_allan) | TikTok,Allan Hansen (@kong_allan) on TikTok | 25 Followers. Watch the latest video from Allan Hansen (@kong_allan).,https://www.tiktok.com/@kong_allan,kong_allan,0,16,0,0,16,manual_review
Allan Holm,Borgernes Parti - Lars Boje Mathiesen,Fyns Storkreds,"site:tiktok.com ""Allan Holm""",ddg,1,Allan Holm (@allanholm11) TikTok | Watch Allan Holm 's Newest...,Allan Holm . Подписаться. 0Подписки.,https://www.tiktok.com/@allanholm11,allanholm11,35,25,0,0,60,possible_match
