party_name,storkreds,candidate_name
Liberal Alliance,Fyns Storkreds,Gustav Wilde
Liberal Alliance,Fyns Storkreds,Katrine Daugaard
Liberal Alliance,Fyns Storkreds,Martin Lissner
Liberal Alliance,Fyns Storkreds,Thomas Estrup
Liberal Alliance,Fyns Storkreds,Tonny Vest
Liberal Alliance,Københavns Omegns Storkreds,Freja Brandhøj
Liberal Alliance,Københavns Omegns Storkreds,Hanne Bjørn
Liberal Alliance,Københavns Omegns Storkreds,Jacqueline Kristensen
Liberal Alliance,Københavns Omegns Storkreds,Jonas Juhl
Liberal Alliance,Københavns Omegns Storkreds,Michael Melchert
Liberal Alliance,Københavns Storkreds,Merete Riisager
Liberal Alliance,Københavns Storkreds,Torben Guldbæk
Liberal Alliance,Nordjyllands Storkreds,Bo Ritterbusch
Liberal Alliance,Nordjyllands Storkreds,Claus Beck
Liberal Alliance,Nordjyllands Storkreds,HP Beck
Liberal Alliance,Nordjyllands Storkreds,Mark Hellerup
Liberal Alliance,Nordjyllands Storkreds,Thomas Heuniche
Liberal Alliance,Nordsjællands Storkreds,Christopher Arzrouni
Liberal Alliance,Nordsjællands Storkreds,Johannes Joyce
Liberal Alliance,Nordsjællands Storkreds,Kira Danholm
Liberal Alliance,Nordsjællands Storkreds,Philip Solberg
Liberal Alliance,Nordsjællands Storkreds,Robert Mørck
Liberal Alliance,Nordsjællands Storkreds,Steen Tofteng
Liberal Alliance,Nordsjællands Storkreds,Steffen Sjørslev
Liberal Alliance,Sjællands Storkreds,Brian Prehn
Liberal Alliance,Sjællands Storkreds,Frederik Grünfeld
Liberal Alliance,Sjællands Storkreds,Joachim Riis
Liberal Alliance,Sjællands Storkreds,Julie Memborg
Liberal Alliance,Sjællands Storkreds,Kasper Schneider
Liberal Alliance,Sjællands Storkreds,Lars-Christian Brask
Liberal Alliance,Sjællands Storkreds,Mads Brenøe
Liberal Alliance,Sjællands Storkreds,Sandra Skalvig
Liberal Alliance,Sjællands Storkreds,Ulrik Lassen
Liberal Alliance,Sydjyllands Storkreds,Christian Jørgensen
Liberal Alliance,Sydjyllands Storkreds,Helene Lykke
Liberal Alliance,Sydjyllands Storkreds,John Rasmussen
Liberal Alliance,Sydjyllands Storkreds,Troels Simonsen
Liberal Alliance,Vestjyllands Storkreds,Carsten Bach
Liberal Alliance,Vestjyllands Storkreds,Keld Lorenzen
Liberal Alliance,Vestjyllands Storkreds,Kevin Possekel
Liberal Alliance,Vestjyllands Storkreds,Ragnar Dixen
Liberal Alliance,Vestjyllands Storkreds,Steffen Troldtoft
Liberal Alliance,Vestjyllands Storkreds,Thorbjørn Jacobsen
Liberal Alliance,Østjyllands Storkreds,Chris Hvidberg
Liberal Alliance,Østjyllands Storkreds,Kim Møller-Nielsen
Liberal Alliance,Østjyllands Storkreds,Lars Abildskov
Liberal Alliance,Østjyllands Storkreds,Louise Svenstrup
Liberal Alliance,Østjyllands Storkreds,Michael Klausen
Liberal Alliance,Østjyllands Storkreds,Niels Povlsgaard
Liberal Alliance,Bornholms Storkreds,Eik Dahl Bidstrup
Liberal Alliance,Fyns Storkreds,Pia Offer Madsen
Liberal Alliance,Københavns Omegns Storkreds,Patrizia Venturelli Christensen
Liberal Alliance,Københavns Storkreds,Line Østergaard Olsen
Liberal Alliance,Københavns Storkreds,Per Nørgaard Andersen
Liberal Alliance,Nordjyllands Storkreds,Dan Gaardboe Rueskov
Liberal Alliance,Nordjyllands Storkreds,Kenneth Skatka Hammer
Liberal Alliance,Nordjyllands Storkreds,Kresten Solvang Larsen
Liberal Alliance,Nordsjællands Storkreds,Chelle Lilly Albøge
Liberal Alliance,Nordsjællands Storkreds,Sten Schmidl Søbjærg
Liberal Alliance,Sjællands Storkreds,Carsten Abildtrup Ranum
Liberal Alliance,Sjællands Storkreds,Elva Bille Klem
