candidate_name,party_name,storkreds,query_used,search_engine,query_phase,result_title,result_snippet,profile_url,profile_handle,handle_score,name_score,party_score,context_score,total_score,status
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,"Exploring Karachi, Pakistan in Nice Weather | TikTok","154 Likes, TikTok video from Shazia Araz Khan (@shazia. araz . khan ): “Join us as we take a look at the beautiful city of Karachi, Pakistan in perfect weather conditions.",https://www.tiktok.com/@shazia.araz.khan,shazia.araz.khan,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,100k Views Celebration in Saudi Arabia | TikTok,"962 من تسجيلات الإعجاب،22 من التعليقات.فيديو TikTok(تيك توك) من Khan Araz Khan (@khanarazkhan): ""Celebrate reaching 100k views with us!",https://www.tiktok.com/@khanarazkhan,khanarazkhan,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,Araz Khan 895 (@arazkhan895) TikTok | Watch Araz...,Araz Khan 895. Follow. 2371.,https://www.tiktok.com/@arazkhan895,arazkhan895,35,25,0,0,60,possible_match
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Araz Khan""",ddg,1,Mere Pyar Ki Umar Ho Song Edit | TikTok,TikTok video from *꧁༺F araz khan ༻꧂(@farazkhan_900): “Enjoy this heartfelt edit of the song 'Mere Pyar Ki Umar Ho'. Watch now! #viral #fyp #NewPepsiHitMeLike #fypシ...,https://www.tiktok.com/@farazkhan_900,farazkhan_900,18,25,0,0,43,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,A R A Z 02 (@ arazkhan 002) | TikTok,TikTok'ta A R A Z 02 (@ arazkhan 002) |134.5K Beğeni.2795 Takipçi.A İ A A G H D A M .A R A Z 02 (@ arazkhan 002) adlı kullanıcıdan en yeni videoyu izleyin.,https://www.tiktok.com/@arazkhan002,arazkhan002,35,25,8,0,68,possible_match
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,Kaynanam Burdan Geçmiş | TikTok,TikTok video from A R A Z 02 (@ arazkhan 002): “Qaynanam #fyp #foryou #keşfet #viral #flowers #foryoupage”.,https://www.tiktok.com/discover/kaynanam-burdan-geçmiş,,0,25,0,0,25,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@arazkhan""",ddg,2,Çiçek Akımı Anam Burdan Keçib | TikTok,60.3M posts. Discover videos related to Çiçek Akımı Anam Burdan Keçib on TikTok.,https://www.tiktok.com/discover/çiçek-akımı-anam-burdan-keçib,,0,0,8,0,8,manual_review
Araz Khan,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@araz.khan""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40araz.khan%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,"Den nyvalgte viceborgmester i Kerteminde Kommune, Malte Jäger ...","130 Likes, TikTok video from TV 2 Fyn (@tv2fyn): “Den nyvalgte viceborgmester i Kerteminde Kommune, Malte Jäger fra Liberal Alliance, udmeldte i går, at han vil frasige sig sit vederlag på 80.000 kron",https://www.tiktok.com/@tv2fyn,tv2fyn,0,25,15,0,40,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,But who knows? #alienstage #sua #mizi #mizisuaedit # ... - TikTok TikTok feta - TikTok,"For most people, that starts with the car payment. #cartiktok #carpayment #moneytips #moneyadvice #savemoneylivebetter #wealthymindset | Den nyvalgte viceborgmester i Kerteminde Kommune, Malte Jäger f",https://www.tiktok.com/@qwiipm._,qwiipm._,0,25,15,0,40,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""Malte Jäger""",ddg,1,TikTok,Jellycat Inspired Chanel Classic Top Handle flap bag with pearl crush chain #jellycat #jellycatbag #plushie #kawaiifashion #plushie #cuteaesthetic #fyp #kawaii | Den nyvalgte viceborgmester i Kertemin,https://www.tiktok.com/@adelekwang2015,adelekwang2015,0,25,15,0,40,manual_review
Malte Jäger,Liberal Alliance,Fyns Storkreds,"site:tiktok.com ""@malteger""",ddg,0,,ERROR: Request timed out: RuntimeError('error sending request for url (https://leta.mullvad.net/search/__data.json?q=site%3Atiktok.com+%22%40malteger%22&engine=google&x-sveltekit-invalidated=001&country=us&lang=en): operation timed out\n\nCaused by:\n    operation timed out'),,,0,0,0,0,0,search_error
