run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7612913835330030870,2026-03-03,OFFICIEL VALGKAMPSVIDEO 🔥🔥,126800,18600,178,1476,1170,https://www.tiktok.com/@_enhedslisten/video/7612913835330030870
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7611173489906666774,2026-02-26,Et Danmark du har råd til! ❤️‍🔥 God valgkamp!,32100,2667,50,107,106,https://www.tiktok.com/@_enhedslisten/video/7611173489906666774
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620873999211384086,2026-03-24,❤️‍🔥❤️‍🔥❤️‍🔥,20100,1263,26,22,39,https://www.tiktok.com/@_enhedslisten/video/7620873999211384086
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620785195100278038,2026-03-24,Greatest hits 🔥,99500,15100,127,925,804,https://www.tiktok.com/@_enhedslisten/video/7620785195100278038
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620726503092882710,2026-03-24,Så er det i dag 😎,48200,6241,100,240,180,https://www.tiktok.com/@_enhedslisten/video/7620726503092882710
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620560882900438274,2026-03-23,Man får ikke ret fordi man råber.,22600,1733,23,51,66,https://www.tiktok.com/@_enhedslisten/video/7620560882900438274
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620497086382935318,2026-03-23,🫢,27300,2123,23,102,62,https://www.tiktok.com/@_enhedslisten/video/7620497086382935318
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620452585543159062,2026-03-23,Håb over had! ❤️‍🔥🙏🏻,100000,8504,66,349,309,https://www.tiktok.com/@_enhedslisten/video/7620452585543159062
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620409751846817046,2026-03-23,Der ingen plan B 🌍 ,101100,10600,90,402,416,https://www.tiktok.com/@_enhedslisten/video/7620409751846817046
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620188049976069398,2026-03-22,Tak for ordet 🙂,53500,5547,67,267,265,https://www.tiktok.com/@_enhedslisten/video/7620188049976069398
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620173051396771094,2026-03-22,🫢,63900,4233,60,36,97,https://www.tiktok.com/@_enhedslisten/video/7620173051396771094
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620131154917625110,2026-03-22,,67000,7350,73,423,270,https://www.tiktok.com/@_enhedslisten/video/7620131154917625110
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7620051805644410134,2026-03-22,Vi slår ring. Vi siger fra. Vi vælger håb over had ❤️,10900,1105,22,144,50,https://www.tiktok.com/@_enhedslisten/video/7620051805644410134
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619784306226924822,2026-03-21,HÅB OVER HAD ❤️‍🔥,48900,6999,81,571,308,https://www.tiktok.com/@_enhedslisten/video/7619784306226924822
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619625890913258774,2026-03-21,"Klimaforandringerne forsvinder ikke, bare fordi vi holder op med at tale om dem. I går var Danmarks overshoot-day, i dag går vi på gaden til folkets klimamarch! Tag med ❤️💚",19400,2012,17,54,63,https://www.tiktok.com/@_enhedslisten/video/7619625890913258774
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619391037768846614,2026-03-20,Pellethon er i gang - 20 km endnu 🏃‍♂️,5644,112,4,7,5,https://www.tiktok.com/@_enhedslisten/video/7619391037768846614
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619276174723697923,2026-03-20,Folkemordet i Gaza har fyldt ALT for lidt den her valgkamp! Danmark mangler stadig at anerkende Palæstina og stoppe våbeneksporten til Israel✊🇵🇸,133300,11900,38,519,593,https://www.tiktok.com/@_enhedslisten/video/7619276174723697923
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619215034903792918,2026-03-20,ET DANMARK DU HAR RÅD TIL,18400,1907,32,101,89,https://www.tiktok.com/@_enhedslisten/video/7619215034903792918
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7619003959293922582,2026-03-19,❤️,15500,1278,20,56,31,https://www.tiktok.com/@_enhedslisten/video/7619003959293922582
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618906303586520342,2026-03-19,Resultat af manglende politisk handling. ,7489,305,9,10,7,https://www.tiktok.com/@_enhedslisten/video/7618906303586520342
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618842869289323798,2026-03-19,Vores politiske ordfører btw✌️,30500,3390,25,81,93,https://www.tiktok.com/@_enhedslisten/video/7618842869289323798
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618704887550889238,2026-03-18,"Chat, vi skaber et Danmark, som vi alle har råd til ❤️‍🔥",5957,324,3,3,13,https://www.tiktok.com/@_enhedslisten/video/7618704887550889238
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618609714238098710,2026-03-18,Tørstig 🤤,44200,3795,56,975,188,https://www.tiktok.com/@_enhedslisten/video/7618609714238098710
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618537651179670806,2026-03-18,"De passer på vores ældre. De skifter deres strømper. Vender dem om natten. Sørger for, at de får taget deres medicin. Holder dem i hånden, når de er ensomme.  Hjemmesygeplejersken ❤️ Liberal Alliance mener, at vi skal skære i kommunerne med 7,4 milli",10500,830,21,18,43,https://www.tiktok.com/@_enhedslisten/video/7618537651179670806
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618164245590461718,2026-03-17,Alt på rød tak,40700,3837,85,115,90,https://www.tiktok.com/@_enhedslisten/video/7618164245590461718
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7618116673060474134,2026-03-17,🤷‍♂️🤷‍♂️,5377,299,8,6,11,https://www.tiktok.com/@_enhedslisten/video/7618116673060474134
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617974314574302486,2026-03-16,"Vil vi have et velfærdssamfund for os alle eller et forsikringssamfund for dem med flest ressourcer? Vi ved godt, hvad vi foretrækker 😉 ❤️💚",5825,261,7,2,12,https://www.tiktok.com/@_enhedslisten/video/7617974314574302486
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617839594951806230,2026-03-16,Mediernes dækning af formueskat har vist én ting: Eliten har langt flere ressourcer til at tale deres sag.,34700,2627,44,55,55,https://www.tiktok.com/@_enhedslisten/video/7617839594951806230
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617741028891577622,2026-03-16,Dragen er landet 🐲🐉,86700,6175,152,755,231,https://www.tiktok.com/@_enhedslisten/video/7617741028891577622
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617462196536085782,2026-03-15,"Det skal ikke være prisen på din forsikring, der er afgørende for, at du kan få den hjælp, du har ret til ❤️💚",106500,9496,145,573,568,https://www.tiktok.com/@_enhedslisten/video/7617462196536085782
20260330_193550_a14bfb,_enhedslisten,Enhedslisten,Enhedslisten - De Rød-Grønne,Landsplan,parti_national,7617384721181363478,2026-03-15,Fokuser på vores ægte problemer.,21000,1775,31,49,52,https://www.tiktok.com/@_enhedslisten/video/7617384721181363478
