run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620534125971115286,2026-03-23,9 hurtige spørgsmål til Anders Peter Hansen #fyp #dkpol ,830,47,1,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7620534125971115286
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620532097945586966,2026-03-23,Debatterne er slut og vælgerne skal til stemmeurnerne. Tak til alle mine meddebattører det har været en fornøjelse! 🙏 #fyp #dkpol ,779,24,0,3,0,https://www.tiktok.com/@anderspeterhansenla/video/7620532097945586966
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620113263040154902,2026-03-22,"AaB tilbage i Superligaen og en blå regering, ja tak. #fyp #dkpol #AaB",836,74,9,11,1,https://www.tiktok.com/@anderspeterhansenla/video/7620113263040154902
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7620087494893260054,2026-03-22,DJ BATTLE aftermove Anders Peter Hansen (LA) vs @Jacob Robsøe (RV)  Husk at stemme den 24. marts 🗳️ #fyp #dkpol ,371,13,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7620087494893260054
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619997374240263446,2026-03-22,Lyt til Alex. Stem Anders Peter Hansen den 24. marts #fyp #dkpol ,1578,71,0,2,1,https://www.tiktok.com/@anderspeterhansenla/video/7619997374240263446
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619738257886154006,2026-03-21,Har du tjekket din årsopgørelse? #fyp #dkpol ,443,21,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7619738257886154006
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7619326753265175830,2026-03-20,"Ses vi til DJ battle i aften?🎧 Heidis Bier Bar i Jomfru Ane Gade, fredag kl. 24:00 20-03-2026 #fyp #dkpol @Jacob Robsøe (RV) ",413,18,2,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7619326753265175830
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618913790892969238,2026-03-19,Atomkraft ja tak ⚛️ #fyp #dkpol ,5003,117,5,6,8,https://www.tiktok.com/@anderspeterhansenla/video/7618913790892969238
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7618163237745429782,2026-03-17,Saint Patricks Day = Guinness  #fyp #dkpol ,489,22,1,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7618163237745429782
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616086474861186306,2026-03-11,Replying to @Mathias #dkpol #fyp,496,15,2,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7616086474861186306
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616085841068231958,2026-03-11,Replying to @Mølmøl Møller #dkpol #fyp,380,10,1,1,1,https://www.tiktok.com/@anderspeterhansenla/video/7616085841068231958
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7616084450287373590,2026-03-11,Replying to @Aria John Sadigh Bedre vilkår til iværksætterne i Danmark! #fyp #dkpol,769,21,6,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7616084450287373590
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615030911331093782,2026-03-09,Forårsmesse i Frederikshavn. Tak for alle de gode snakke. #fyp  #dkpol ,192,4,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7615030911331093782
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7615133649926622486,2026-03-09,Replying to @magnuskramme5 ,493,20,0,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7615133649926622486
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7613747210387262742,2026-03-05,Formueskat er en joke 🤡 #dkpol #fyp,921,23,3,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7613747210387262742
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7612640398250429718,2026-03-02,Replying to @Jacobbabs999🇩🇰 ,425,14,1,0,1,https://www.tiktok.com/@anderspeterhansenla/video/7612640398250429718
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611952797579529494,2026-02-28,Fjern registreringsafgiften 🚗 #dkpol #fyp #Foryou #fordig ,360,18,2,1,0,https://www.tiktok.com/@anderspeterhansenla/video/7611952797579529494
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611473737736523030,2026-02-27,Replying to @Sebastian B. Rask ,574,27,7,1,2,https://www.tiktok.com/@anderspeterhansenla/video/7611473737736523030
20260330_193550_a14bfb,anderspeterhansenla,Anders Peter Hansen,Liberal Alliance,Nordjyllands Storkreds,kandidat,7611376248668916994,2026-02-27,Atomkraft JA TAK⚛️ #dkpol #fyp #foryou #atomkraft,557,25,7,0,0,https://www.tiktok.com/@anderspeterhansenla/video/7611376248668916994
