run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7621550219586506016,2026-03-26,"I min sidste tale i Europa-Parlamentet kastede jeg mig over det samme, som jeg vil kaste mig over i Folketinget: STOP med at spilde danskernes penge!",1163,118,3,1,6,https://www.tiktok.com/@andersvistisen/video/7621550219586506016
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7618954622018866454,2026-03-19,"Forsøger du at komme ulovligt til Danmark som asylant? Det eneste, du kan være 100 % sikker på, er, at du aldrig kommer ind i vores land.",1435,131,1,2,4,https://www.tiktok.com/@andersvistisen/video/7618954622018866454
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7617837330283613462,2026-03-17,"Vi skal have vendt den demografiske udvikling i Danmark. Der er for mange med udenlandsk oprindelse I Danmark. Problemet er ikke indvandring fra den vestlige kulturkreds, men masseindvandringen fra muslimske lande. Vi må turde erkende, at der er fors",675,62,1,0,2,https://www.tiktok.com/@andersvistisen/video/7617837330283613462
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7617831898928139552,2026-03-16,🤔🤔🤔,1532,121,9,8,7,https://www.tiktok.com/@andersvistisen/video/7617831898928139552
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7617083591759121696,2026-03-14,"Så er vi klar til at give 3 timers billig benzin og diesel til danskerne! Det skal gå stærkt, hvis du skal nå at have en tank med!",1267,107,8,1,6,https://www.tiktok.com/@andersvistisen/video/7617083591759121696
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7615955341070667041,2026-03-11,Din daglige dosis sund fornuft ,2844,180,14,7,7,https://www.tiktok.com/@andersvistisen/video/7615955341070667041
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7614113334954167584,2026-03-06,"Udlændinge på Kærshovedgård står bag mere end 11.000 lovbrud.  Det er fuldstændig grotesk.  De skal sendes hjem, om de vil det eller ej.",2571,209,28,7,15,https://www.tiktok.com/@andersvistisen/video/7614113334954167584
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7613388147036032278,2026-03-04,"I 2011 bortførte og voldtog Ahmed Omar Mohamed en 10-årig pige. Socialdemokratiet nægtede dengang at hjemsende ham, fordi det ville stride mod “internationale konventioner”. For nylig er han blevet sigtet for et bestialsk mord på en 77-årig mand. Ahm",1612,135,3,10,10,https://www.tiktok.com/@andersvistisen/video/7613388147036032278
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7611614992776858902,2026-03-02,,955,68,0,0,3,https://www.tiktok.com/@andersvistisen/video/7611614992776858902
20260330_193550_a14bfb,andersvistisen,Anders Vistisen,Dansk Folkeparti,Nordjyllands Storkreds,kandidat,7611613915910376726,2026-03-01,Danmark er det dyreste land i EU at handle ind i. I Dansk Folkeparti kæmper vi for at gøre det billigere at være dansker!,1044,49,1,0,2,https://www.tiktok.com/@andersvistisen/video/7611613915910376726
