run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620731456817483030,2026-03-24,"Naturen kan ikke vente, det kan jeg heller ikke 😅 #dkpol #nordsjælland #biodiversitet #miljø #natur",694,38,0,0,0,https://www.tiktok.com/@andreasraben/video/7620731456817483030
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620599233556598038,2026-03-24,Stem personligt 🫶 #dkpol #nordsjælland #unge #klima #trivsel,385,12,0,1,2,https://www.tiktok.com/@andreasraben/video/7620599233556598038
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620560698019515670,2026-03-23,Debattens sidste og kloge ord  #dkpol #moderaterne #valg #unge #polarisering,2925,87,0,1,6,https://www.tiktok.com/@andreasraben/video/7620560698019515670
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620533053013691670,2026-03-23,Lad os tænke ambitiøs for den offentlige transport - især s-tog til Helsinge!! #dkpol #nordsjælland #tog #unge ,1047,33,1,0,3,https://www.tiktok.com/@andreasraben/video/7620533053013691670
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620497318072093974,2026-03-23,Husk at stem personligt på tirsdag 🙏 #dkpol #nordsjælland #valg #unge,941,48,1,0,1,https://www.tiktok.com/@andreasraben/video/7620497318072093974
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620463498686106903,2026-03-23,Vi kæmper begge mod skærm i børneværelserne og for bedre trivsel😎 Tak til Caroline Stage #dkpol #nordsjælland #skærm #børneliv #forældre ,812,11,1,0,0,https://www.tiktok.com/@andreasraben/video/7620463498686106903
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620433951252892950,2026-03-23,Mig og Stine Bosse gav den gas i Hillerød 💪 #dkpol #nordsjælland #ung #hillerød #trivsel,839,21,0,0,2,https://www.tiktok.com/@andreasraben/video/7620433951252892950
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620352674512342294,2026-03-23,Klimaministeren har ordet ⚡️🌳 #klima #energi #nordsjælland #dkpol ,313,9,0,0,0,https://www.tiktok.com/@andreasraben/video/7620352674512342294
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620069844309888278,2026-03-22,Stem Andreas Raben på tirsdag 😎 #dkpol #nordsjælland #lars #politik,1471,58,0,0,1,https://www.tiktok.com/@andreasraben/video/7620069844309888278
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7620038867424496918,2026-03-22,Hvorfor fylder EU så lidt? Noma har fyldt mere… #dkpol #nordsjælland #dkmedier #eu,469,17,0,0,2,https://www.tiktok.com/@andreasraben/video/7620038867424496918
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7619755281186098454,2026-03-21,Kalder alle unge i Nordsjælland! #ung #nordsjælland #valg #politik ,525,15,1,0,2,https://www.tiktok.com/@andreasraben/video/7619755281186098454
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7619706051163720982,2026-03-21,"Som Monika siger - stem ungt, stem Andreas Raben :-) #ung #valg #nordsjælland #politik",883,15,1,0,1,https://www.tiktok.com/@andreasraben/video/7619706051163720982
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7619665767662931222,2026-03-21,What up G,1382,33,4,9,1,https://www.tiktok.com/@andreasraben/video/7619665767662931222
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7619648519883869462,2026-03-21,Frandsen har gode råd 😎 #DKpol #ældre #nordsjælland #miljø #unge ,1169,38,1,0,1,https://www.tiktok.com/@andreasraben/video/7619648519883869462
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7619608968112901398,2026-03-21,"Et bedre børneliv for flere, ja tak! #dkpol #nordsjælland #trivsel #spejder #svømning",1403,44,1,4,0,https://www.tiktok.com/@andreasraben/video/7619608968112901398
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618989781606845718,2026-03-19,Sidste chance for at brevstemme i morgen 😄 #dkpol #nordsjælland #vote ,1316,24,0,3,1,https://www.tiktok.com/@andreasraben/video/7618989781606845718
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618941610176302358,2026-03-19,Atomkraftsdebatten er svær! #dkpol #atomkraft,1704,65,14,0,3,https://www.tiktok.com/@andreasraben/video/7618941610176302358
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618626359618817302,2026-03-18,Tak Stine Bosse 🫶 stem personligt den 24. 👏💜 #eu #nordsjælland #politik #folkeskolen #miljø ,753,17,6,0,1,https://www.tiktok.com/@andreasraben/video/7618626359618817302
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618583905947503894,2026-03-18,Skolerne ved bedst #dkpol #nordsjælland #skole #trivsel #folkeskole,628,25,1,0,0,https://www.tiktok.com/@andreasraben/video/7618583905947503894
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618502043791084822,2026-03-18,Jeg går til valg på håb! #DKpol #dkmedier #nordsjælland #fv26 #unge,1695,49,1,0,1,https://www.tiktok.com/@andreasraben/video/7618502043791084822
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618263492763716866,2026-03-17,"Anders og Ali er lige gode, når du har brug for hjælp. #dkpol #fv26 #internationals #sundhed #nordsjælland ",3258,79,8,3,0,https://www.tiktok.com/@andreasraben/video/7618263492763716866
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7618103536336850198,2026-03-17,"Jeg vil arbejde for en ambitiøs biodiversitetslov, der sikrer at vi lever op til 30% beskyttet natur. #dkpol #nordsjælland #natur #biodiversity ",467,10,1,0,0,https://www.tiktok.com/@andreasraben/video/7618103536336850198
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617964424497761558,2026-03-16,Elektrificering ja tak #dkpol #nordsjælland #elektrificering #trump #ukraine,329,11,0,0,0,https://www.tiktok.com/@andreasraben/video/7617964424497761558
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617910968718265622,2026-03-16,Lad os skabe fremtidens svinebrug - sammen 🌾🐷 Video fra skovvandring med Danmarks Naturfredningsforning i Gribskov  #dkpol #nordsjælland #landbrug #dyrevelfærd ,640,13,3,1,2,https://www.tiktok.com/@andreasraben/video/7617910968718265622
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617838385931095319,2026-03-16,Foreningslivet kan sænke mistrivslen. Men flere skal kunne deltage. #dkpol #nordsjælland #dkmedier #mistrivsel #forening,920,24,0,0,0,https://www.tiktok.com/@andreasraben/video/7617838385931095319
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617746621404613910,2026-03-16,"Tak til Emil Nielsen fra SF 🙌 Hvis du er rød-grøn, og lidt mindre liberal - så tøv ikke med at stemme på ham 😄 #dkpol #nordsjælland #natur #miljø ",492,13,3,0,1,https://www.tiktok.com/@andreasraben/video/7617746621404613910
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617545216819531030,2026-03-15,"@Moderaterne vil lave en lokalgaranti for skoler, der lukker. De skal kunne drives videre af lokalsamfundet. #Skole #friskole #dkpol #dkmedier #dkpol",670,16,3,1,0,https://www.tiktok.com/@andreasraben/video/7617545216819531030
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617511199516806422,2026-03-15,Det er Kystbanens skyld! #kystbanen #dkpol #transport,1022,11,1,0,2,https://www.tiktok.com/@andreasraben/video/7617511199516806422
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617458127189052695,2026-03-15,En tur i Gribskov med Danmarks Naturfredningsforening. Jeg og @Moderaterne går til valg på mere natur og biodiversitet i Danmark. #dkpol #natur #miljø #gribskov #fv26,463,17,2,1,0,https://www.tiktok.com/@andreasraben/video/7617458127189052695
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617185525455244566,2026-03-14,Glæder mig til i morgen! #dkpol #nordsjælland #miljø #landbrug,951,11,1,0,0,https://www.tiktok.com/@andreasraben/video/7617185525455244566
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617098416522317078,2026-03-14,Lad os stoppe eksporten af levende grise.. for miljøet og dyrevelfærdens skyld  #dkpol #landbrug #dyrevelfærd #nordsjælland,4468,96,18,5,14,https://www.tiktok.com/@andreasraben/video/7617098416522317078
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617032743108562198,2026-03-14,Fed dag på U/Nord EUD forleden #dkpol,2502,37,1,0,1,https://www.tiktok.com/@andreasraben/video/7617032743108562198
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7617007210509454614,2026-03-14,Hot takes i dag #dkpol #hillerød #ungdomsboliger #SU #nordsjælland,12900,280,8,10,8,https://www.tiktok.com/@andreasraben/video/7617007210509454614
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616823398915788054,2026-03-13,Kvinders sundhed skal fremmes #dkpol #kvinderssundhed #sundhed #nordsjælland ,908,25,3,0,1,https://www.tiktok.com/@andreasraben/video/7616823398915788054
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616816877376900374,2026-03-13,"Jeg drømmer om et boligmarked, hvor os unge kan være med  #dkpol #nordsjælland #bolig #dkpol ",1221,23,1,1,0,https://www.tiktok.com/@andreasraben/video/7616816877376900374
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616744495656291606,2026-03-13,Kystbanen sejler  #Nordsjælland #kystbanen #transport #dkpol #fv26,5842,111,2,6,1,https://www.tiktok.com/@andreasraben/video/7616744495656291606
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616469944208755990,2026-03-12,"Nej tak, LA #dkpol #nordsjælland",6250,232,2,22,9,https://www.tiktok.com/@andreasraben/video/7616469944208755990
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616358420693781762,2026-03-12,DF blev sure i dag #dkpol #Europe #ukraine #nordsjælland,5012,135,2,4,5,https://www.tiktok.com/@andreasraben/video/7616358420693781762
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616083036337212694,2026-03-11,Magaschmidt strikes again ,1940,37,4,22,4,https://www.tiktok.com/@andreasraben/video/7616083036337212694
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616049890723925270,2026-03-11,Damn #dkpol #nordsjælland #ukraine #populism,1002,20,1,1,1,https://www.tiktok.com/@andreasraben/video/7616049890723925270
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7616009135192034582,2026-03-11,Det er at skyde sig selv i foden at skære i udviklingsbistanden. Utroligt kortsigtet af Venstre! #dkpol #nordsjælland #humanitarian #china #politics,1281,33,0,1,1,https://www.tiktok.com/@andreasraben/video/7616009135192034582
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615979582008741142,2026-03-11,Fed debat på NGG. Nej tak til lilleskolen - Frihedsskolen er vejen frem. #dkpol #dkmedier #skole #gymnasium #trivsel,5734,82,3,4,6,https://www.tiktok.com/@andreasraben/video/7615979582008741142
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615898161516678422,2026-03-11,Retsstaten skal vi ikke spøge med. #DKpol #socialdemokratiet #rettigheder #nordsjælland,1336,50,2,1,3,https://www.tiktok.com/@andreasraben/video/7615898161516678422
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615897624360553750,2026-03-11,"Morgen på Birkerød st. Next stop, Nordsjællands grundskole og gymnasium! #dkpol #nordsjælland #birkerød ",1228,54,1,0,1,https://www.tiktok.com/@andreasraben/video/7615897624360553750
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615704818186980631,2026-03-10,Make Kystbanen great again  #dkpol #nordsjælland #tog #klima #kystbanen,1309,42,2,0,2,https://www.tiktok.com/@andreasraben/video/7615704818186980631
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615588101167140118,2026-03-10,Biodiversitetslov - ja tak! #dkpol #nordsjælland #biodiversitet #natur ,822,15,1,0,0,https://www.tiktok.com/@andreasraben/video/7615588101167140118
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615312446827367702,2026-03-09,Ups! #dkpol #klima #politik #avokado ,1759,98,0,1,4,https://www.tiktok.com/@andreasraben/video/7615312446827367702
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7615234268347993367,2026-03-09,Balder er ik fan af DF #dkpol #nordsjælland #fv26 #hund #politik,726,36,1,0,0,https://www.tiktok.com/@andreasraben/video/7615234268347993367
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7614965835815275798,2026-03-08,Folkeskolen skal frisættes. For alt for mange mistrives i dag. #dkpol #nordsjælland #skolevægring #fv26 #skole ,1536,83,1,2,6,https://www.tiktok.com/@andreasraben/video/7614965835815275798
20260330_193550_a14bfb,andreasraben,Andreas Raben,Moderaterne,Nordsjællands Storkreds,kandidat,7614539439968259351,2026-03-07,Velfærds forudsætning er vækst #dkpol #nordsjælland #dkmedier #fv26 #aktier,2465,62,2,8,3,https://www.tiktok.com/@andreasraben/video/7614539439968259351
