run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7611223363385560342,2026-02-26,"Valget er udskrevet! ❤️💚 Det er tid til at få en ny regering, derfor får du her mine tre mærkesager til Folketingsvalget 💪🏽 #folketingsvalg #kandidat #nordsjælland #ung #dkpolitik ",2555,245,33,20,9,https://www.tiktok.com/@caarolinacamaraa/video/7611223363385560342
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620876160422907158,2026-03-24,GOD VALGDAG❤️‍🔥 Husk at du kan nå at stemme helt til kl. 20! #valg #fyp #trend #dkpol #enhedslisten ,598,114,2,2,2,https://www.tiktok.com/@caarolinacamaraa/video/7620876160422907158
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620838517958282498,2026-03-24,Stem Enhedslisten ❤️❤️❤️ #klima #statsborgerskab #folketingsvalg #fyp #trend ,1163,135,6,1,6,https://www.tiktok.com/@caarolinacamaraa/video/7620838517958282498
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620672004298984726,2026-03-24,"I dag skal du stemme! ❤️ Jeg mener, at vi har råd til mere velfærd, og at det er tid til at tage klimaet seriøst. Hvis du er enig, så kan du sætte dit kryds ved mig, Carolina Cámara 💚 #dkpol #fyp #folketingsvalg #trend #nordsjælland ",789,88,1,2,4,https://www.tiktok.com/@caarolinacamaraa/video/7620672004298984726
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7620217561468177686,2026-03-22,Danmark har brug for en rigtig rød regering ❤️❤️❤️ #dkpol #fyp #folketingsvalg #trend #debat ,77300,3759,76,41,87,https://www.tiktok.com/@caarolinacamaraa/video/7620217561468177686
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619792174854540566,2026-03-21,Det er vidst tid til at Mette og resten af regeringen prioriterer klimahandling over en aldersgrænse på tiktok 🥴🌿💚 #dkpol #fyp #folketingsvalg #trend #klima ,904,65,2,4,2,https://www.tiktok.com/@caarolinacamaraa/video/7619792174854540566
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619669635872443670,2026-03-21,"Jeg stiller op til Folketinget, fordi jeg synes, der mangler ægte unge stemmer, der kæmper for en bedre fremtid 💚 Jeg kommer fra Ølstykke og kender til de udfordringer, vi unge står over for i dag – fra dårlig offentlig transport til uoverkommelige b",1294,92,5,3,4,https://www.tiktok.com/@caarolinacamaraa/video/7619669635872443670
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7619389754416680214,2026-03-20,Vælg håb. Vælg Enhedslisten ❤️ Meld dig ind i Rød-Grøn Ungdom på rgungdom.dk 🫰🏼 #dkpol #folketingsvalg #rgu #klima #fyp ,3470,401,25,8,21,https://www.tiktok.com/@caarolinacamaraa/video/7619389754416680214
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618848134826904854,2026-03-19,Sådan her ser ens kamerarulle ud efter en valgkamp ❤️‍🔥 Fyldt med gode minder og nye venner! Kom og vær med i Nordsjælland ved at sende mig en dm eller find ud af hvad vi laver på @Rød-Grøn Ungdom 💚 #trend #fyp #rgu #folketingsvalg #dkpol ,500,48,4,0,1,https://www.tiktok.com/@caarolinacamaraa/video/7618848134826904854
20260330_193550_a14bfb,caarolinacamaraa,Carolina Cámara,Enhedslisten - De Rød-Grønne,Nordsjællands Storkreds,kandidat,7618553412824632598,2026-03-18,Jeg stiller op til folketingsvalget fordi jeg vælger håb - jeg vælger Enhedslisten ❤️‍🔥 #folketingsvalg #fyp #trend #dkpolitik #klima ,985,81,9,0,1,https://www.tiktok.com/@caarolinacamaraa/video/7618553412824632598
