run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7619756683136371990,2026-03-21,"Tak 💚 En anbefaling fra Margrethe Vestager er noget, man næsten kun kan drømme om. Jeg vil arbejde hårdt for at leve op til de flotte ord og - vigtigst af alt - nordjydernes tillid 🌱 #vestager #eu #FV26",1098,51,1,0,2,https://www.tiktok.com/@carstenbedsted/video/7619756683136371990
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7615553495122365718,2026-03-10,"For Inger betyder ‘fornuft’, at den grønne omstilling skal stoppes. Hellere svinefarme og sprøjtegift end grøn energi og rent drikkevand 🛢️☠️ Men det er ikke smart at være afhængig af fossile brændsler. Det er heller ikke smart at ødelægge klima, nat",45700,1263,56,31,47,https://www.tiktok.com/@carstenbedsted/video/7615553495122365718
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617909264199224598,2026-03-16,Mobning af minoriteter er IKKE en dansk værdi. Tværtimod 🤦‍♀️ 🍷 Nogle mennesker drikker ikke alkolhol pga. deres religiøse overbevisning 💰 Andre optager ikke lån med renter ⛪️ Atter andre går i kirke om søndagen Sådan skal det være. For Danmark er et,64700,6330,44,450,300,https://www.tiktok.com/@carstenbedsted/video/7617909264199224598
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7620566317812157718,2026-03-23,7 “hurtige” spørgsmål med mig🙋🏼🙋🏼,17000,377,1,2,21,https://www.tiktok.com/@carstenbedsted/video/7620566317812157718
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7620543611301809411,2026-03-23,Pas på med øjenkontakten - når politikere deler ud 👀 #FV26 #Radikale #valgkamp,698,25,0,3,0,https://www.tiktok.com/@carstenbedsted/video/7620543611301809411
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7620203348255362326,2026-03-22,"Det brænder jeg for i Nordjylland 💚 👩‍🏭 Erhverv og iværksætteri  🌳 Børn og unge 🌱 En grøn omstilling, der rykker Kender du nogen, som kunne overveje at sætte deres kryds ved mig den 24. marts? Så send videoen her videre til dem - så vil jeg være godt",1220,35,1,0,3,https://www.tiktok.com/@carstenbedsted/video/7620203348255362326
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7619756681408384278,2026-03-21,"14 elever i klassen. Tillidsskole. 'Den Kloge Skole.'  Bla bla bla. Når alt kommer til alt, bliver det et spørgsmål om to ting, hvis folkeskolen skal lykkes 👇 Tilstrækkelige ressourcer og frihed. Socialdemokratiet vil fixe det hele med ét værktøj - e",1399,25,0,1,1,https://www.tiktok.com/@carstenbedsted/video/7619756681408384278
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618924391501548822,2026-03-19,"Ambitioner for børnene – og for Danmark 💚 Det er lærerne, der har redskaberne – de skal blot sættes fri til at passe deres arbejde og have ordentlige forhold. Hør blot hvordan Marianne Jelved for efterhånden mange år siden lykkedes med læreropgaven –",2686,106,2,3,5,https://www.tiktok.com/@carstenbedsted/video/7618924391501548822
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618904167007964438,2026-03-19,Motorvej over Egholm? Nej tak herfra 🛑 Fremkommeligheden til og fra Vendsyssel er vigtig. Det skal vi have løst. Men vi er nødt til at finde en anden løsning end at køre en motorvej henover generationer af aalborgensere og andre gode nordjyders bynær,2843,84,3,5,5,https://www.tiktok.com/@carstenbedsted/video/7618904167007964438
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7618540062833200406,2026-03-18,"Starstruck 🤩 @vestager bakker Nordjylland og mig op 💚🙏 Og altså… jeg kan ikke lade være med at rødme, når et kæmpe politisk forbillede både sætter tid af til en god snak - og ligefrem anbefaler mig. Margrethe mener, som i al beskedenhed mig, at der e",1007,30,1,1,2,https://www.tiktok.com/@carstenbedsted/video/7618540062833200406
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617791989135822102,2026-03-16,NORDJYLLAND 💚 Her er jeg uddannet. Her har jeg mødt min dejlige kone. Her er mit arbejdsliv startet. Vi skal have 🌱 grøn omstilling 🚰 rent drikkevand 📚 ⛏️ bedre uddannelse Vi skal i gang nu – og derfor beder jeg om DIN stemme til folketingsvalget. Vi,1537,57,3,4,4,https://www.tiktok.com/@carstenbedsted/video/7617791989135822102
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7617071319519202582,2026-03-14,"Bezin- og dieselpriser stiger og stiger 📈 Fordi Putin i Ukraine - og nu Trump i Iran. Vi kan ikke være afhængige af diktatorer og ustabile allierede, som får vores forbrugerpriser til at stige med raketfart. Derfor skal vi have sikker og grøn energi ",1491,46,2,2,5,https://www.tiktok.com/@carstenbedsted/video/7617071319519202582
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7616307477050658070,2026-03-12,"Vil DF og Messerschmidt udskifte grundloven? Væk med 👇 👩‍⚖️ Retssikkerhed 🧕 Religionsfrihed 👨‍🏫 Det frie skolevalg Jeg synes, vi skal værne om Danmark 🇩🇰 Mit Danmark er et land, hvor man kan tænke, tro og leve, som man vil 💚 Det er også et land, hvor",17200,842,20,70,73,https://www.tiktok.com/@carstenbedsted/video/7616307477050658070
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7615308176279293206,2026-03-09,Day in a life of a PA ⭐️⭐️⭐️ #fyp #workhard #familia #live ,1213,30,2,2,1,https://www.tiktok.com/@carstenbedsted/video/7615308176279293206
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7614919418488818966,2026-03-08,GLÆDELIG KVINDERNES INTERNATIONALE KAMPDAG🩷💪🏼 #womensinternationalday #kvinderneskampdag #kvinder ,2185,121,0,4,6,https://www.tiktok.com/@carstenbedsted/video/7614919418488818966
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7613758173190589718,2026-03-05,"For @Dansk Folkeparti betyder ytringsfrihed, religionsfrihed og Grundloven ikke en disse, når bare man kan chikanere vores muslimske medborgere 🤷‍♀️ Vi skal en anden vej. Mod frisind, storsind og lovsind 🌱 Mod et grønnere Danmark, der vil løsninger i",6766,371,26,27,15,https://www.tiktok.com/@carstenbedsted/video/7613758173190589718
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7613161185470385430,2026-03-03,"Nordjysk drikkevand uden gylle og sprøjtegift er da en selvfølge 🚰 Eller: det er det desværre ikke mere 🤷🏼‍♀️ Vi kommer ikke udenom at forbyde sprøjtegift og skære kraftigt ned på gyllen i de områder, hvor vores drikkevand dannes 🐖 🌱 Der er vel ikke ",2432,53,2,1,2,https://www.tiktok.com/@carstenbedsted/video/7613161185470385430
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7612753128064142614,2026-03-02,A Day in the Life 💚,1059,34,3,4,4,https://www.tiktok.com/@carstenbedsted/video/7612753128064142614
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7611240617057717526,2026-02-26,SÅ ER DER FOLKETINGSVALG✅ #politik #RadikaleVenstre #Folketingsvalg #fyp #Nordjylland ,1859,52,9,5,6,https://www.tiktok.com/@carstenbedsted/video/7611240617057717526
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7610791318947695894,2026-02-25,"Bum, bum boligskat
 
 Så så man lige Løkke, der i sin Grønlandsrus også pludselig skulle mene noget om boligskatten. Mens han var på rejse i Afrika 🤠
 
 Dårligt håndværk! For boligskat er alt for alvorligt til kortsigtet sjusk og populisme. Det berør",2468,64,0,7,4,https://www.tiktok.com/@carstenbedsted/video/7610791318947695894
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7610489190232591639,2026-02-24,"Fremtidens folkeskole 14 elever i de små klasser? To-lærerordning? Gratis skolemad?   Ideerne er mange, når det kommer til fremtidens folkeskole. I Radikale Venstre ønsker vi et massivt børneløft på 15 mia. kr. om året. Pengene skal bl.a. gå til bedr",1133,17,0,0,1,https://www.tiktok.com/@carstenbedsted/video/7610489190232591639
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7609702770525949206,2026-02-22,"Vi skal have flere vindmøller og jernmarker!
  
 Det skal vi for at blive fri af Putins gas. Og det skal vi for at blive fri af fossile brændstoffer, og erstatte det med bæredygtige og grønne alternativer.
 
 Det handler både om klimapolitik og om si",1301,32,10,2,5,https://www.tiktok.com/@carstenbedsted/video/7609702770525949206
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7608928688809331990,2026-02-20,"Vi skal ikke dele fødevarechecks ud!
  
 Den er et godt eksempel på sjusk og kortsigtet populisme. I stedet bør dem, der virkelig har brug for hjælp til indkøbene – og det er LANGT færre end 2 mill. danskere – have en ordentlig og varig hjælp.
 
 Ikk",7078,113,18,5,9,https://www.tiktok.com/@carstenbedsted/video/7608928688809331990
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7608206999414738198,2026-02-18,Vi skal ikke skære i ulandsbistanden! @Radikale Venstre ,2132,28,9,0,2,https://www.tiktok.com/@carstenbedsted/video/7608206999414738198
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7606744261589060886,2026-02-14,FOLKETINGSVALG 2026✅ #Folketingsvalg #politik #RadikaleVenstre #Valg2026 #Nordjylland ,1184,26,3,3,3,https://www.tiktok.com/@carstenbedsted/video/7606744261589060886
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7605619528323632406,2026-02-11,"Valgtrommerne stiger i styrke - Vi er klar - Med politik på mange områder, bl.a. om IVÆRKSÆTTERI i Nordjylland💪 #iværksætter #nordjylland #politik #Folketingsvalg #Radikalevenstre ",1067,24,0,1,3,https://www.tiktok.com/@carstenbedsted/video/7605619528323632406
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7604594990181813526,2026-02-08,Det er snart valgkamp - og vi er klar ✅. Sammen med @Jacob Robsøe (RV) ,557,36,0,2,2,https://www.tiktok.com/@carstenbedsted/video/7604594990181813526
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7603440526691486998,2026-02-05,Uddannelse er det vigtigste indsatsområde i Danmark. Det er næste generation! #RadikaleVenstre #Politik #Nordjylland #folkeskole #Uddannelse ,2709,115,6,6,5,https://www.tiktok.com/@carstenbedsted/video/7603440526691486998
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7583294611783830806,2025-12-13,"Selvom JERNMARKER just er kåret til Årets Ord, så er vindmøller og solcelleanlæg altså langt vigtigere end et negativt populistisk øgenavn 😌 --- Landdistrikterne er ikke blot bagland for byerne – de spiller derimod en central rolle i Danmarks grønne ",1032,17,1,0,2,https://www.tiktok.com/@carstenbedsted/video/7583294611783830806
20260330_193550_a14bfb,carstenbedsted,Carsten Bedsted,Radikale Venstre,Nordjyllands Storkreds,kandidat,7583002622227975446,2025-12-12,Beautiful and Facinating India 🇮🇳,1009,7,0,0,0,https://www.tiktok.com/@carstenbedsted/video/7583002622227975446
