run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7595647215322860822,2026-01-15,"For et år siden startede vi også året med at tale om Grønland.  Jeg delte dengang en reel om Arktis, fordi én ting allerede var tydelig: Vil man forstå Grønland, er man nødt til at forstå det større billede. Meget er sket siden. Situationen er alvorl",7214,106,5,6,15,https://www.tiktok.com/@emilie.schytte.bp/video/7595647215322860822
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7571055117948996886,2025-11-10,"📢 DØMT POLITIKER FÅR FØRTIDSPENSION – BETALT AF DIG OG MIG Ja, du læste rigtigt. Folketinget har med Søren Gade (V) og Leif Lahn Jensen (S) i spidsen – besluttet, at Henrik Sass Larsen, tidligere socialdemokratisk minister, skal have førtids-folketin",83600,2098,219,465,224,https://www.tiktok.com/@emilie.schytte.bp/video/7571055117948996886
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7621143515157810454,2026-03-25,"Sort ⚫️ Jeg elsker at male i min fritid – og alle, der arbejder med farver, ved at sort er ikke bare en farve. Det er en kontrast der tydeligt skiller sig ud.  Det er præcis sådan, jeg ser Borgernes Parti. Vi er kontrasten til det, dansk politik er b",5436,238,16,6,24,https://www.tiktok.com/@emilie.schytte.bp/video/7621143515157810454
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7620439335187352854,2026-03-23,"Hvad er forskellen på Borgernes Parti og alle de andre partier? 👉 Vi er de eneste, der reelt kæmper for mere magt til borgerne – og mindre magt til politikerne og systemet. Her er min personlige top 10: ① Færre ministerier 🏛️ Danmark har 25 ministeri",3724,298,25,30,16,https://www.tiktok.com/@emilie.schytte.bp/video/7620439335187352854
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7620119334806899990,2026-03-22,"Hvad er forskellen på Borgernes Parti og alle de andre partier? 👉 Vi er de eneste, der reelt kæmper for mere magt til borgerne – og mindre magt til politikerne og systemet. Her er min personlige top 10: ① Færre ministerier 🏛️ Danmark har 25 ministeri",3318,230,7,14,18,https://www.tiktok.com/@emilie.schytte.bp/video/7620119334806899990
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7618253838658637078,2026-03-17,"Vi er ikke bare et parti. Vi er et opgør.🔥 Et opgør med den måde dansk politik er blevet drevet på i årtier.  Hvor magten langsomt er flyttet væk fra borgerne og ind på Christiansborg. Hvor regler, kontrol og overvågning vokser – men friheden og till",1131,114,5,3,4,https://www.tiktok.com/@emilie.schytte.bp/video/7618253838658637078
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7617871736087858454,2026-03-16,"Magten tilbage til borgerne – en billigere og bedre hverdag Penge er magt. I dag ligger alt for meget af den magt hos staten, systemet og karrierepolitikerne – i stedet for hos de mennesker, der tjener pengene og får Danmark til at fungere hver dag. ",2082,146,11,4,9,https://www.tiktok.com/@emilie.schytte.bp/video/7617871736087858454
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7617237066023193859,2026-03-14,"Magten tilbage til borgerne - Hvad betyder det konkret? Det er hele DNA’et i Borgernes Parti, fordi det er fundamentet for alle andre politiske beslutninger, uanset om det er klima, udlændinge, energi eller dyrevelfærd. Så uanset om du stemmer rødt, ",1795,114,13,8,8,https://www.tiktok.com/@emilie.schytte.bp/video/7617237066023193859
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7615582866302438678,2026-03-10,"HEMMELIGE ERHVERVSKLUBBER – NU OGSÅ HOS SF I årevis har SF kritiseret de hemmelige erhvervsklubber i dansk politik. Med god grund. Men nu viser det sig, at SF selv har oprettet en! I december lancerede partiet deres egen “Rød/Grønne erhvervsklub”, fo",1160,105,5,7,8,https://www.tiktok.com/@emilie.schytte.bp/video/7615582866302438678
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7615304004041461014,2026-03-09,"Demokratiets vigtigste spørgsmål blev ikke stillet I går aftes var der “Topmøde” på TV. (Vi må jo ikke kalde det en statsministerduel – for de andre statsministerkandidater var censureret væk.) Men det jeg bed mest mærke i, var ikke det der blev sagt",1421,91,3,8,4,https://www.tiktok.com/@emilie.schytte.bp/video/7615304004041461014
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7613696632286154007,2026-03-05,"“En imponerende bedrift.” -citat fra Lars Trier Mogensen om Borgernes Parti 🌟 Flere og flere begynder at få øjnene op for os. Det sker på trods af, at DR har censureret valget ved ikke at invitere alle 3 statsministerkandidater med i Valgmøde program",4042,121,6,4,5,https://www.tiktok.com/@emilie.schytte.bp/video/7613696632286154007
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7611603111416810774,2026-02-27,"Fyraften? Ja. Fri? Ikke helt 😉 Jeg har lige fået fri fra arbejde – og nu går turen videre ud med valgplakater til de mange frivillige, der ligesom mig kæmper for at få magten tilbage til borgerne 💪 Ærligt? Jeg var mentalt forberedt på, at jeg måske s",877,88,13,3,3,https://www.tiktok.com/@emilie.schytte.bp/video/7611603111416810774
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7604512268398710038,2026-02-08,"4.600 mennesker! Dvs. at vi vokser med 100 nye mennesker, hver uge! Et konkret bevis på, at Borgernes Parti er en folkebevægelse. Uden partistøtte. Uden hemmelige erhvervsklubber. Det betyder også, at hver eneste lille indsats tæller: • 20 kr. = en v",1027,88,13,2,5,https://www.tiktok.com/@emilie.schytte.bp/video/7604512268398710038
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7604415379921800470,2026-02-08,"Det her er præcis den slags historier, der får almindelige danskere til at miste tilliden til systemet. Mens helt normale familier kæmper med elregninger, renter og dagligvarer, så bliver en fyret topchef forgyldt. Hos Ørsted: 📉 Aktiekursen kollapser",2541,175,42,20,7,https://www.tiktok.com/@emilie.schytte.bp/video/7604415379921800470
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7604276992233540886,2026-02-08,"VI SKAL HAVE STOPPET DET HER. Helt ærligt.. Hvis politikere har rent mel i posen – hvorfor må vi så ikke vide, hvem der betaler dem? Lars Løkke Rasmussen og Moderaterne er politianmeldt for kreative indsamlingsmodeller. Men det her er ikke et enkelt ",1084,89,13,7,6,https://www.tiktok.com/@emilie.schytte.bp/video/7604276992233540886
20260330_193550_a14bfb,emilie.schytte.bp,Emilie Schytte,Borgernes Parti - Lars Boje Mathiesen,Nordsjællands Storkreds,kandidat,7603393652013960470,2026-02-05,"Hvorfor skal du kunne blive dømt af systemet… uden at kunne få systemet dømt? I dag behandler Folketinget B 43 – et forslag om at undersøge uafhængige forvaltningsdomstole. Altså domstole, hvor borgere kan klage over myndigheder – og faktisk blive hø",793,73,15,4,6,https://www.tiktok.com/@emilie.schytte.bp/video/7603393652013960470
