run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7597058145751436566,2026-01-19,9. november 2016 - dagen hvor min politiske rejse startede #Jylland #politik #unge #liberal #eu ,6515,203,7,6,11,https://www.tiktok.com/@frederikhoumannth/video/7597058145751436566
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620849608687717654,2026-03-24,"Det er virkelig vigtigt at huske at bruge sin stemme, i dag er der folketingsvalg, og jeg håber at du har lyst til at stemme personligt på mig ☀️.  ##midtjylland##vestjylland##viborg##herning##skive",9651,269,13,18,7,https://www.tiktok.com/@frederikhoumannth/video/7620849608687717654
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620794311776537878,2026-03-24,"Mange af jer har spurgt, om man må få en valgplakat. Efter i aften kl. 20, må I gerne tage en. ⭐️ #unge #midtjylland #politik #dkpol #vestjylland ",77600,2227,55,526,218,https://www.tiktok.com/@frederikhoumannth/video/7620794311776537878
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620691120875638018,2026-03-24,"Stem personligt til folketingsvalget! ⭐️ Jeg vil arbejde for en bedre folkeskole, med mere plads til den enkelte. Jeg vil arbejde for bedre transportmuligheder og for bedre vilkår i landdistrikterne ☀️. #unge #midtjylland #transport #politik #dkpol ",2990,77,5,6,0,https://www.tiktok.com/@frederikhoumannth/video/7620691120875638018
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620487845752474903,2026-03-23,"Vi unge i midt- og vestjylland fortjener at der bliver investeret mere i vores muligheder. Derfor håber jeg at du vil stemme personligt på mig i morgen, så jeg kan kæmpe vores kamp! 💙 #unge #midtjylland #transport #toge #politik ",2592,79,5,1,2,https://www.tiktok.com/@frederikhoumannth/video/7620487845752474903
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620391165191376150,2026-03-23,"Jeg slår de dårlige idéer ud af valgkampen, se med! 🏌️‍♂️ #unge #sport #politik #dkpol #midtjylland ",3356,76,3,7,0,https://www.tiktok.com/@frederikhoumannth/video/7620391165191376150
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620325719310224662,2026-03-23,"Vi skal sikre animationsskolen på finansloven, det er vigtigt for vores lokalområde ⭐️. #unge #politik #dkpol #midtjylland #vestjylland",3077,95,3,11,4,https://www.tiktok.com/@frederikhoumannth/video/7620325719310224662
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7620081525333200150,2026-03-22,"For ti år siden drømte jeg om at repræsentere VFF i superligaen, i dag drømmer jeg om at repræsentere Viborg Kommune i folketinget ☘️ #unge #politik #transport #dkpol #vff ",8400,335,4,16,8,https://www.tiktok.com/@frederikhoumannth/video/7620081525333200150
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7619473601879723286,2026-03-20,"Stem ungt, så vi får flere, der kæmper for vores muligheder og for et bedre ungeliv! ⭐️ ##unge##midtjylland##politik##dkpol##transport",5346,243,5,6,3,https://www.tiktok.com/@frederikhoumannth/video/7619473601879723286
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7619338515871960342,2026-03-20,Mød mig de næste dage af valgkampen! ⭐️ #unge #viborg #politik #midtjylland #dkpol ,4761,133,6,68,4,https://www.tiktok.com/@frederikhoumannth/video/7619338515871960342
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7619036227223817494,2026-03-19,Det er hårde tider når man løber tør for materiale at dele ud 😅. #unge #politik #dkpol #midtjylland #debat ,65100,2734,20,323,118,https://www.tiktok.com/@frederikhoumannth/video/7619036227223817494
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7618971610099322134,2026-03-19,Tusind tak for anbefalingen Anders! ⭐️ #unge #politik #dkpol #landbrug #midtjylland ,4586,175,2,8,4,https://www.tiktok.com/@frederikhoumannth/video/7618971610099322134
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7618591348517555478,2026-03-18,Husk at du kan brevstemme til og med på fredag ☘️💙  ##vestjylland##midtjylland##politik##unge##transport,2740,99,4,4,1,https://www.tiktok.com/@frederikhoumannth/video/7618591348517555478
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7618304079382498582,2026-03-17,"Priserne på benzin og diesel er stukket fuldstændig af. For at vores økonomi skal hænge sammen, mener jeg, at vi skal sænke afgiften på benzin og diesel resten af året 🚗 ##politik##vestjylland##midtjylland##transport##bil",3792,158,10,13,3,https://www.tiktok.com/@frederikhoumannth/video/7618304079382498582
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7617916297959001366,2026-03-16,"Vi skal ikke afvikle dansk erhvervsliv, men i stedet udvikle det, så vi bliver rigere som samfund 💙☘️ ##vestjylland##politik##midtjylland##dkpol##unge",2789,85,3,4,1,https://www.tiktok.com/@frederikhoumannth/video/7617916297959001366
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7617504184329342230,2026-03-15,"Jeg vil være en stærk lokal stemme, og sætte fokus på frihed og frisættelse i vores velfærdssamfund ☘️ #Viborg #unge #politik #dkpol #jylland ",8224,257,8,11,7,https://www.tiktok.com/@frederikhoumannth/video/7617504184329342230
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7617166747430604035,2026-03-14,Har du et spørgsmål eller en mærkesag du gerne vil høre min holdning til? Skriv det i en kommentar - så lover jeg at svare på det! ⭐️ ##unge##jylland##midtjylland##politik##dkpol,2586,116,11,2,4,https://www.tiktok.com/@frederikhoumannth/video/7617166747430604035
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7617075550158376214,2026-03-14,Hvorfor er det vigtigt at stemme ungt? Hør mine tanker om det her ⭐️ #unge #jylland #politik #dkpol #midtjylland ,5823,161,2,12,5,https://www.tiktok.com/@frederikhoumannth/video/7617075550158376214
20260330_193550_a14bfb,frederikhoumannth,Frederik Houmann Thuesen,Venstre,Vestjyllands Storkreds,kandidat,7616814371695643926,2026-03-13,Vi skal have bedre og sikrere byturer med mindre kriminalitet og bedre transportmuligheder ☘️ #unge #transport #vestjylland #politik #dkpol,7635,291,4,9,4,https://www.tiktok.com/@frederikhoumannth/video/7616814371695643926
