run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7620730442878094614,2026-03-24,Stem personligt i dag. #SætHakVedKlakk ,2444,71,4,1,2,https://www.tiktok.com/@frederikklakk/video/7620730442878094614
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7620470573994429718,2026-03-23,Stem personligt! #SætHakVedKlakk ,2726,69,3,8,3,https://www.tiktok.com/@frederikklakk/video/7620470573994429718
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7619439350715206934,2026-03-20,"Til debat i Vejle, hos 3F, blev jeg spurgt om ikke jeg synes de bredeste skuldre bør bære de tungeste læs.. 🤷🏻‍♂️ #SætHakVedKlakk #67 ",2842,54,2,9,3,https://www.tiktok.com/@frederikklakk/video/7619439350715206934
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7619286467151482134,2026-03-20,Slutspurten er i gang 🚀 #SætHakVedKlakk ,709,17,0,0,0,https://www.tiktok.com/@frederikklakk/video/7619286467151482134
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7618270639211728150,2026-03-17,#MereMojn #SætHakVedKlakk ,2168,74,1,9,2,https://www.tiktok.com/@frederikklakk/video/7618270639211728150
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7618159530756623638,2026-03-17,Der er snart valg. #SætHakVedKlakk ,743,9,0,0,0,https://www.tiktok.com/@frederikklakk/video/7618159530756623638
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7617167997802745110,2026-03-14,Kom med til valgmøde hos Johan købmand i Øsby #fv26 #haderslev #ft26 #SætHakVedKlakk ,937,20,0,1,1,https://www.tiktok.com/@frederikklakk/video/7617167997802745110
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7616076102905220374,2026-03-11,Kom ind i kampen venner 🤝#alsfynbroen #fv26 #SætHakVedKlakk ,3696,79,3,6,2,https://www.tiktok.com/@frederikklakk/video/7616076102905220374
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7615950634667265302,2026-03-11,A thing of beauty 💅 #SætHakVedKlakk ,748,15,0,5,0,https://www.tiktok.com/@frederikklakk/video/7615950634667265302
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7615624148638878998,2026-03-10,14 dage til valg. Vi maler #Sønderjylland blåt - #SætHakVedKlakk #dkpol #sønderborg #tønder #aabenraa #haderslev,1159,7,1,0,0,https://www.tiktok.com/@frederikklakk/video/7615624148638878998
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7614888816742042902,2026-03-08,Haderslev -min føde- og barneby skal naturligvis også pyntes op med en masse #valgpropaganda og #SætHakVedKlakk #FT26 #FV26 #DKPOL #Sønderjylland #Haderslev,920,26,9,1,0,https://www.tiktok.com/@frederikklakk/video/7614888816742042902
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7614511056458747158,2026-03-07,Stop skraldetyranniet! #SætHakVedKlakk #FT26 #FV26 #DKPOL #Sønderjylland @claus.d.johansen @liberalalliance_,2003,44,0,1,0,https://www.tiktok.com/@frederikklakk/video/7614511056458747158
20260330_193550_a14bfb,frederikklakk,Frederik Klakk,Liberal Alliance,Sydjyllands Storkreds,kandidat,7614109742121815318,2026-03-06,Socialdemokraterne bluffer med formueskat. Så dumme er de trods alt ikke. Holder min analyse? Skal vi ikke hellere snakke løsninger? #dkpol #fv26 #ft26 #SætHakVedKlakk #sønderjylland ,1194,22,5,1,0,https://www.tiktok.com/@frederikklakk/video/7614109742121815318
