run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7616384447717461270,2026-03-12,Rigtig skørt faktisk😔 #dkpol #politik #valg #df #fyp @Radikal Ungdom @Radikale @Dansk Folkeparti @Morten Messerschmidt ,43600,1274,4,32,36,https://www.tiktok.com/@hediyedptemiz/video/7616384447717461270
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7600668073883897110,2026-01-29,"Det er faktisk en rigtig fætter, og ikke bare en eller anden fætter jeg snakker om😅😭 #skolevalg #dkpol #statsborgerskab #fyp ",103300,4222,127,549,389,https://www.tiktok.com/@hediyedptemiz/video/7600668073883897110
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7620518750810393878,2026-03-23,Stem Hediye i Folketinget! #dkpol #politik #valg #dansk #fyp @Radikale @Radikal Ungdom ,7537,243,7,11,9,https://www.tiktok.com/@hediyedptemiz/video/7620518750810393878
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7620086149725326614,2026-03-22,Kære @Morten Messerschmidt jeg rejser ingen steder!✈️❌#dkpol #politik #df #dansk #fyp @Radikale @Radikal Ungdom @Dansk Folkeparti ,18300,786,28,64,46,https://www.tiktok.com/@hediyedptemiz/video/7620086149725326614
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619781403491945731,2026-03-21,Flere mødre i politik!🤰#dkpol #politik #mor #kvinder #fyp @Radikale @Radikal Ungdom @ANNE SOPHIE CALLESEN - RV @Sigrid Friis ,13000,331,7,18,18,https://www.tiktok.com/@hediyedptemiz/video/7619781403491945731
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619407037960817942,2026-03-20,Ren aura🕶️ #dkpol #politik #df #tv #fyp @Radikale @Radikal Ungdom ,4019,98,3,17,8,https://www.tiktok.com/@hediyedptemiz/video/7619407037960817942
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7619032330086141206,2026-03-19,"Jo flere, jo bedre!😉 #dkpol #politik #dansk #pas #fyp @Radikale @Radikal Ungdom @Zenia Stampe ",43100,2110,39,151,113,https://www.tiktok.com/@hediyedptemiz/video/7619032330086141206
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618855348677381398,2026-03-19,Bro få lige toget til af køre til tiden!😔#dkpol #politik #transport #dsb #fyp @Radikale @Radikal Ungdom @Martin Lidegaard @DSB ,33300,1074,12,73,31,https://www.tiktok.com/@hediyedptemiz/video/7618855348677381398
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618668112371567894,2026-03-18,Stort tillykke - vi har brug for jer!🙌🏼 #dkpol #politik #børn #uddannelse #fyp @Radikale @Radikal Ungdom @Soma Mayel ,5226,129,3,27,10,https://www.tiktok.com/@hediyedptemiz/video/7618668112371567894
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618301549386796310,2026-03-17,Min kære lille søn…❤️#dkpol #politik #børn #ung #fyp ,2819,108,4,14,7,https://www.tiktok.com/@hediyedptemiz/video/7618301549386796310
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7618221185746160918,2026-03-17,“Hvem??”🥲🥲 #dkpol #politik #matador #dansk #fyp @Radikal Ungdom @Radikale @Zenia Stampe ,3004,80,4,15,8,https://www.tiktok.com/@hediyedptemiz/video/7618221185746160918
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7617921110927101206,2026-03-16,Jul er hyggeligt og det er ramadan også🎅🌙 #dkpol #politik #jul #ramadan #fyp @Radikal Ungdom @Radikale @Zenia Stampe ,14200,497,5,34,17,https://www.tiktok.com/@hediyedptemiz/video/7617921110927101206
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7617202187957013782,2026-03-14,Vores børn og unge har brug for en pause! #dkpol #politik #ung #børn #fyp @Radikal Ungdom @Radikale ,16500,413,9,60,30,https://www.tiktok.com/@hediyedptemiz/video/7617202187957013782
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7616762522992905494,2026-03-13,Der er så mange efterkommer i dansk politik👀👀 #dkpol #politik #df #dansk #fyp @Zenia Stampe @Radikal Ungdom @Radikale @Morten Messerschmidt @Dansk Folkeparti @Alex Vanopslagh ,37600,1681,15,79,66,https://www.tiktok.com/@hediyedptemiz/video/7616762522992905494
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7616080805495885078,2026-03-11,Jeg er mange ambitioner for mange ting men mest af alt ungdommen! #dkpol #politik #valg #ung #fyp @Radikal Ungdom @Radikale ,10700,281,7,26,21,https://www.tiktok.com/@hediyedptemiz/video/7616080805495885078
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7615885292578557187,2026-03-11,Ærligt det sku bare koste 24kr til København #dkpol #politik #valg #dsb #fyp @Radikal Ungdom @Radikale @DSB ,6246,170,5,26,5,https://www.tiktok.com/@hediyedptemiz/video/7615885292578557187
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7615328708370402582,2026-03-09,"Grænsekontrol er ren symbolpolitik, og den skal bare afskaffes!🛑✋🏼 #dkpol #politik #valg #kontrol #fyp @Radikal Ungdom @Radikale ",31400,491,15,59,38,https://www.tiktok.com/@hediyedptemiz/video/7615328708370402582
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7615247012757277974,2026-03-09,Vi skal have Hediye i folketinget og så skal @Mette Frederiksen - insider og @Socialdemokratiet lige glemme deres aldersgrænse på TikTok😉😉 #dkpol #politik #valg #satire #fyp @Radikal Ungdom @Radikale ,34900,927,19,134,49,https://www.tiktok.com/@hediyedptemiz/video/7615247012757277974
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7614956195392228610,2026-03-08,"Fædre, der fører valgkamp, ses som seje og ansvarlige. Mødre, der fører valgkamp, ses som forsømmende og uansvarlige. Er det ikke tid til at gøre noget ved det? Glædelig kampdag ❤️ #dkpol #politik #børn #mor #fyp @Radikal Ungdom @Radikale ",8987,232,11,16,9,https://www.tiktok.com/@hediyedptemiz/video/7614956195392228610
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7614068150941797654,2026-03-06,Here we go again… #dkpol #politik #inger #had #fyp ,13200,1041,41,68,68,https://www.tiktok.com/@hediyedptemiz/video/7614068150941797654
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7613473540393749782,2026-03-04,"Forestil dig en folkeskole, hvor sure gamle politikere ikke bestemte🙃 #dkpol #folkeskole #fyp #politik #penge ",3611,56,4,12,8,https://www.tiktok.com/@hediyedptemiz/video/7613473540393749782
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7613106941551824150,2026-03-03,Ik det der formueskat nu🥲🥲 #dkpol #skat #penge #viral #fyp ,2141,49,5,6,6,https://www.tiktok.com/@hediyedptemiz/video/7613106941551824150
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7612769372624522518,2026-03-02,Vi skal huske vores rene vand! #dkpol #ren #vand #radikal #ramadan ,4769,93,2,16,7,https://www.tiktok.com/@hediyedptemiz/video/7612769372624522518
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7612400076320673046,2026-03-01,"Kom med mig til plakatdag! Vi var ude og hænge i går, og jeg tænkte at I lige kunne få et kig ind i hvordan en sådan en dag ser ud 🎉",4802,77,4,7,6,https://www.tiktok.com/@hediyedptemiz/video/7612400076320673046
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7612275291578305814,2026-03-01,Vi skal sige fra overfor @Dansk Folkeparti og deres racisme! #fyp #viral #dansktiktok #danmark #politik ,11100,611,15,51,25,https://www.tiktok.com/@hediyedptemiz/video/7612275291578305814
20260330_193550_a14bfb,hediyedptemiz,Hediye Temiz,Radikale Venstre,Nordsjællands Storkreds,kandidat,7611162248668646678,2026-02-26,SÅ ER DER VAAAAALG!🗳️ #dkpol #valg #StemHediye,4204,80,2,0,6,https://www.tiktok.com/@hediyedptemiz/video/7611162248668646678
