run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7620435987067309334,2026-03-23,"Når man er så snottet og hæs er det godt med hjælp fra AI. LØFT - iKKE TRÆK NED! Vi betaler så høje skatter! Og alligevel kan det være afgørende om man har en sundhedsforsikring. For to år siden fik jeg, efter fire måneders daglige galdestensanfald, ",341,10,2,0,0,https://www.tiktok.com/@hjal8/video/7620435987067309334
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7620128978854038806,2026-03-22,"FJERN ARVEAFGIFTEN - sorg skal ikke beskattes! Misundelse er en grim ting - det kan de fleste af os blive enige om, men hvorfor er det så, at vi beskatter sorg? Bo- og gaveafgiften svarer til mindre end 1% af statens samlede indtægter, men for famili",487,11,1,0,0,https://www.tiktok.com/@hjal8/video/7620128978854038806
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7620055106326695190,2026-03-22,"🙏🏻🙏🏻🙏🏻.                                   Jeg er oprigtigt taknemmelig for alle de mennesker, jeg har talt med under valgkampen. Det giver endnu mere motivation til at ændre på det, der ikke fungerer. Jeg stiller op, fordi jeg tror på frihed. Frihed ",299,1,0,1,0,https://www.tiktok.com/@hjal8/video/7620055106326695190
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7618849610215345430,2026-03-19,"Vi betaler nogle af verdens højeste skatter, og alligevel er det et helvede at blive syg med lange ventetider, forvirrende forløb og stressede medarbejdere. Børn og unge kan vente op mod 72 uger i psykiatrien i Syddanmark, og mange venter måneder på ",3241,62,0,3,1,https://www.tiktok.com/@hjal8/video/7618849610215345430
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7618491476103662870,2026-03-18,Helene Lykke  Folketingskandidat for Liberal Alliance 1. Mere frihed til familierne  - Ingen øremærkning af barsel - Mulighed for tilskud til hjemmepasning i alle landets kommuner  2. Styrk psykiatrien  - Fokus på afstigmatisering  - Øget brug af Pee,726,7,0,0,0,https://www.tiktok.com/@hjal8/video/7618491476103662870
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7617150940402994454,2026-03-14,Taknemlig for alle mine frivillige🙏🏻💙 #tak ,380,3,0,1,0,https://www.tiktok.com/@hjal8/video/7617150940402994454
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7616633618848402710,2026-03-13,"Ja tak til central affaldssortering! Så er vi sikrer på at det bliver gjort rigtigt, også når vi er på familiebesøg i Nordjylland. OG så er der mere tid til at være frivillig i fodboldklubben eller spille ludo med familien 💪🏻💙 #tid #familie ",482,10,3,1,0,https://www.tiktok.com/@hjal8/video/7616633618848402710
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7616052070616960278,2026-03-11,"Hvordan vil du dele kagen? Økonomisk ulighed bliver ofte fremstillet som et kæmpe problem af venstrefløjen. Men bør målet virkelig være et samfund, hvor alle har det lige dårligt? Det mener jeg ikke. Et interessant eksempel er, da A.P. Møller-Mærsk d",75600,2187,39,250,89,https://www.tiktok.com/@hjal8/video/7616052070616960278
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7615718935819816215,2026-03-10,"NYT SKILT VED VOLDEN I FREDERICIA? Der er muligvis en krokodille løs ved Kongens Port.  Den har i hvert fald spist to *Helene i Pyrus størrelse, så pas på derude, den er sulten! Måske bør kommunen investere i et krokodilleskilt 🤣 #crocodile #hærværk ",555,7,1,0,1,https://www.tiktok.com/@hjal8/video/7615718935819816215
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7615708125810806038,2026-03-10,"Der arbejder 90.000 i det private erhvervsliv udelukkende bureaukrati. Under Mette Frederiksen er der ansat omkring 18.000 ekstra administrative medarbejdere i det offentlige. Vi møder hver dag dygtige pædagoger, lærere, sygeplejersker mm. Som undrer",983,5,0,1,0,https://www.tiktok.com/@hjal8/video/7615708125810806038
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7614407067150880022,2026-03-07,"Jeg stiller op til Folketinget… For dig der ved, at der ikke er råd til skoler, ældrepleje og sygehuse, hvis de danske virksomheder ikke trives. Det skal være lettere at drive virksomhed. Vi skal ikke brandbeskatte virksomhederne og deres ejere, og d",1000,4,0,0,1,https://www.tiktok.com/@hjal8/video/7614407067150880022
20260330_193550_a14bfb,hjal8,Helene Lykke,Liberal Alliance,Sydjyllands Storkreds,kandidat,7613746153334607126,2026-03-05,"Hvorfor er maden så dyr? Og hvad er løsningen? Det er IKKE at give næsten halvdel af danskerne en fødevarecheck, men derimod at fjerne noget bureaukrati, sænke eller fjerne afgifter og skatten på arbejde. Vi ønsker bl.a. at sænke elafgiften til EUs m",462,6,2,1,0,https://www.tiktok.com/@hjal8/video/7613746153334607126
