run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7612707312838446358,2026-03-02,Følg min nye rejse på TikTok 💙 #danmarksdemokraterne #fyp #dkpol ,449500,23800,428,5807,799,https://www.tiktok.com/@ingerstojberg/video/7612707312838446358
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7620752715500539158,2026-03-24,🙏 #danmarksdemokraterne #dkpol #fyp ,18100,651,18,38,27,https://www.tiktok.com/@ingerstojberg/video/7620752715500539158
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7620601910327872790,2026-03-24,Kom så! Vi skal have smidt Mette Frederiksen ud af statsministeriet NU #danmarksdemokraterne #dkpol #fyp ,219600,13100,95,422,344,https://www.tiktok.com/@ingerstojberg/video/7620601910327872790
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7619695653093985558,2026-03-21,Sådan 👍🏼  #danmarksdemokraterne #fyp #dkpol ,17200,511,25,23,23,https://www.tiktok.com/@ingerstojberg/video/7619695653093985558
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618968094412737814,2026-03-19,🚨GRATIS SVINEMØRBRAD PÅ LØRDAG I AALBORG FRA 10-11.30 PÅ NYTORV  #danmarksdemokraterne #dkpol #fyp ,384400,17900,199,2371,1370,https://www.tiktok.com/@ingerstojberg/video/7618968094412737814
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618590281234910486,2026-03-18,Danmark fortjener altså en blå regering 🙏🏼#danmarksdemokraterne #fyp #dkpol ,366700,25000,153,2786,1097,https://www.tiktok.com/@ingerstojberg/video/7618590281234910486
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7618256140127702294,2026-03-17,😇😇😇 #danmarksdemokraterne #fyp #dkpol ,70700,4292,59,114,114,https://www.tiktok.com/@ingerstojberg/video/7618256140127702294
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617873517975047426,2026-03-16,Hvad spiser jeg på Flammen? 🤷‍♀️ #danmarksdemokraterne #dkpol #fyp #flammen ,377900,15700,204,3462,653,https://www.tiktok.com/@ingerstojberg/video/7617873517975047426
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617544058688310550,2026-03-15,"Vi skal have banket priserne ned på benzin og diesel, og det skal vi med det samme! ⛽️ #danmarksdemokraterne #dkpol #fyp ",104000,5000,110,198,300,https://www.tiktok.com/@ingerstojberg/video/7617544058688310550
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7617431707247054102,2026-03-15,"Burde det ikke være moskeerne, der var lukningstruet? 🥲 #danmarksdemokraterne #fyp #dkpol ",142300,6483,112,1047,328,https://www.tiktok.com/@ingerstojberg/video/7617431707247054102
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7616728200525221142,2026-03-13,🤙 #danmarksdemokraterne #fyp #dkpol ,36700,2394,23,256,91,https://www.tiktok.com/@ingerstojberg/video/7616728200525221142
20260330_193550_a14bfb,ingerstojberg,Inger Støjberg,Danmarksdemokraterne - Inger Støjberg,Nordjyllands Storkreds,kandidat,7616678374173412630,2026-03-13,Kæmpe nej tak til JERNMARKER! #danmarksdemokraterne #fyp #dkpol ,90500,6285,69,246,376,https://www.tiktok.com/@ingerstojberg/video/7616678374173412630
