run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620520963385363734,2026-03-23,"HADERSLEV 9 sekunder. Lyt lige her. Hans Christian Schmidt siger det selv: Han stemmer personligt på mig i morgen. Hvis du bor i Haderslev… så er det her dit valg. Det handler ikke om plakater. Det handler om, hvem der faktisk bliver valgt. Skriv “Ha",925,20,1,0,3,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620520963385363734
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620461298056465687,2026-03-23,"TØNDER 9 sekunder. Lyt lige her. Hans Christian Schmidt siger det selv: Han stemmer personligt på mig i morgen. Hvis du bor i Tønder… så er det her dit valg. Det handler ikke om plakater. Det handler om, hvem der faktisk bliver valgt. Skriv “Tønder” ",378,5,0,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620461298056465687
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620418893152128278,2026-03-23,"AABENRAA 9 sekunder. Lyt lige her. Hans Christian Schmidt siger det selv: Han stemmer personligt på mig i morgen. Hvis du bor i Aabenraa… så er det her dit valg. Det handler ikke om plakater. Det handler om, hvem der faktisk bliver valgt. Skriv “Aabe",1091,32,0,1,1,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620418893152128278
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620390886748278038,2026-03-23,"SØNDERBORG 9 sekunder. Lyt lige her. Hans Christian Schmidt siger det selv: Han stemmer personligt på mig i morgen. Hvis du bor i Sønderborg… så er det her dit valg. Det handler ikke om plakater. Det handler om, hvem der faktisk bliver valgt. Skriv “",2683,41,7,6,6,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620390886748278038
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620158910921575702,2026-03-22,"Tidligere chef for Flyvestation Skrydstrup. Pilot. Michael Fleischer ved, hvad ansvar kræver. Nu peger han på Jesper Bierbaum. 👉 Stem personligt 👉 Gør Sønderjylland stærkere Det skal kunne mærkes. Også her. #jesperbierbaum #venstre #sønderjylland #sk",590,21,0,0,3,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620158910921575702
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620136736882003222,2026-03-22,"Thomas Fredsted stiller sig frem. Ikke for plakaterne. Men for mennesker og ansvar. Når en formand for Social- og Handicapudvalget giver sin personlige anbefaling – så lytter jeg. På tirsdag handler det om mere end partier. Det handler om, hvem du væ",917,9,0,0,2,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620136736882003222
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7620036151830678806,2026-03-22,"Når en, der selv tager ansvar i Haderslev, peger på én kandidat – så skal man lytte. Inga Lykke sidder i kommunalbestyrelsen. Hun kender hverdagen. Hun kender konsekvenserne. Derfor stemmer hun personligt på mig. Det handler ikke om partier. Det hand",149,2,1,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7620036151830678806
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619996361404058902,2026-03-22,Hans Christian Schmidt har allerede stemt. Peter Lund Pedersen siger det højt. På tirsdag er det din tur. Hvis Sønderjylland også skal tages alvorligt – hele vejen fra Haderslev til Aabenraa: 👉 Stem personligt på Jesper Bierbaum #sønderjylland #aaben,98,2,0,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619996361404058902
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619784602722274582,2026-03-21,"Når mennesker har mærket konsekvenserne… så lytter jeg. Anders Skovrup. Vojens. Tidligere minkavler. Han ved, hvad beslutninger betyder. Ikke i teorien. Men i virkeligheden. Tæt på lokalsamfundet. Tæt på mennesker. Og han siger det klart: 👉 Stem pers",171,3,0,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619784602722274582
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619784220168195350,2026-03-21,"Når mennesker, der selv har taget ansvar… siger noget – så lytter jeg. Morten Breum. Øsby. Haderslev. Han stillede op. Ikke for sjov. Men fordi han vil sit område. Han kender hverdagen. Ved hvad der virker. Og hvad der skal blive bedre. Og nu siger h",621,9,0,1,1,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619784220168195350
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619783941767236886,2026-03-21,"Når erfaring taler… så lytter jeg. Peter Lund Pedersen ved, hvad der skal til. Han har set udviklingen. Taget ansvar. Sæt retning. Og nu siger han det klart: 👉 Stem personligt på Jesper Bierbaum. Det handler ikke om ord. Det handler om tillid. Hvis S",865,7,0,0,3,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619783941767236886
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619783606340472067,2026-03-21,"Han har aldrig gjort det før. Men nu gør han det. Søren Refsing anbefaler for første gang en politiker. “Dit mellemnavn er ordentlighed.” Det forpligter. Hvis Sønderjylland skal tages alvorligt, så kræver det også ordentlighed. Stem personligt.",948,6,0,2,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619783606340472067
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619783232699059478,2026-03-21,"Når opbakningen kommer fra dem, der står tættest på… så betyder det noget. Bruno Larsen er formand for Haderslev Venstre Vælgerforening. Han kender medlemmerne. Han kender området. Og han ved, hvad der skal til. Derfor stemmer han personligt på mig. ",43,1,0,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619783232699059478
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619782729206418710,2026-03-21,Mads Skau har sagt det klart. 👉 Stem personligt på Jesper Bierbaum Det handler ikke om Christiansborg Det handler om Sønderjylland Der er ikke lang tid til tirsdag Hvis vi skal tages alvorligt så kræver det personlige stemmer 🗳️ Stem personligt på Bi,365,9,0,0,1,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619782729206418710
20260330_193550_a14bfb,jesperbierbaumvenstre,Jesper Bierbaum,Venstre,Sydjyllands Storkreds,kandidat,7619582376825572630,2026-03-21,Hans Christian Schmidt har stemt personligt på mig🙏🏻 han kommer her med en opfordring til at gøre det samme#venstre #Sønderjylland #Haderslev #Vojens #aabenraa ,910,21,0,0,0,https://www.tiktok.com/@jesperbierbaumvenstre/video/7619582376825572630
