run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7620430389353385239,2026-03-23,Vox-pop i Holbæk. Hvilket resultat ønsker du?😊,1431,43,1,1,5,https://www.tiktok.com/@kaare_dybvad/video/7620430389353385239
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7620383576743251222,2026-03-23,"Rent drikkevand, ja tak!💪🚰",3511,85,4,0,1,https://www.tiktok.com/@kaare_dybvad/video/7620383576743251222
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7620383405691260182,2026-03-23,"Flæskesteg og dyrevelfærd, ja tak🐷",1003,48,2,2,1,https://www.tiktok.com/@kaare_dybvad/video/7620383405691260182
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7620073691140918530,2026-03-22,Helt enig med Arne!💪,19500,1043,27,29,30,https://www.tiktok.com/@kaare_dybvad/video/7620073691140918530
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7620018544117337366,2026-03-22,"Nej tak til dyrere boliger, Alex Vanopslagh!",4763,85,4,1,6,https://www.tiktok.com/@kaare_dybvad/video/7620018544117337366
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7619392315320175894,2026-03-20,Chin ups for hver kreds du kan stemme på mig i 👆🏼 #fyp #valg #politiktok ,4920,74,4,54,15,https://www.tiktok.com/@kaare_dybvad/video/7619392315320175894
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7602977364171033878,2026-02-04,"Arbejdskraft er ikke bare arbejdskraft. Det skal vi huske, før vi åbner det danske arbejdsmarked for hele verden. #dkpol #danskpolitik #danmark #politik #samfund ",3953,119,30,3,19,https://www.tiktok.com/@kaare_dybvad/video/7602977364171033878
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7601135754206547222,2026-01-30,Og det har jeg netop skrevet en bog om! - “Vi inviterede arbejdskraft - men der kom mennesker”. Og du kan læse med nu! #dkpol #danskpolitik #danmark #politik #samfund ,6613,100,19,10,9,https://www.tiktok.com/@kaare_dybvad/video/7601135754206547222
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7600408292426353942,2026-01-28,"Iskold dukkert 🥶… men heldigvis en brandvarm bog. Håber, du vil læse med. Glæder mig til at snakke om den med jer derude 💪🏼 #isbad #plugin #arbejde #fyp ",3510,107,6,12,15,https://www.tiktok.com/@kaare_dybvad/video/7600408292426353942
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7599293756159839510,2026-01-25,Pension handler nemlig også om retfærdighed. #dkpol #danskpolitik #danmark #politik #denmark ,20700,351,21,13,23,https://www.tiktok.com/@kaare_dybvad/video/7599293756159839510
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7598263930426756375,2026-01-22,Min nye bog om udenlandsk arbejdskraft rammer bogstavelig talt hårdt😅 #dkpol #danmark #arbejde ,4835,89,8,5,14,https://www.tiktok.com/@kaare_dybvad/video/7598263930426756375
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7597048497443015958,2026-01-19,"Førtidspension er et vigtigt element i vores velfærdssamfund. Derfor skal vi også sørge for, at det er de rette som får det tildelt. #dkpol #danskpolitik #danmark #politik #danmark ",23200,412,62,88,73,https://www.tiktok.com/@kaare_dybvad/video/7597048497443015958
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7594852123855129878,2026-01-13,Kan jeg gætte en gade? #dkpol #danskpolitik #danmark #politik #denmark ,7283,103,4,6,10,https://www.tiktok.com/@kaare_dybvad/video/7594852123855129878
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7594476365366299926,2026-01-12,Det bliver et pænt nej tak herfra. #dkpol #danskpolitik #danmark #politik #denmark ,15700,395,24,30,37,https://www.tiktok.com/@kaare_dybvad/video/7594476365366299926
20260330_193550_a14bfb,kaare_dybvad,Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,kandidat,7593033957424434455,2026-01-08,"Det er blevet dyrere at handle ind. Det kan ses på bonen. Mælk. Smør. Kød. Priserne er steget. For mange er der næsten ikke noget tilbage, når regningerne er betalt. Det er ikke rimeligt i Danmark. Derfor vil vi indføre en fødevarecheck. Hjælp til de",2545,55,10,1,2,https://www.tiktok.com/@kaare_dybvad/video/7593033957424434455
