run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7620510205440314646,2026-03-23,"Det her er måske det vigtigste, du skal vide, inden du står i boksen og stemmer. ",25400,1239,28,144,57,https://www.tiktok.com/@larsbojemathiesen/video/7620510205440314646
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7620421863256247574,2026-03-23,"Se denne video. Tænk på den, når du stemmer på tirsdag. Du har magten. ",22600,1388,65,133,111,https://www.tiktok.com/@larsbojemathiesen/video/7620421863256247574
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7607398823660440854,2026-02-16,Du går på arbejde og tvinges til at betale for at politikerne kan bruge dine penge på det her vanvid.. se med.. ,11900,578,14,29,32,https://www.tiktok.com/@larsbojemathiesen/video/7607398823660440854
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7606322011102661910,2026-02-13,"Politikerne lyver overfor dig, når de siger der er en stram udlændinge poltik. Se beviset her. ",18900,1111,25,69,58,https://www.tiktok.com/@larsbojemathiesen/video/7606322011102661910
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7604067219059838230,2026-02-07,DET HER BURDE IKKE KUNNE VÆRE LOVLIGT! 42 miliarder! #denmark🇩🇰 ,44400,1698,70,126,117,https://www.tiktok.com/@larsbojemathiesen/video/7604067219059838230
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7603733758126066966,2026-02-06,"SE BEVISET HER!  1,1 milliard kroner vil Regeringen nu tage fra borgerne og forære væk.#denmark🇩🇰 #dkpol ",39300,1725,83,134,86,https://www.tiktok.com/@larsbojemathiesen/video/7603733758126066966
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7598212691601165590,2026-01-22,1 milliard skattekroner til en islamist! ,2391,140,2,11,8,https://www.tiktok.com/@larsbojemathiesen/video/7598212691601165590
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7597807602277289238,2026-01-21,"Hvorfor kan denne dobbelte morder ikke udvises? Du gætter aldrig hvem, der er skyld i det? ",31900,1344,55,188,108,https://www.tiktok.com/@larsbojemathiesen/video/7597807602277289238
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7588521660442103043,2025-12-27,"Flere af Mette F, Løkke, SF og Enhedslistens importerede samfundsberigere. FARVEL OG TAK - UD MED DEM! ",2549,104,14,13,2,https://www.tiktok.com/@larsbojemathiesen/video/7588521660442103043
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7585504681066024214,2025-12-19,Her er hvad Mette Frederiksen og medierne ikke fortæller jer om den nye EU-aftale - på 60 sekunder.  #denmark🇩🇰 #treanding #eu ,19700,958,81,160,82,https://www.tiktok.com/@larsbojemathiesen/video/7585504681066024214
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7585504663840066838,2025-12-19,Her er hvad Mette Frederiksen og medierne ikke fortæller jer om den nye EU-aftale - på 60 sekunder.  #denmark🇩🇰 #treanding #eu ,1134,57,3,1,2,https://www.tiktok.com/@larsbojemathiesen/video/7585504663840066838
20260330_193550_a14bfb,larsbojemathiesen,Lars Boje Mathiesen,Borgernes Parti - Lars Boje Mathiesen,Østjyllands Storkreds,kandidat,7581403768596614422,2025-12-08,"AV, AV.. det spørgsmål fortrød hun ret hurtigt.. ",7305,615,44,56,35,https://www.tiktok.com/@larsbojemathiesen/video/7581403768596614422
