run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7573687149518916887,2025-11-17,"Kære vælger, Selvom videoen er fra kommunalvalget i 2021, vil jeg alligevel lade Alex Vanopslagh give årsagerne til, hvorfor du skal give mig din stemme. Retro eller ej – budskabet rammer stadig præcist det, jeg står for som din repræsentant i Ruders",7832,101,4,4,3,https://www.tiktok.com/@larsholmqvist5/video/7573687149518916887
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7571859904760270102,2025-11-12,Glæden var kort for Alex V. i morges. På Perron 50% i Birkerød stod Skattefar og  ventede😊 Heldigvis er der snart et liberalt godstog på vej til Rudersdal. Toget kommer med lavere skatter og mere frihed 💙 #fyp #foryou #foryoupage #LiberalAlliance @Al,174200,8180,57,426,398,https://www.tiktok.com/@larsholmqvist5/video/7571859904760270102
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7621254781478128918,2026-03-25,,11100,384,9,9,2,https://www.tiktok.com/@larsholmqvist5/video/7621254781478128918
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620940441055235350,2026-03-24,,46500,2864,20,184,120,https://www.tiktok.com/@larsholmqvist5/video/7620940441055235350
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620938773358005526,2026-03-24,,9514,242,4,7,2,https://www.tiktok.com/@larsholmqvist5/video/7620938773358005526
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620921009167731990,2026-03-24,Møder TikTok - stjernen fra Struer. Thorbjørn Jacobsen 🔥🔥🤩🤩 #fyp #foryoupage #foryou #liberalalliance ,1500,28,1,1,2,https://www.tiktok.com/@larsholmqvist5/video/7620921009167731990
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620900917948321046,2026-03-24,#fyp #foryoupage #foryou #larshøyerholmqvist #liberalalliance ,22800,622,4,17,7,https://www.tiktok.com/@larsholmqvist5/video/7620900917948321046
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620891997653470486,2026-03-24,Valgfesten starter nu 🔥🔥 #fyp #foryoupage #foryou #larshøyerholmqvist #liberalalliance ,1330,48,1,1,0,https://www.tiktok.com/@larsholmqvist5/video/7620891997653470486
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620782360384032022,2026-03-24,Husk at stemme personligt - husk at stemme på Lars Høyer Holmqvist  #fyp #foryoupage #foryou #liberalalliance ,6211,118,2,16,3,https://www.tiktok.com/@larsholmqvist5/video/7620782360384032022
20260330_193550_a14bfb,larsholmqvist5,Lars Høyer Holmqvist,Liberal Alliance,Nordsjællands Storkreds,kandidat,7620528540726856982,2026-03-23,Vi skal have billigere boliger!! #boligøkonomi #fyp #foryoupage #foryou #liberalalliance ,4910,162,22,14,13,https://www.tiktok.com/@larsholmqvist5/video/7620528540726856982
