run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7615983563221060886,2026-03-11,Du kan stemme på mig på Bornholm! 🌹♥️,1576,70,0,0,4,https://www.tiktok.com/@lea.wermelin/video/7615983563221060886
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7615270765335727382,2026-03-09,Jeg kæmper for 🇩🇰♥️,1283,84,3,3,3,https://www.tiktok.com/@lea.wermelin/video/7615270765335727382
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7614178308401401110,2026-03-06,Min holdning til pension! 🌹,1049,30,3,0,1,https://www.tiktok.com/@lea.wermelin/video/7614178308401401110
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7611140687521762582,2026-02-26,Så er der udskrevet valg!,2578,89,11,0,3,https://www.tiktok.com/@lea.wermelin/video/7611140687521762582
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7609741150739647766,2026-02-22,MAKS. 14 elever i klassen fra 0-3.,2454,78,7,2,3,https://www.tiktok.com/@lea.wermelin/video/7609741150739647766
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7603722676938624278,2026-02-06,Kriminelle udlændinge skal straffes hårdere.,73900,1942,242,315,222,https://www.tiktok.com/@lea.wermelin/video/7603722676938624278
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7581455261257305366,2025-12-08,"Send videoen til en kvinde, som skal høre det her! ❤️",2740,138,6,2,9,https://www.tiktok.com/@lea.wermelin/video/7581455261257305366
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7577794007351430402,2025-11-28,Sunde tænder til 🇩🇰,8016,165,10,2,10,https://www.tiktok.com/@lea.wermelin/video/7577794007351430402
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7574080049507355926,2025-11-18,"Send den her til en af dine venner, der skal vide det 🩷",1913,68,2,1,7,https://www.tiktok.com/@lea.wermelin/video/7574080049507355926
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7566675663034256662,2025-10-29,Hvad tænker du?,2300,94,5,6,11,https://www.tiktok.com/@lea.wermelin/video/7566675663034256662
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7564363710723083542,2025-10-23,Send videoen til en kvinde! ❤️,20300,2460,37,77,164,https://www.tiktok.com/@lea.wermelin/video/7564363710723083542
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7563688125948644630,2025-10-21,Send videoen til din familie! ❤️,27300,2657,64,80,143,https://www.tiktok.com/@lea.wermelin/video/7563688125948644630
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7563301408150146326,2025-10-20,Borgens største Swiftie ✨💅🏻,23800,776,32,86,36,https://www.tiktok.com/@lea.wermelin/video/7563301408150146326
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7562195935858724098,2025-10-17,Tryghed på de danske fodboldstadions! 🏟️,12100,334,54,48,51,https://www.tiktok.com/@lea.wermelin/video/7562195935858724098
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7559922654099295491,2025-10-11,Send videoen til en der går i folkeskole! ❤️,95300,4607,144,893,593,https://www.tiktok.com/@lea.wermelin/video/7559922654099295491
20260330_193550_a14bfb,lea.wermelin,Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,kandidat,7558021615011876118,2025-10-06,Klar til Folketingets åbningsdag! 🔥,42000,1843,59,1136,119,https://www.tiktok.com/@lea.wermelin/video/7558021615011876118
