run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7563959802439830786,2025-10-22,Vi kan godt. ,62900,2954,34,115,169,https://www.tiktok.com/@liberalalliance_/video/7563959802439830786
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7620592225788988694,2026-03-24,"Der er mange måder, man kan bidrage til at skabe et bedre samfund. Se det hele på YouTube via link i kommentarsporet!",67500,3812,30,130,187,https://www.tiktok.com/@liberalalliance_/video/7620592225788988694
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7620591080186105110,2026-03-24,Har talt med @jesperbuch. Du kan se det hele på YouTube!  Link i kommentarsporet.,51900,2077,28,62,83,https://www.tiktok.com/@liberalalliance_/video/7620591080186105110
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7620347598880165142,2026-03-23,"På tirsdag får vi en ny favorit-Mette, nemlig Søger-nye-udfordringer-Mette.",137800,7191,40,1172,669,https://www.tiktok.com/@liberalalliance_/video/7620347598880165142
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7620200440898309379,2026-03-22,Ikke flere lappeløsninger.  Lad os forbedre danskernes hverdagsøkonomi permanent!,116700,6939,47,72,262,https://www.tiktok.com/@liberalalliance_/video/7620200440898309379
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7617107837801483542,2026-03-14,"En statsminister, du kan regne med?",230900,13600,129,1668,1273,https://www.tiktok.com/@liberalalliance_/video/7617107837801483542
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7616801998310051094,2026-03-13,"I morgen går det løs på Twitch og TikTok, når Alex holder sit ""Valgthon"", hvor han livestreamer i flere timer! Vi starter kl. 12. Følg med på Twitch: Alex_Vanopslagh91.",406000,23100,153,3085,1220,https://www.tiktok.com/@liberalalliance_/video/7616801998310051094
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615923716270214422,2026-03-11,Drop nu jeres offergørende menneskesyn og “gaver” - og lad danskerne beholde flere af deres egne penge.,62300,1662,22,35,63,https://www.tiktok.com/@liberalalliance_/video/7615923716270214422
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615883765642005782,2026-03-11,Ud med magtfuldkommenheden! Link i bio 🔗,93000,4578,75,185,300,https://www.tiktok.com/@liberalalliance_/video/7615883765642005782
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615549406703602966,2026-03-10,Den her er til kenderne.,183800,16700,196,4036,1038,https://www.tiktok.com/@liberalalliance_/video/7615549406703602966
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615338762729491734,2026-03-09,Stem LA 😊,42700,1857,51,39,41,https://www.tiktok.com/@liberalalliance_/video/7615338762729491734
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615284964363357462,2026-03-09,Giv pengene tilbage til danskerne!,56000,2662,43,86,108,https://www.tiktok.com/@liberalalliance_/video/7615284964363357462
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7615246238665002262,2026-03-09,🤷🤷 #fyp #foryou #liberalalliance ,212500,13500,124,3283,768,https://www.tiktok.com/@liberalalliance_/video/7615246238665002262
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7614539453482274070,2026-03-07,Tid til en frisk start 🇩🇰,403700,30200,184,3583,2912,https://www.tiktok.com/@liberalalliance_/video/7614539453482274070
20260330_193550_a14bfb,liberalalliance_,Liberal Alliance,Liberal Alliance,Landsplan,parti_national,7614126890831465750,2026-03-06,Lad os så få den friske start!,176400,14400,166,312,626,https://www.tiktok.com/@liberalalliance_/video/7614126890831465750
