run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7620776959374740739,2026-03-24,Vi skal huske hvem der betaler for vores velfærd - det er i høj grad vores virksomheder  😉#politik #dkpol #valg #skat #delulu ,2117,59,0,1,1,https://www.tiktok.com/@linea.lidell/video/7620776959374740739
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7620382454355987734,2026-03-23,"Valgkamp er hårdt, men det er heldigvis også sjovt ☀️🫰🏼",1595,59,0,2,1,https://www.tiktok.com/@linea.lidell/video/7620382454355987734
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7619624678818155798,2026-03-21,Vi er mange der længe har råbt op om kvinders sundhed - nu gør vi noget ved det 💪🏼,6971,244,1,7,10,https://www.tiktok.com/@linea.lidell/video/7619624678818155798
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7619262829694307587,2026-03-20,"De fleste ønsker at eje deres eget hjem. Jeg mener, at langt flere skal have mulighed for at komme ind på boligmarkedet. Det kræver, at vi bygger langt flere ejerboliger i København. Det kæmper jeg for! 🏡",1630,80,0,2,2,https://www.tiktok.com/@linea.lidell/video/7619262829694307587
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7618167860015172886,2026-03-17,"Hør hvad vi har gjort for ungarbejdere, mens jeg laver pomfritter på maccen 🍟",14000,465,2,38,12,https://www.tiktok.com/@linea.lidell/video/7618167860015172886
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7617848967170100502,2026-03-16,"Jeg stiller op til Folketinget, så selvfølgelig…😉",5183,150,0,0,4,https://www.tiktok.com/@linea.lidell/video/7617848967170100502
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7617100939278716182,2026-03-14,"Et stærkt erhvervsliv er forudsætningen for vores velfærd. Derfor skal vi ikke straffe de virksomheder, der får succes. Vi skal have flere af dem",684,20,2,0,0,https://www.tiktok.com/@linea.lidell/video/7617100939278716182
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7616401792947244291,2026-03-12,Gusmester for en aften 🔥 ,552,24,0,1,0,https://www.tiktok.com/@linea.lidell/video/7616401792947244291
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7615956894590471446,2026-03-11,Valgets (måske) hurtigste debat🤷🏼‍♀️💙,167400,6276,115,879,329,https://www.tiktok.com/@linea.lidell/video/7615956894590471446
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7615256598704917782,2026-03-09,Lidt om den danske investeringskultur💙,883,32,1,0,1,https://www.tiktok.com/@linea.lidell/video/7615256598704917782
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7614804623693532438,2026-03-08,God kampdag! 💪🏼🩷 #kvinderneskampdag #ligestilling #politik #dkpol #girlpower ,1170,95,5,4,4,https://www.tiktok.com/@linea.lidell/video/7614804623693532438
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7614442795918626070,2026-03-07,💙🫰🏼 #politik #dkpol #valg #kbh #københavn ,961,34,1,1,0,https://www.tiktok.com/@linea.lidell/video/7614442795918626070
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7613374041545526550,2026-03-04,,1731,34,3,5,1,https://www.tiktok.com/@linea.lidell/video/7613374041545526550
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612991272210451734,2026-03-03,Let me introduce you to my world 💙 #politik #dkpol #valg #kbh #fyp ,2066,66,1,3,2,https://www.tiktok.com/@linea.lidell/video/7612991272210451734
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612655552463736086,2026-03-02,Selvfølgelig skal vi rydde op efter os selv! Også selvom vandet er koldt 😆 @Sofie Simone  #politik #dkpol #politiktok #valg #københavn ,1537,68,1,0,0,https://www.tiktok.com/@linea.lidell/video/7612655552463736086
20260330_193550_a14bfb,linea.lidell,Linea Søgaard-Lidell,Venstre,Københavns Storkreds,kandidat,7612579529193688342,2026-03-02,"Boligpriserne i København er stukket af Vi skal bygge langt flere ejerboliger, så flere får en reel chance for at eje deres egen bolig i stedet for at blive presset ud af byen.  Enig?💙 #københavnerlejlighed #københavn #bolig #boligmarkedet #politik ",3587,94,7,2,2,https://www.tiktok.com/@linea.lidell/video/7612579529193688342
